ID,Year_Birth,Education
2312,1963,Graduation
2313,1977,Graduation
2314,1994,Master
2315,1974,Master
2316,1969,Master
2317,1970,Graduation
2318,1988,Graduation
2319,1944,Graduation
2320,1999,Basic
2321,1983,Graduation
2322,1989,Graduation
2323,1953,2n Cycle
2324,1992,Graduation
2325,1995,2n Cycle
2326,1950,Master
2327,1948,Basic
2328,1973,Graduation
2329,1951,Graduation
2330,1974,Master
2331,1974,Basic
2332,1940,Master
2333,1979,Graduation
2334,1961,Master
2335,1999,Master
2336,1968,Master
2337,1947,Master
2338,1950,Basic
2339,1980,PhD
2340,1976,Graduation
2341,1953,Graduation
2342,1999,Graduation
2343,1969,Graduation
2344,1974,Graduation
2345,1960,Graduation
2346,1976,Graduation
2347,1944,Graduation
2348,1958,Basic
2349,1998,2n Cycle
2350,1953,Graduation
2351,1965,2n Cycle
2352,1943,PhD
2353,1964,Graduation
2354,1984,Graduation
2355,1981,PhD
2356,1964,Master
2357,1957,Master
2358,1979,Graduation
2359,1947,Graduation
2360,1978,Graduation
2361,1979,Graduation
2362,1953,Graduation
2363,1971,Graduation
2364,1990,Basic
2365,1977,2n Cycle
2366,1972,Graduation
2367,1962,2n Cycle
2368,1954,Graduation
2369,1972,Graduation
2370,1964,Graduation
2371,1956,PhD
2372,1972,2n Cycle
2373,1986,PhD
2374,1994,Graduation
2375,1941,PhD
2376,1953,Graduation
2377,1992,Basic
2378,1979,PhD
2379,1979,Graduation
2380,1990,PhD
2381,1978,PhD
2382,1990,Graduation
2383,1945,Master
2384,1945,Graduation
2385,1942,Master
2386,1946,Basic
2387,1990,Basic
2388,1947,PhD
2389,1981,PhD
2390,1991,Graduation
2391,1954,Master
2392,1986,Graduation
2393,1968,Graduation
2394,1972,Graduation
2395,1991,Graduation
2396,1969,PhD
2397,1978,Graduation
2398,1966,Master
2399,1975,Graduation
2400,1968,Graduation
2401,1977,PhD
2402,1996,Graduation
2403,1972,Graduation
2404,1976,Master
2405,1966,Graduation
2406,1994,Basic
2407,1972,Graduation
2408,1943,Graduation
2409,1961,Master
2410,1941,Graduation
2411,1949,Graduation
2412,1944,Graduation
2413,1998,Graduation
2414,1949,Basic
2415,1972,Graduation
2416,1993,Master
2417,1977,Basic
2418,1952,Graduation
2419,1970,2n Cycle
2420,1986,Graduation
2421,1975,2n Cycle
2422,1984,Graduation
2423,1963,Master
2424,1991,Graduation
2425,1995,Graduation
2426,1954,PhD
2427,1968,Master
2428,1947,Graduation
2429,1944,Graduation
2430,1968,Master
2431,1986,Master
2432,1943,2n Cycle
2433,1951,Master
2434,1984,2n Cycle
2435,1941,Master
2436,1966,Graduation
2437,1970,Graduation
2438,1990,Master
2439,1990,PhD
2440,1975,Graduation
2441,1975,Graduation
2442,1965,2n Cycle
2443,1982,PhD
2444,1966,Graduation
2445,1944,Graduation
2446,1959,Graduation
2447,1950,Graduation
2448,1949,Graduation
2449,1979,Graduation
2450,1977,Master
2451,1945,Graduation
2452,1947,Basic
2453,1962,Basic
2454,1986,Graduation
2455,1965,Master
2456,1985,Graduation
2457,1982,Basic
2458,1951,Graduation
2459,1965,Master
2460,1952,PhD
2461,1979,Graduation
2462,1957,Graduation
2463,1964,Master
2464,1972,Master
2465,1986,Graduation
2466,1979,PhD
2467,1999,Graduation
2468,1982,Master
2469,1951,Graduation
2470,1983,Basic
2471,1975,Graduation
2472,1987,Graduation
2473,1943,Graduation
2474,1944,Graduation
2475,1995,PhD
2476,1976,Graduation
2477,1947,Basic
2478,1981,Graduation
2479,1988,Graduation
2480,1967,Graduation
2481,1970,Graduation
2482,1997,Graduation
2483,1948,Graduation
2484,1993,Graduation
2485,1990,Graduation
2486,1968,PhD
2487,1953,PhD
2488,1979,Graduation
2489,1980,Graduation
2490,1961,2n Cycle
2491,1950,PhD
2492,1962,Master
2493,1940,Graduation
2494,1985,Master
2495,1976,Master
2496,1960,PhD
2497,1965,2n Cycle
2498,1985,Graduation
2499,1975,Graduation
2500,1993,Master
2501,1962,Basic
2502,1996,Graduation
2503,1940,Graduation
2504,1993,Graduation
2505,1994,Graduation
2506,1990,Master
2507,1979,PhD
2508,1954,Graduation
2509,1960,Graduation
2510,1986,Graduation
2511,1948,Graduation
2512,1992,PhD
2513,1948,2n Cycle
2514,1949,Basic
2515,1991,Graduation
2516,1996,Basic
2517,1992,Master
2518,1965,Master
2519,1980,Graduation
2520,1974,Graduation
2521,1991,Graduation
2522,1964,Graduation
2523,1965,Graduation
2524,1950,Graduation
2525,1977,Graduation
2526,1941,Master
2527,1946,Graduation
2528,1957,Graduation
2529,1966,2n Cycle
2530,1973,2n Cycle
2531,1966,Master
2532,1956,2n Cycle
2533,1982,PhD
2534,1998,2n Cycle
2535,1983,Graduation
2536,1998,Graduation
2537,1990,Graduation
2538,1993,Graduation
2539,1963,Graduation
2540,1964,PhD
2541,1946,Master
2542,1991,PhD
2543,1945,Graduation
2544,1992,Basic
2545,1963,PhD
2546,1972,Graduation
2547,1988,Master
2548,1968,Graduation
2549,1982,Graduation
2550,1961,2n Cycle
2551,1965,Graduation
2552,1967,Graduation
2553,1989,Basic
2554,1960,Master
2555,1988,Graduation
2556,1946,Graduation
2557,1956,Graduation
2558,1959,PhD
2559,1980,Graduation
2560,1988,Graduation
2561,1959,2n Cycle
2562,1993,PhD
2563,1961,Graduation
2564,1967,PhD
2565,1979,Master
2566,1988,Graduation
2567,1946,Graduation
2568,1940,Basic
2569,1971,Graduation
2570,1952,PhD
2571,1969,Graduation
2572,1962,Graduation
2573,1990,Graduation
2574,1998,Graduation
2575,1995,Graduation
2576,1958,Graduation
2577,1971,Basic
2578,1969,2n Cycle
2579,1968,Master
2580,1988,Basic
2581,1984,Graduation
2582,1968,2n Cycle
2583,1969,Graduation
2584,1955,2n Cycle
2585,1979,2n Cycle
2586,1958,Master
2587,1957,2n Cycle
2588,1940,PhD
2589,1953,Graduation
2590,1990,Graduation
2591,1986,PhD
2592,1989,Graduation
2593,1941,PhD
2594,1993,2n Cycle
2595,1967,Graduation
2596,1988,Master
2597,1989,2n Cycle
2598,1969,2n Cycle
2599,1977,2n Cycle
2600,1990,PhD
2601,1943,2n Cycle
2602,1940,Master
2603,1947,Graduation
2604,1968,Graduation
2605,1994,Master
2606,1978,Graduation
2607,1942,PhD
2608,1971,Master
2609,1949,Graduation
2610,1949,PhD
2611,1958,Master
2612,1985,Graduation
2613,1973,Graduation
2614,1999,Graduation
2615,1972,Graduation
2616,1962,2n Cycle
2617,1994,Graduation
2618,1967,PhD
2619,1971,Graduation
2620,1989,Graduation
2621,1946,Basic
2622,1968,Master
2623,1947,Graduation
2624,1940,Graduation
2625,1996,Graduation
2626,1994,Graduation
2627,1942,Master
2628,1963,Graduation
2629,1962,Graduation
2630,1998,Graduation
2631,1947,2n Cycle
2632,1993,2n Cycle
2633,1996,Graduation
2634,1986,Master
2635,1976,Graduation
2636,1942,Graduation
2637,1990,Master
2638,1972,2n Cycle
2639,1967,2n Cycle
2640,1986,PhD
2641,1947,Graduation
2642,1973,Master
2643,1974,Graduation
2644,1971,PhD
2645,1963,Graduation
2646,1953,Master
2647,1971,Graduation
2648,1995,Graduation
2649,1985,2n Cycle
2650,1982,Graduation
2651,1955,PhD
2652,1943,Graduation
2653,1991,Graduation
2654,1976,Graduation
2655,1993,Graduation
2656,1960,Basic
2657,1953,Graduation
2658,1970,2n Cycle
2659,1994,PhD
2660,1987,Graduation
2661,1957,PhD
2662,1946,PhD
2663,1949,Master
2664,1946,Graduation
2665,1972,Graduation
2666,1962,Basic
2667,1960,2n Cycle
2668,1958,Basic
2669,1987,Graduation
2670,1958,Master
2671,1975,Graduation
2672,1968,Graduation
2673,1999,Graduation
2674,1957,PhD
2675,1941,Graduation
2676,1940,Graduation
2677,1986,Basic
2678,1944,Graduation
2679,1959,Graduation
2680,1950,Graduation
2681,1981,2n Cycle
2682,1941,PhD
2683,1942,Graduation
2684,1962,Basic
2685,1994,Basic
2686,1951,Graduation
2687,1959,Master
2688,1944,Master
2689,1976,Master
2690,1977,Graduation
2691,1969,Basic
2692,1948,PhD
2693,1973,Graduation
2694,1992,Graduation
2695,1983,Graduation
2696,1974,Graduation
2697,1991,Master
2698,1997,Graduation
2699,1961,Graduation
2700,1983,PhD
2701,1963,Graduation
2702,1956,2n Cycle
2703,1949,Graduation
2704,1969,Graduation
2705,1995,Graduation
2706,1998,Graduation
2707,1985,Graduation
2708,1962,Master
2709,1971,2n Cycle
2710,1956,Graduation
2711,1989,Master
2712,1990,Master
2713,1956,Basic
2714,1953,Graduation
2715,1948,Graduation
2716,1979,Graduation
2717,1941,Master
2718,1984,Basic
2719,1964,Graduation
2720,1978,Graduation
2721,1948,2n Cycle
2722,1993,Basic
2723,1961,2n Cycle
2724,1982,Master
2725,1985,Graduation
2726,1943,PhD
2727,1965,Master
2728,1997,Graduation
2729,1968,PhD
2730,1984,Master
2731,1973,Graduation
2732,1962,Master
2733,1976,PhD
2734,1950,2n Cycle
2735,1945,Graduation
2736,1957,Graduation
2737,1960,PhD
2738,1981,Graduation
2739,1975,Master
2740,1980,Master
2741,1977,Graduation
2742,1973,PhD
2743,1956,PhD
2744,1976,Graduation
2745,1964,2n Cycle
2746,1977,Basic
2747,1997,Master
2748,1951,Master
2749,1962,Graduation
2750,1992,2n Cycle
2751,1981,Master
2752,1961,Master
2753,1960,Basic
2754,1966,Graduation
2755,1996,Basic
2756,1970,Graduation
2757,1945,Graduation
2758,1966,Graduation
2759,1979,2n Cycle
2760,1973,Basic
2761,1951,Master
2762,1984,Master
2763,1996,PhD
2764,1992,2n Cycle
2765,1946,Graduation
2766,1949,Graduation
2767,1984,Graduation
2768,1956,Master
2769,1965,Master
2770,1960,Graduation
2771,1967,Graduation
2772,1997,Basic
2773,1985,Graduation
2774,1941,Master
2775,1999,2n Cycle
2776,1993,Graduation
2777,1982,Graduation
2778,1940,Master
2779,1990,Basic
2780,1992,PhD
2781,1975,2n Cycle
2782,1990,Graduation
2783,1965,PhD
2784,1968,Master
2785,1960,Basic
2786,1950,Graduation
2787,1979,Basic
2788,1950,PhD
2789,1975,Graduation
2790,1988,Graduation
2791,1998,Basic
2792,1978,Graduation
2793,1979,Graduation
2794,1974,Graduation
2795,1993,Basic
2796,1973,Master
2797,1994,Master
2798,1986,Graduation
2799,1963,PhD
2800,1993,PhD
2801,1961,Basic
2802,1944,2n Cycle
2803,1995,Graduation
2804,1972,Master
2805,1997,Graduation
2806,1975,PhD
2807,1986,Graduation
2808,1959,Graduation
2809,1958,Graduation
2810,1974,PhD
2811,1991,Graduation
2812,1982,Master
2813,1956,Graduation
2814,1998,Graduation
2815,1984,Master
2816,1982,Graduation
2817,1973,Graduation
2818,1948,Master
2819,1965,Graduation
2820,1941,Graduation
2821,1992,Graduation
2822,1948,2n Cycle
2823,1948,PhD
2824,1979,Master
2825,1956,PhD
2826,1940,Graduation
2827,1964,Graduation
2828,1982,Master
2829,1979,Graduation
2830,1981,Graduation
2831,1964,Graduation
2832,1978,Graduation
2833,1974,2n Cycle
2834,1942,Graduation
2835,1989,PhD
2836,1976,Graduation
2837,1983,2n Cycle
2838,1983,Graduation
2839,1990,Graduation
2840,1969,Master
2841,1977,Master
2842,1973,Graduation
2843,1951,Graduation
2844,1958,Graduation
2845,1976,Graduation
2846,1983,Graduation
2847,1998,Graduation
2848,1998,Graduation
2849,1988,Graduation
2850,1956,Master
2851,1949,2n Cycle
2852,1996,PhD
2853,1994,Graduation
2854,1988,Graduation
2855,1986,2n Cycle
2856,1951,Graduation
2857,1955,Graduation
2858,1963,PhD
2859,1958,PhD
2860,1947,PhD
2861,1970,Graduation
2862,1960,Graduation
2863,1956,2n Cycle
2864,1962,Graduation
2865,1976,Master
2866,1993,Master
2867,1955,PhD
2868,1945,Graduation
2869,1947,Graduation
2870,1964,PhD
2871,1957,Basic
2872,1964,2n Cycle
2873,1951,Graduation
2874,1954,Graduation
2875,1998,2n Cycle
2876,1965,Master
2877,1980,Basic
2878,1984,Graduation
2879,1965,PhD
2880,1986,Master
2881,1971,Master
2882,1949,Graduation
2883,1955,Graduation
2884,1946,PhD
2885,1956,Graduation
2886,1962,Graduation
2887,1965,2n Cycle
2888,1960,Graduation
2889,1961,Basic
2890,1997,Graduation
2891,1946,Master
2892,1953,2n Cycle
2893,1954,Graduation
2894,1992,Graduation
2895,1946,Graduation
2896,1948,Graduation
2897,1990,Master
2898,1987,2n Cycle
2899,1947,Graduation
2900,1989,Graduation
2901,1998,Graduation
2902,1962,Master
2903,1968,Graduation
2904,1957,PhD
2905,1970,PhD
2906,1969,PhD
2907,1991,Graduation
2908,1978,Master
2909,1974,Graduation
2910,1957,Graduation
2911,1998,Basic
2912,1981,Master
2913,1978,Graduation
2914,1956,Graduation
2915,1953,Graduation
2916,1970,Graduation
2917,1963,Graduation
2918,1974,Graduation
2919,1983,Graduation
2920,1999,Master
2921,1984,PhD
2922,1973,Master
2923,1942,Graduation
2924,1976,2n Cycle
2925,1982,Basic
2926,1979,Basic
2927,1965,Basic
2928,1994,2n Cycle
2929,1962,PhD
2930,1983,Graduation
2931,1978,PhD
2932,1954,Master
2933,1995,Master
2934,1988,PhD
2935,1943,Graduation
2936,1968,Graduation
2937,1961,2n Cycle
2938,1964,PhD
2939,1952,PhD
2940,1957,Graduation
2941,1972,Graduation
2942,1955,Basic
2943,1984,Master
2944,1981,Master
2945,1983,Graduation
2946,1941,PhD
2947,1994,Graduation
2948,1974,Master
2949,1981,Graduation
2950,1973,Graduation
2951,1969,PhD
2952,1998,2n Cycle
2953,1994,Graduation
2954,1952,Basic
2955,1952,Graduation
2956,1957,Graduation
2957,1971,Graduation
2958,1971,Graduation
2959,1974,PhD
2960,1998,Graduation
2961,1978,Graduation
2962,1985,2n Cycle
2963,1991,Graduation
2964,1968,Master
2965,1988,Graduation
2966,1968,Master
2967,1992,Graduation
2968,1983,Graduation
2969,1996,Graduation
2970,1955,Graduation
2971,1995,Graduation
2972,1983,Master
2973,1986,Basic
2974,1996,Basic
2975,1949,Master
2976,1969,Graduation
2977,1964,Graduation
2978,1978,Graduation
2979,1959,Graduation
2980,1944,PhD
2981,1940,PhD
2982,1969,Graduation
2983,1988,Graduation
2984,1942,Basic
2985,1984,Master
2986,1953,Graduation
2987,1995,2n Cycle
2988,1969,2n Cycle
2989,1989,Graduation
2990,1943,Graduation
2991,1957,PhD
2992,1976,2n Cycle
2993,1964,Basic
2994,1987,Graduation
2995,1940,Graduation
2996,1992,PhD
2997,1985,PhD
2998,1954,Graduation
2999,1948,Basic
3000,1954,Master
3001,1988,Basic
3002,1996,Basic
3003,1963,Master
3004,1943,Graduation
3005,1951,PhD
3006,1998,Graduation
3007,1997,Master
3008,1976,Graduation
3009,1976,Master
3010,1982,Graduation
3011,1999,Graduation
3012,1945,Graduation
3013,1978,Graduation
3014,1995,Master
3015,1985,Master
3016,1963,PhD
3017,1950,Graduation
3018,1952,Graduation
3019,1973,Graduation
3020,1964,Graduation
3021,1946,Basic
3022,1991,Graduation
3023,1943,Graduation
3024,1998,Graduation
3025,1947,Graduation
3026,1959,PhD
3027,1968,PhD
3028,1993,Graduation
3029,1992,Graduation
3030,1990,Graduation
3031,1984,Graduation
3032,1985,Graduation
3033,1949,2n Cycle
3034,1982,PhD
3035,1973,PhD
3036,1996,Graduation
3037,1965,Graduation
3038,1980,PhD
3039,1988,Master
3040,1997,Master
3041,1942,Graduation
3042,1995,PhD
3043,1945,Graduation
3044,1944,Basic
3045,1944,PhD
3046,1993,PhD
3047,1986,Graduation
3048,1962,PhD
3049,1988,Graduation
3050,1948,Graduation
3051,1974,Graduation
3052,1959,Master
3053,1997,Graduation
3054,1988,Graduation
3055,1998,Basic
3056,1981,Graduation
3057,1974,PhD
3058,1989,Graduation
3059,1957,Graduation
3060,1956,Master
3061,1963,Graduation
3062,1942,Graduation
3063,1971,PhD
3064,1974,PhD
3065,1977,Master
3066,1952,Graduation
3067,1995,Graduation
3068,1986,Master
3069,1964,PhD
3070,1948,Basic
3071,1943,Basic
3072,1953,Basic
3073,1976,Graduation
3074,1973,Graduation
3075,1950,Master
3076,1980,Graduation
3077,1995,Graduation
3078,1942,Basic
3079,1998,Basic
3080,1967,Graduation
3081,1968,Graduation
3082,1948,Graduation
3083,1942,Basic
3084,1964,2n Cycle
3085,1973,Graduation
3086,1951,Graduation
3087,1981,Basic
3088,1948,Graduation
3089,1954,PhD
3090,1979,2n Cycle
3091,1964,Graduation
3092,1944,PhD
3093,1950,Graduation
3094,1998,Graduation
3095,1973,Basic
3096,1963,Graduation
3097,1999,2n Cycle
3098,1954,PhD
3099,1977,Graduation
3100,1947,Graduation
3101,1998,Graduation
3102,1944,Graduation
3103,1987,Graduation
3104,1965,Graduation
3105,1957,Graduation
3106,1945,Master
3107,1976,Master
3108,1999,Master
3109,1987,Graduation
3110,1952,Graduation
3111,1967,Master
3112,1944,Graduation
3113,1952,Graduation
3114,1956,Basic
3115,1989,Master
3116,1979,PhD
3117,1984,Graduation
3118,1971,Master
3119,1968,PhD
3120,1990,Master
3121,1997,Master
3122,1942,Basic
3123,1995,PhD
3124,1979,Graduation
3125,1973,Master
3126,1979,PhD
3127,1966,Master
3128,1952,Graduation
3129,1984,Graduation
3130,1972,Basic
3131,1945,Master
3132,1963,2n Cycle
3133,1958,Master
3134,1955,PhD
3135,1979,Master
3136,1967,Basic
3137,1972,PhD
3138,1998,PhD
3139,1998,Graduation
3140,1987,Graduation
3141,1980,Master
3142,1952,Graduation
3143,1982,Graduation
3144,1984,Graduation
3145,1964,Graduation
3146,1992,Graduation
3147,1981,Graduation
3148,1975,2n Cycle
3149,1966,PhD
3150,1977,Graduation
3151,1999,Graduation
3152,1946,Master
3153,1944,Graduation
3154,1982,Basic
3155,1984,Master
3156,1997,Master
3157,1996,Graduation
3158,1990,Master
3159,1970,Graduation
3160,1962,2n Cycle
3161,1981,PhD
3162,1949,Graduation
3163,1971,Graduation
3164,1982,Graduation
3165,1992,Master
3166,1969,Graduation
3167,1978,PhD
3168,1970,Graduation
3169,1957,Master
3170,1975,Basic
3171,1941,Master
3172,1953,Master
3173,1952,Graduation
3174,1968,Graduation
3175,1951,Master
3176,1978,Graduation
3177,1941,Graduation
3178,1971,Graduation
3179,1952,Graduation
3180,1985,Graduation
3181,1966,Basic
3182,1988,Graduation
3183,1980,PhD
3184,1956,Graduation
3185,1979,Master
3186,1970,Graduation
3187,1973,Basic
3188,1999,Basic
3189,1963,Graduation
3190,1984,2n Cycle
3191,1974,2n Cycle
3192,1987,Basic
3193,1945,Basic
3194,1958,Graduation
3195,1969,PhD
3196,1946,Graduation
3197,1949,Graduation
3198,1980,2n Cycle
3199,1971,Graduation
3200,1973,Master
3201,1967,Basic
3202,1999,Basic
3203,1954,2n Cycle
3204,1969,Graduation
3205,1976,Graduation
3206,1968,Graduation
3207,1961,Graduation
3208,1943,Graduation
3209,1959,Graduation
3210,1971,Master
3211,1975,PhD
3212,1989,Graduation
3213,1943,Master
3214,1966,Graduation
3215,1956,Graduation
3216,1951,Master
3217,1961,PhD
3218,1956,Master
3219,1949,Graduation
3220,1993,Basic
3221,1940,PhD
3222,1961,PhD
3223,1965,PhD
3224,1995,Basic
3225,1998,PhD
3226,1957,PhD
3227,1989,2n Cycle
3228,1953,Master
3229,1986,Graduation
3230,1968,Master
3231,1951,Graduation
3232,1975,Graduation
3233,1998,PhD
3234,1974,2n Cycle
3235,1991,2n Cycle
3236,1951,Graduation
