iso_code,continent,location,date,total_cases,new_cases
USA,North America,United States,26/07/2020,1166558,11849
GBR,Europe,United Kingdom,01/08/2020,1167006,448
AFG,Asia,Afghanistan,05/05/2020,1177403,10397
IND,Asia,India,11/06/2020,1177570,167
GBR,Europe,United Kingdom,14/06/2020,1181387,3817
AFG,Asia,Afghanistan,13/08/2020,1181947,560
GBR,Europe,United Kingdom,28/08/2020,1182285,338
IND,Asia,India,23/03/2020,1183159,874
USA,North America,United States,11/03/2020,1183159,0
GBR,Europe,United Kingdom,12/03/2020,1183256,97
USA,North America,United States,09/08/2020,1183408,152
IND,Asia,India,26/04/2020,1190101,6693
IND,Asia,India,15/05/2020,1190112,11
GBR,Europe,United Kingdom,08/05/2020,1190254,142
GBR,Europe,United Kingdom,14/08/2020,1190449,195
IND,Asia,India,12/05/2020,1190449,0
GBR,Europe,United Kingdom,23/05/2020,1190725,276
GBR,Europe,United Kingdom,03/07/2020,1191013,288
GBR,Europe,United Kingdom,03/07/2020,1193013,2000
ZAF,Africa,South Africa,07/08/2020,1193013,0
GBR,Europe,United Kingdom,01/06/2020,1193013,0
AFG,Asia,Afghanistan,09/06/2020,1195342,2329
IND,Asia,India,03/04/2020,1319234,123892
IND,Asia,India,01/05/2020,1319334,100
BRA,South America,Brazil,23/08/2020,1319334,0
USA,North America,United States,14/03/2020,1319351,17
BRA,South America,Brazil,09/03/2020,1319380,29
GBR,Europe,United Kingdom,26/05/2020,1319444,64
GBR,Europe,United Kingdom,05/07/2020,1319826,382
AFG,Asia,Afghanistan,02/04/2020,1319838,12
AFG,Asia,Afghanistan,03/04/2020,1320882,1044
AFG,Asia,Afghanistan,07/07/2020,1320900,18
AFG,Asia,Afghanistan,10/09/2020,1321224,324
AFG,Asia,Afghanistan,29/05/2020,1321364,140
AFG,Asia,Afghanistan,02/06/2020,1321379,15
AFG,Asia,Afghanistan,27/03/2020,1340956,19577
AFG,Asia,Afghanistan,20/06/2020,1341012,56
ZAF,Africa,South Africa,31/03/2020,1341915,903
AFG,Asia,Afghanistan,26/03/2020,1342052,137
IND,Asia,India,06/04/2020,1344249,2197
AFG,Asia,Afghanistan,01/09/2020,1470066,125817
USA,North America,United States,30/03/2020,1470205,139
AFG,Asia,Afghanistan,31/05/2020,1482223,12018
ZAF,Africa,South Africa,12/04/2020,1482237,14
GBR,Europe,United Kingdom,19/03/2020,1483523,1286
ZAF,Africa,South Africa,10/06/2020,1483546,23
ZAF,Africa,South Africa,29/05/2020,1486110,2564
GBR,Europe,United Kingdom,29/04/2020,1487763,1653
AFG,Asia,Afghanistan,03/03/2020,1488850,1087
AFG,Asia,Afghanistan,04/06/2020,1489037,187
GBR,Europe,United Kingdom,18/07/2020,1499383,10346
USA,North America,United States,16/03/2020,1499681,298
BRA,South America,Brazil,01/06/2020,1499763,82
IND,Asia,India,09/03/2020,1499806,43
GBR,Europe,United Kingdom,01/03/2020,1503107,3301
AFG,Asia,Afghanistan,13/07/2020,1503131,24
IND,Asia,India,08/06/2020,1503131,0
AFG,Asia,Afghanistan,05/08/2020,1503308,177
BRA,South America,Brazil,10/03/2020,1504425,1117
BRA,South America,Brazil,10/08/2020,1504465,40
GBR,Europe,United Kingdom,15/03/2020,1504884,419
IND,Asia,India,22/03/2020,1504884,0
ZAF,Africa,South Africa,07/05/2020,1505630,746
IND,Asia,India,16/05/2020,1505694,64
ZAF,Africa,South Africa,11/03/2020,1505823,129
BRA,South America,Brazil,28/04/2020,1506044,221
AFG,Asia,Afghanistan,13/07/2020,1515086,9042
ZAF,Africa,South Africa,30/03/2020,1515086,0
ZAF,Africa,South Africa,21/04/2020,1588207,73121
GBR,Europe,United Kingdom,14/03/2020,1588239,32
USA,North America,United States,06/06/2020,1589369,1130
BRA,South America,Brazil,21/08/2020,1589369,0
ZAF,Africa,South Africa,29/02/2020,1589425,56
BRA,South America,Brazil,17/03/2020,1590538,1113
GBR,Europe,United Kingdom,11/08/2020,1591165,627
AFG,Asia,Afghanistan,24/07/2020,1592202,1037
IND,Asia,India,28/02/2020,1592306,104
BRA,South America,Brazil,01/08/2020,1592333,27
GBR,Europe,United Kingdom,09/04/2020,1592333,0
GBR,Europe,United Kingdom,11/03/2020,1592753,420
GBR,Europe,United Kingdom,08/05/2020,1594027,1274
IND,Asia,India,21/03/2020,1639582,45555
BRA,South America,Brazil,06/09/2020,1639701,119
ZAF,Africa,South Africa,17/03/2020,1639765,64
GBR,Europe,United Kingdom,20/05/2020,1639805,40
IND,Asia,India,15/06/2020,1639998,193
AFG,Asia,Afghanistan,23/06/2020,1641472,1474
USA,North America,United States,03/08/2020,1641472,0
BRA,South America,Brazil,21/07/2020,1641542,70
IND,Asia,India,22/07/2020,1641586,44
USA,North America,United States,28/04/2020,1642043,457
USA,North America,United States,01/08/2020,1642043,0
IND,Asia,India,31/08/2020,1642527,484
ZAF,Africa,South Africa,22/03/2020,1642527,0
ZAF,Africa,South Africa,15/05/2020,1648440,5913
IND,Asia,India,01/03/2020,1648481,41
IND,Asia,India,23/08/2020,1648519,38
GBR,Europe,United Kingdom,04/06/2020,1648785,266
AFG,Asia,Afghanistan,08/09/2020,1648785,0
ZAF,Africa,South Africa,08/03/2020,1648794,9
GBR,Europe,United Kingdom,24/08/2020,1648794,0
USA,North America,United States,21/04/2020,1652725,3931
USA,North America,United States,07/04/2020,1652725,0
USA,North America,United States,15/08/2020,1762753,110028
IND,Asia,India,08/03/2020,1763159,406
BRA,South America,Brazil,07/04/2020,1763243,84
GBR,Europe,United Kingdom,10/08/2020,1763243,0
BRA,South America,Brazil,06/05/2020,1763330,87
AFG,Asia,Afghanistan,25/02/2020,1764645,1315
AFG,Asia,Afghanistan,28/02/2020,1764806,161
GBR,Europe,United Kingdom,23/05/2020,1764871,65
USA,North America,United States,20/05/2020,1770834,5963
ZAF,Africa,South Africa,12/07/2020,1771126,292
AFG,Asia,Afghanistan,11/05/2020,1771134,8
BRA,South America,Brazil,29/06/2020,1771323,189
BRA,South America,Brazil,10/05/2020,1777094,5771
ZAF,Africa,South Africa,01/06/2020,1777094,0
IND,Asia,India,10/04/2020,1777184,90
USA,North America,United States,12/05/2020,1778542,1358
IND,Asia,India,04/08/2020,1778693,151
GBR,Europe,United Kingdom,18/06/2020,1782300,3607
AFG,Asia,Afghanistan,19/07/2020,1782306,6
ZAF,Africa,South Africa,12/05/2020,1786706,4400
ZAF,Africa,South Africa,01/09/2020,1786788,82
ZAF,Africa,South Africa,17/06/2020,1787033,245
IND,Asia,India,02/03/2020,1787033,0
IND,Asia,India,17/03/2020,1787054,21
GBR,Europe,United Kingdom,07/03/2020,1787054,0
BRA,South America,Brazil,17/03/2020,1787054,0
BRA,South America,Brazil,25/03/2020,1789124,2070
GBR,Europe,United Kingdom,30/07/2020,1789159,35
ZAF,Africa,South Africa,11/08/2020,1789241,82
BRA,South America,Brazil,02/07/2020,1789241,0
GBR,Europe,United Kingdom,11/07/2020,1789716,475
BRA,South America,Brazil,25/07/2020,1789716,0
GBR,Europe,United Kingdom,29/07/2020,1789733,17
BRA,South America,Brazil,16/03/2020,1789792,59
ZAF,Africa,South Africa,28/06/2020,1790045,253
IND,Asia,India,19/07/2020,1790080,35
IND,Asia,India,10/08/2020,1790080,0
ZAF,Africa,South Africa,07/08/2020,1790082,2
BRA,South America,Brazil,29/07/2020,1794425,4343
ZAF,Africa,South Africa,07/05/2020,1794436,11
GBR,Europe,United Kingdom,16/03/2020,1794760,324
IND,Asia,India,02/03/2020,1794760,0
AFG,Asia,Afghanistan,10/04/2020,1795483,723
BRA,South America,Brazil,06/07/2020,1796112,629
AFG,Asia,Afghanistan,01/03/2020,1796188,76
AFG,Asia,Afghanistan,05/08/2020,1796748,560
USA,North America,United States,08/07/2020,1796876,128
AFG,Asia,Afghanistan,21/05/2020,1804340,7464
AFG,Asia,Afghanistan,09/04/2020,1806942,2602
ZAF,Africa,South Africa,27/04/2020,1810036,3094
USA,North America,United States,31/07/2020,1810041,5
USA,North America,United States,17/03/2020,1810044,3
USA,North America,United States,24/04/2020,1810044,0
GBR,Europe,United Kingdom,13/04/2020,1873124,63080
USA,North America,United States,09/04/2020,1873611,487
ZAF,Africa,South Africa,06/04/2020,1873798,187
GBR,Europe,United Kingdom,10/07/2020,1873824,26
BRA,South America,Brazil,28/05/2020,1874771,947
GBR,Europe,United Kingdom,20/07/2020,1874824,53
BRA,South America,Brazil,16/07/2020,1874832,8
USA,North America,United States,26/02/2020,1875485,653
USA,North America,United States,24/03/2020,1875560,75
BRA,South America,Brazil,12/03/2020,1875583,23
IND,Asia,India,28/08/2020,1875583,0
ZAF,Africa,South Africa,08/09/2020,1875583,0
GBR,Europe,United Kingdom,29/03/2020,1875615,32
ZAF,Africa,South Africa,19/07/2020,1875708,93
ZAF,Africa,South Africa,20/03/2020,1875732,24
AFG,Asia,Afghanistan,29/03/2020,1875825,93
USA,North America,United States,09/05/2020,1876385,560
GBR,Europe,United Kingdom,05/05/2020,1882765,6380
ZAF,Africa,South Africa,20/04/2020,1884429,1664
GBR,Europe,United Kingdom,03/06/2020,1884662,233
ZAF,Africa,South Africa,12/04/2020,1884671,9
USA,North America,United States,04/03/2020,1885294,623
ZAF,Africa,South Africa,07/06/2020,1887194,1900
BRA,South America,Brazil,29/07/2020,1887998,804
USA,North America,United States,06/06/2020,1888085,87
GBR,Europe,United Kingdom,04/05/2020,1888085,0
IND,Asia,India,31/05/2020,1895062,6977
ZAF,Africa,South Africa,01/05/2020,1914148,19086
BRA,South America,Brazil,11/05/2020,1918861,4713
USA,North America,United States,18/03/2020,1918861,0
AFG,Asia,Afghanistan,06/04/2020,1918908,47
USA,North America,United States,28/05/2020,1918998,90
GBR,Europe,United Kingdom,28/06/2020,1920164,1166
GBR,Europe,United Kingdom,08/08/2020,1921210,1046
AFG,Asia,Afghanistan,25/05/2020,1921454,244
BRA,South America,Brazil,25/07/2020,1922555,1101
GBR,Europe,United Kingdom,16/05/2020,1922555,0
BRA,South America,Brazil,06/09/2020,1923487,932
BRA,South America,Brazil,28/03/2020,1923489,2
USA,North America,United States,21/06/2020,1923495,6
BRA,South America,Brazil,16/04/2020,1923586,91
ZAF,Africa,South Africa,24/08/2020,1933981,10395
GBR,Europe,United Kingdom,16/04/2020,1944770,10789
GBR,Europe,United Kingdom,18/07/2020,1947142,2372
IND,Asia,India,19/06/2020,1949706,2564
BRA,South America,Brazil,07/07/2020,1949750,44
IND,Asia,India,01/09/2020,1949779,29
USA,North America,United States,08/05/2020,1969709,19930
IND,Asia,India,05/04/2020,1971869,2160
BRA,South America,Brazil,11/07/2020,1971950,81
GBR,Europe,United Kingdom,09/07/2020,1972038,88
USA,North America,United States,29/03/2020,1975017,2979
BRA,South America,Brazil,03/06/2020,1977089,2072
USA,North America,United States,20/05/2020,1980595,3506
AFG,Asia,Afghanistan,30/05/2020,1982929,2334
BRA,South America,Brazil,03/09/2020,1983148,219
AFG,Asia,Afghanistan,17/05/2020,1983186,38
IND,Asia,India,28/02/2020,1983344,158
BRA,South America,Brazil,26/07/2020,1983362,18
AFG,Asia,Afghanistan,14/04/2020,1985372,2010
ZAF,Africa,South Africa,01/04/2020,2018714,33342
GBR,Europe,United Kingdom,26/02/2020,2020052,1338
IND,Asia,India,28/08/2020,2022462,2410
BRA,South America,Brazil,07/03/2020,2022696,234
BRA,South America,Brazil,04/08/2020,2022696,0
GBR,Europe,United Kingdom,20/05/2020,2022766,70
GBR,Europe,United Kingdom,26/02/2020,2022768,2
AFG,Asia,Afghanistan,22/08/2020,2022847,79
AFG,Asia,Afghanistan,18/04/2020,2023925,1078
AFG,Asia,Afghanistan,14/08/2020,2024048,123
USA,North America,United States,29/04/2020,2024712,664
IND,Asia,India,05/09/2020,2026146,1434
BRA,South America,Brazil,17/05/2020,2026146,0
IND,Asia,India,13/08/2020,2026148,2
GBR,Europe,United Kingdom,06/05/2020,2026159,11
ZAF,Africa,South Africa,14/06/2020,2026526,367
IND,Asia,India,06/09/2020,2026575,49
IND,Asia,India,25/04/2020,2027000,425
AFG,Asia,Afghanistan,19/03/2020,2029836,2836
GBR,Europe,United Kingdom,15/04/2020,2030984,1148
IND,Asia,India,13/04/2020,2031065,81
BRA,South America,Brazil,24/06/2020,2031065,0
AFG,Asia,Afghanistan,01/07/2020,2031872,807
IND,Asia,India,02/04/2020,2032980,1108
GBR,Europe,United Kingdom,15/04/2020,2035545,2565
ZAF,Africa,South Africa,09/05/2020,2035741,196
BRA,South America,Brazil,03/04/2020,2035750,9
ZAF,Africa,South Africa,23/04/2020,2041368,5618
GBR,Europe,United Kingdom,12/06/2020,2041368,0
GBR,Europe,United Kingdom,17/05/2020,2041427,59
GBR,Europe,United Kingdom,07/09/2020,2041448,21
ZAF,Africa,South Africa,14/03/2020,2041448,0
USA,North America,United States,18/05/2020,2116387,74939
BRA,South America,Brazil,25/02/2020,2117574,1187
GBR,Europe,United Kingdom,08/06/2020,2117717,143
USA,North America,United States,03/03/2020,2118009,292
AFG,Asia,Afghanistan,08/08/2020,2118103,94
USA,North America,United States,30/07/2020,2118324,221
AFG,Asia,Afghanistan,23/08/2020,2118421,97
ZAF,Africa,South Africa,21/04/2020,2118421,0
USA,North America,United States,13/08/2020,2118458,37
ZAF,Africa,South Africa,06/04/2020,2136104,17646
GBR,Europe,United Kingdom,10/07/2020,2136296,192
USA,North America,United States,11/06/2020,2137342,1046
USA,North America,United States,11/04/2020,2159283,21941
GBR,Europe,United Kingdom,28/06/2020,2159283,0
AFG,Asia,Afghanistan,17/07/2020,2160696,1413
GBR,Europe,United Kingdom,30/06/2020,2160761,65
BRA,South America,Brazil,05/07/2020,2172388,11627
USA,North America,United States,08/09/2020,2172426,38
BRA,South America,Brazil,02/09/2020,2172992,566
GBR,Europe,United Kingdom,09/06/2020,2174074,1082
ZAF,Africa,South Africa,04/09/2020,2174281,207
GBR,Europe,United Kingdom,04/05/2020,2174281,0
IND,Asia,India,04/07/2020,2174313,32
BRA,South America,Brazil,03/06/2020,2174540,227
IND,Asia,India,16/05/2020,2176046,1506
BRA,South America,Brazil,22/03/2020,2188691,12645
ZAF,Africa,South Africa,08/06/2020,2188691,0
IND,Asia,India,01/04/2020,2188700,9
IND,Asia,India,29/04/2020,2189545,845
BRA,South America,Brazil,05/09/2020,2189575,30
GBR,Europe,United Kingdom,29/08/2020,2193751,4176
AFG,Asia,Afghanistan,10/04/2020,2195660,1909
GBR,Europe,United Kingdom,08/06/2020,2195993,333
AFG,Asia,Afghanistan,05/06/2020,2210500,14507
BRA,South America,Brazil,19/03/2020,2210620,120
USA,North America,United States,29/04/2020,2216970,6350
GBR,Europe,United Kingdom,12/05/2020,2217034,64
IND,Asia,India,30/04/2020,2217034,0
GBR,Europe,United Kingdom,07/09/2020,2217194,160
BRA,South America,Brazil,03/04/2020,2217194,0
USA,North America,United States,02/06/2020,2251942,34748
USA,North America,United States,19/08/2020,2252029,87
GBR,Europe,United Kingdom,17/06/2020,2255570,3541
GBR,Europe,United Kingdom,09/08/2020,2258158,2588
ZAF,Africa,South Africa,21/06/2020,2260591,2433
GBR,Europe,United Kingdom,06/08/2020,2260743,152
BRA,South America,Brazil,07/09/2020,2260971,228
AFG,Asia,Afghanistan,17/07/2020,2260971,0
ZAF,Africa,South Africa,25/04/2020,2261170,199
AFG,Asia,Afghanistan,10/08/2020,2261182,12
IND,Asia,India,09/05/2020,2261372,190
BRA,South America,Brazil,11/08/2020,2262765,1393
ZAF,Africa,South Africa,25/03/2020,2263089,324
USA,North America,United States,27/03/2020,2263564,475
ZAF,Africa,South Africa,06/04/2020,2263681,117
IND,Asia,India,26/05/2020,2263730,49
USA,North America,United States,05/09/2020,2263730,0
ZAF,Africa,South Africa,01/04/2020,2264121,391
USA,North America,United States,04/04/2020,2264121,0
GBR,Europe,United Kingdom,20/06/2020,2264890,769
USA,North America,United States,01/09/2020,2264890,0
ZAF,Africa,South Africa,09/08/2020,2265010,120
USA,North America,United States,30/07/2020,2265086,76
BRA,South America,Brazil,16/08/2020,2265209,123
GBR,Europe,United Kingdom,16/03/2020,2269365,4156
GBR,Europe,United Kingdom,29/05/2020,2406693,137328
IND,Asia,India,29/06/2020,2406704,11
GBR,Europe,United Kingdom,24/08/2020,2406709,5
AFG,Asia,Afghanistan,12/08/2020,2406820,111
BRA,South America,Brazil,24/04/2020,2406820,0
IND,Asia,India,07/05/2020,2409276,2456
AFG,Asia,Afghanistan,26/03/2020,2410636,1360
USA,North America,United States,04/07/2020,2410636,0
AFG,Asia,Afghanistan,08/04/2020,2411787,1151
IND,Asia,India,05/05/2020,2411894,107
GBR,Europe,United Kingdom,14/03/2020,2412527,633
BRA,South America,Brazil,09/09/2020,2412585,58
IND,Asia,India,28/04/2020,2415665,3080
AFG,Asia,Afghanistan,29/08/2020,2416662,997
AFG,Asia,Afghanistan,22/05/2020,2416662,0
IND,Asia,India,26/07/2020,2458026,41364
ZAF,Africa,South Africa,17/03/2020,2460060,2034
ZAF,Africa,South Africa,03/04/2020,2460060,0
IND,Asia,India,02/07/2020,2460202,142
ZAF,Africa,South Africa,26/07/2020,2462139,1937
IND,Asia,India,11/05/2020,2462139,0
GBR,Europe,United Kingdom,31/08/2020,2462255,116
IND,Asia,India,07/04/2020,2511491,49236
USA,North America,United States,31/07/2020,2514288,2797
BRA,South America,Brazil,26/07/2020,2514774,486
BRA,South America,Brazil,15/06/2020,2515774,1000
USA,North America,United States,16/05/2020,2526842,11068
AFG,Asia,Afghanistan,19/06/2020,2526856,14
AFG,Asia,Afghanistan,28/02/2020,2527680,824
AFG,Asia,Afghanistan,23/06/2020,2545075,17395
AFG,Asia,Afghanistan,03/05/2020,2545827,752
GBR,Europe,United Kingdom,29/03/2020,2547264,1437
USA,North America,United States,10/03/2020,2547374,110
BRA,South America,Brazil,31/07/2020,2547374,0
USA,North America,United States,08/03/2020,2547379,5
BRA,South America,Brazil,19/03/2020,2547403,24
AFG,Asia,Afghanistan,12/05/2020,2547531,128
GBR,Europe,United Kingdom,03/06/2020,2547537,6
IND,Asia,India,07/06/2020,2547621,84
IND,Asia,India,09/09/2020,2610178,62557
ZAF,Africa,South Africa,18/07/2020,2622164,11986
AFG,Asia,Afghanistan,19/08/2020,2622201,37
AFG,Asia,Afghanistan,14/03/2020,2622416,215
USA,North America,United States,19/04/2020,2622944,528
GBR,Europe,United Kingdom,02/07/2020,2623565,621
GBR,Europe,United Kingdom,26/07/2020,2644252,20687
USA,North America,United States,17/03/2020,2644299,47
GBR,Europe,United Kingdom,26/03/2020,2644348,49
GBR,Europe,United Kingdom,13/07/2020,2645456,1108
IND,Asia,India,07/03/2020,2645459,3
GBR,Europe,United Kingdom,17/07/2020,2645459,0
AFG,Asia,Afghanistan,27/08/2020,2645715,256
IND,Asia,India,21/03/2020,2645715,0
AFG,Asia,Afghanistan,17/07/2020,2645715,0
AFG,Asia,Afghanistan,07/08/2020,2658773,13058
USA,North America,United States,08/03/2020,2660166,1393
ZAF,Africa,South Africa,14/07/2020,2660729,563
GBR,Europe,United Kingdom,12/07/2020,2661504,775
GBR,Europe,United Kingdom,02/05/2020,2667192,5688
GBR,Europe,United Kingdom,01/05/2020,2667238,46
GBR,Europe,United Kingdom,18/04/2020,2668327,1089
IND,Asia,India,01/09/2020,2670233,1906
BRA,South America,Brazil,23/03/2020,2670233,0
AFG,Asia,Afghanistan,22/05/2020,2671656,1423
ZAF,Africa,South Africa,08/04/2020,2675346,3690
ZAF,Africa,South Africa,04/07/2020,2675346,0
BRA,South America,Brazil,16/07/2020,2675471,125
BRA,South America,Brazil,29/04/2020,2678336,2865
BRA,South America,Brazil,17/03/2020,2678921,585
IND,Asia,India,01/05/2020,2679104,183
BRA,South America,Brazil,20/07/2020,2679104,0
IND,Asia,India,17/07/2020,2679521,417
USA,North America,United States,21/08/2020,2679550,29
USA,North America,United States,29/02/2020,2679631,81
ZAF,Africa,South Africa,15/05/2020,2716275,36644
USA,North America,United States,25/06/2020,2716315,40
IND,Asia,India,08/08/2020,2716315,0
IND,Asia,India,07/06/2020,2716525,210
AFG,Asia,Afghanistan,28/03/2020,2717244,719
BRA,South America,Brazil,17/04/2020,2717390,146
GBR,Europe,United Kingdom,15/05/2020,2719876,2486
GBR,Europe,United Kingdom,27/05/2020,2719876,0
BRA,South America,Brazil,28/04/2020,2719964,88
GBR,Europe,United Kingdom,20/05/2020,2743928,23964
GBR,Europe,United Kingdom,23/03/2020,2753027,9099
GBR,Europe,United Kingdom,04/04/2020,2753904,877
ZAF,Africa,South Africa,07/06/2020,2753904,0
IND,Asia,India,26/04/2020,2753904,0
IND,Asia,India,01/08/2020,2753912,8
IND,Asia,India,29/04/2020,2753962,50
BRA,South America,Brazil,14/06/2020,2755139,1177
USA,North America,United States,02/06/2020,2869469,114330
ZAF,Africa,South Africa,14/08/2020,2871862,2393
ZAF,Africa,South Africa,17/07/2020,2872247,385
GBR,Europe,United Kingdom,12/08/2020,2872247,0
AFG,Asia,Afghanistan,29/04/2020,2879594,7347
IND,Asia,India,01/05/2020,2879635,41
ZAF,Africa,South Africa,28/03/2020,2880128,493
ZAF,Africa,South Africa,24/02/2020,2888002,7874
AFG,Asia,Afghanistan,23/07/2020,2888160,158
GBR,Europe,United Kingdom,06/07/2020,3022530,134370
ZAF,Africa,South Africa,10/03/2020,3022530,0
ZAF,Africa,South Africa,25/02/2020,3102490,79960
USA,North America,United States,18/06/2020,3105366,2876
AFG,Asia,Afghanistan,09/05/2020,3105448,82
GBR,Europe,United Kingdom,21/03/2020,3105448,0
GBR,Europe,United Kingdom,13/03/2020,3105448,0
IND,Asia,India,22/03/2020,3109848,4400
USA,North America,United States,29/03/2020,3110069,221
GBR,Europe,United Kingdom,17/06/2020,3110099,30
USA,North America,United States,01/05/2020,3110136,37
IND,Asia,India,12/04/2020,3110139,3
AFG,Asia,Afghanistan,01/03/2020,3110233,94
ZAF,Africa,South Africa,31/03/2020,3110326,93
ZAF,Africa,South Africa,17/06/2020,3110326,0
BRA,South America,Brazil,25/07/2020,3113849,3523
BRA,South America,Brazil,17/06/2020,3120298,6449
BRA,South America,Brazil,04/04/2020,3120356,58
ZAF,Africa,South Africa,14/05/2020,3128569,8213
USA,North America,United States,25/04/2020,3128825,256
BRA,South America,Brazil,10/08/2020,3128907,82
AFG,Asia,Afghanistan,14/07/2020,3128918,11
GBR,Europe,United Kingdom,23/08/2020,3128996,78
USA,North America,United States,25/02/2020,3129631,635
ZAF,Africa,South Africa,21/05/2020,3137056,7425
AFG,Asia,Afghanistan,11/04/2020,3144676,7620
ZAF,Africa,South Africa,20/08/2020,3144860,184
USA,North America,United States,18/04/2020,3144927,67
USA,North America,United States,06/03/2020,3147724,2797
USA,North America,United States,07/09/2020,3147739,15
IND,Asia,India,24/02/2020,3147917,178
GBR,Europe,United Kingdom,28/08/2020,3178221,30304
BRA,South America,Brazil,05/06/2020,3180069,1848
IND,Asia,India,28/03/2020,3182587,2518
GBR,Europe,United Kingdom,14/06/2020,3183205,618
ZAF,Africa,South Africa,09/04/2020,3183418,213
BRA,South America,Brazil,28/08/2020,3198190,14772
IND,Asia,India,04/09/2020,3199403,1213
IND,Asia,India,19/07/2020,3199403,0
AFG,Asia,Afghanistan,28/07/2020,3200295,892
IND,Asia,India,01/06/2020,3200357,62
USA,North America,United States,09/08/2020,3210635,10278
ZAF,Africa,South Africa,20/04/2020,3210787,152
IND,Asia,India,14/04/2020,3210793,6
USA,North America,United States,16/03/2020,3212020,1227
GBR,Europe,United Kingdom,01/05/2020,3291461,79441
GBR,Europe,United Kingdom,08/07/2020,3291688,227
USA,North America,United States,23/04/2020,3292812,1124
AFG,Asia,Afghanistan,28/04/2020,3292826,14
AFG,Asia,Afghanistan,30/03/2020,3292907,81
GBR,Europe,United Kingdom,09/09/2020,3293052,145
ZAF,Africa,South Africa,23/03/2020,3293172,120
IND,Asia,India,03/09/2020,3293233,61
GBR,Europe,United Kingdom,19/04/2020,3293944,711
GBR,Europe,United Kingdom,15/05/2020,3320936,26992
USA,North America,United States,04/07/2020,3320936,0
AFG,Asia,Afghanistan,10/09/2020,3321027,91
ZAF,Africa,South Africa,19/08/2020,3321030,3
USA,North America,United States,08/08/2020,3321220,190
GBR,Europe,United Kingdom,04/08/2020,3321255,35
BRA,South America,Brazil,25/07/2020,3322618,1363
IND,Asia,India,07/04/2020,3322699,81
GBR,Europe,United Kingdom,16/08/2020,3325124,2425
USA,North America,United States,09/08/2020,3325231,107
BRA,South America,Brazil,25/03/2020,3326047,816
BRA,South America,Brazil,07/09/2020,3326065,18
GBR,Europe,United Kingdom,14/05/2020,3326065,0
ZAF,Africa,South Africa,07/05/2020,3326065,0
AFG,Asia,Afghanistan,12/08/2020,3326395,330
BRA,South America,Brazil,26/06/2020,3331204,4809
IND,Asia,India,24/08/2020,3331210,6
USA,North America,United States,10/03/2020,3331216,6
USA,North America,United States,01/05/2020,3331537,321
USA,North America,United States,21/06/2020,3331828,291
GBR,Europe,United Kingdom,02/05/2020,3331874,46
USA,North America,United States,05/04/2020,3332632,758
USA,North America,United States,12/06/2020,3333599,967
IND,Asia,India,04/04/2020,3382465,48866
AFG,Asia,Afghanistan,13/04/2020,3382502,37
ZAF,Africa,South Africa,29/02/2020,3382502,0
GBR,Europe,United Kingdom,08/05/2020,3382520,18
GBR,Europe,United Kingdom,22/08/2020,3383111,591
USA,North America,United States,11/03/2020,3383190,79
IND,Asia,India,07/06/2020,3383673,483
BRA,South America,Brazil,26/08/2020,3384267,594
USA,North America,United States,30/04/2020,3384645,378
USA,North America,United States,16/07/2020,3384729,84
GBR,Europe,United Kingdom,21/08/2020,3384761,32
GBR,Europe,United Kingdom,02/06/2020,3384801,40
USA,North America,United States,23/05/2020,3384801,0
GBR,Europe,United Kingdom,03/08/2020,3384850,49
IND,Asia,India,14/05/2020,3384911,61
BRA,South America,Brazil,17/06/2020,3386213,1302
BRA,South America,Brazil,14/03/2020,3386878,665
BRA,South America,Brazil,13/05/2020,3386878,0
USA,North America,United States,19/04/2020,3387009,131
ZAF,Africa,South Africa,20/08/2020,3387396,387
USA,North America,United States,16/04/2020,3387547,151
USA,North America,United States,12/04/2020,3387555,8
IND,Asia,India,27/02/2020,3395645,8090
BRA,South America,Brazil,12/03/2020,3395680,35
GBR,Europe,United Kingdom,30/03/2020,3395680,0
GBR,Europe,United Kingdom,19/06/2020,3414479,18799
AFG,Asia,Afghanistan,29/03/2020,3414479,0
AFG,Asia,Afghanistan,24/03/2020,3421115,6636
ZAF,Africa,South Africa,20/06/2020,3458843,37728
GBR,Europe,United Kingdom,26/04/2020,3464831,5988
BRA,South America,Brazil,15/05/2020,3500396,35565
USA,North America,United States,21/07/2020,3514605,14209
GBR,Europe,United Kingdom,21/08/2020,3514646,41
ZAF,Africa,South Africa,02/05/2020,3514646,0
ZAF,Africa,South Africa,27/06/2020,3514646,0
GBR,Europe,United Kingdom,10/08/2020,3515060,414
AFG,Asia,Afghanistan,17/04/2020,3515125,65
BRA,South America,Brazil,20/05/2020,3517371,2246
GBR,Europe,United Kingdom,30/07/2020,3517371,0
USA,North America,United States,19/04/2020,3517371,0
USA,North America,United States,12/05/2020,3517409,38
IND,Asia,India,10/08/2020,3517505,96
USA,North America,United States,14/07/2020,3517514,9
GBR,Europe,United Kingdom,21/07/2020,3518184,670
GBR,Europe,United Kingdom,22/06/2020,3518428,244
USA,North America,United States,19/03/2020,3518512,84
AFG,Asia,Afghanistan,19/08/2020,3520584,2072
BRA,South America,Brazil,11/06/2020,3522633,2049
ZAF,Africa,South Africa,28/05/2020,3522721,88
GBR,Europe,United Kingdom,16/04/2020,3522721,0
USA,North America,United States,11/04/2020,3522922,201
ZAF,Africa,South Africa,03/05/2020,3553248,30326
