state,numfarms,yieldperacre,totalprod,stocks,priceperlb,prodvalue,year
WY,1736,145.3,235197,66871,1.16,272398,2011
AL,919,115.3,96041,21314,1.24,119115,2012
AZ,3179,120.4,352956,54766,1.25,439814,2012
AR,647,132.8,89614,12539,1.19,106887,2012
CA,19835,123.8,2418141,469381,1.15,2781104,2012
CO,2997,148.8,463995,136984,1.17,543728,2012
FL,9744,116.5,1203876,300773,1.2,1448010,2012
GA,1086,118.4,138851,33052,1.31,181862,2012
ID,5269,150.1,853666,172010,1.13,962150,2012
IL,1987,139.9,303580,73151,1.21,366799,2012
IN,1306,125.0,170311,21730,1.22,208003,2012
IA,1499,149.2,211087,25135,1.29,271976,2012
KS,1379,139.7,190779,26466,1.17,222992,2012
KY,1532,130.4,211658,47485,1.1,232874,2012
LA,2700,139.7,345943,46762,1.15,398669,2012
ME,938,144.1,135989,29886,1.14,155644,2012
MI,2854,107.5,292150,92383,1.19,346437,2012
MN,2988,148.4,406502,98625,1.19,485431,2012
MS,2501,145.4,356407,71426,1.29,458385,2012
MO,2349,133.7,333799,48532,1.14,381770,2012
MT,3044,118.7,349462,62824,1.25,436884,2012
NE,2190,118.6,242938,60099,1.11,268922,2012
NJ,1961,139.8,275083,38546,1.22,336842,2012
NM,3099,113.3,380307,107602,1.24,473072,2012
NY,3986,133.3,571976,73024,1.23,700728,2012
NC,404,141.9,56402,12828,1.2,67947,2012
ND,1939,125.3,258955,40835,1.17,302732,2012
OH,1939,113.6,203805,30431,1.2,244983,2012
OR,4142,128.9,534136,127721,1.18,630825,2012
PA,1475,140.4,194287,38788,1.2,233423,2012
SD,150,130.5,17798,4381,1.26,22404,2012
TN,1726,138.9,261788,33144,1.17,306106,2012
TX,9375,144.9,1457481,381884,1.28,1862895,2012
UT,1337,127.4,162036,45447,1.21,196359,2012
VT,1602,119.7,187253,54051,1.19,222228,2012
VA,1965,118.6,229209,42522,1.14,261082,2012
WA,6804,129.6,842962,179267,1.17,983965,2012
WI,2082,145.8,326230,55850,1.14,372704,2012
WY,1049,128.5,126456,24163,1.16,147288,2012
