No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
147,FR,FR Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,1426445.85,28.23,,2.29,3.21,24.49,"10,717",4.35,10.20%,3.55%,0.64,1.37,5.74%,57.99
148,FS,FS Holdings Inc.,Consumer Goods,Beverages,USA,25228120.74,14.30,3.60,5.41,,28.99,"51,108",0.23,-8.80%,6.79%,0.61,1.51,64.20%,56.95
149,FT,FT Holdings Inc.,Consumer Goods,Electronic Equipment,USA,41370064.11,24.59,4.79,1.32,7.82,105.17,"5,737",6.24,9.97%,-11.64%,0.25,0.97,19.99%,14.70
150,FU,FU Corp.,Consumer Goods,Food - Major Diversified,USA,34361167.06,27.71,3.95,,5.76,33.54,"45,529",0.88,25.95%,21.97%,0.75,0.53,39.70%,47.41
151,FV,FV Corp.,Consumer Goods,Auto Manufacturers,USA,3514878.31,19.77,1.14,,7.04,25.19,"64,542",3.97,2.99%,8.47%,0.92,0.19,60.97%,52.44
152,FW,FW Corp.,Consumer Goods,Beverages,USA,3472950.76,50.06,0.64,2.79,,9.83,"31,131",5.39,24.94%,7.04%,0.36,1.34,56.64%,24.20
153,FX,FX Holdings Inc.,Consumer Goods,Electronic Equipment,USA,8088140.40,4.45,1.44,1.06,0.83,20.13,"11,568",0.46,14.38%,4.95%,0.34,0.53,4.96%,39.97
154,FY,FY Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,450582.46,14.54,2.84,0.99,3.36,16.98,"5,673",5.51,27.62%,-2.56%,0.42,0.96,34.05%,48.08
155,FZ,FZ Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,201173635.40,32.56,0.58,1.70,3.19,135.44,"204,816",-0.65,-1.48%,1.50%,0.98,1.46,34.11%,75.64
156,GA,GA Corp.,Consumer Goods,Beverages,USA,1680365.61,16.49,2.79,,3.59,10.39,"46,611",-1.81,23.02%,13.58%,0.45,0.15,28.02%,49.40
157,GB,GB Holdings Inc.,Consumer Goods,Electronic Equipment,USA,6333944.99,10.88,,4.45,1.06,29.34,"170,168",2.44,48.16%,-8.35%,1.15,0.97,65.77%,66.51
158,GC,GC Corp.,Consumer Goods,Food - Major Diversified,USA,1576284.96,39.37,1.68,,3.67,58.12,"107,733",-1.24,24.31%,-3.70%,0.14,1.37,21.90%,46.71
159,GD,GD Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,4636114.27,41.87,,2.33,3.44,20.39,"437,027",-2.60,29.05%,6.37%,0.47,0.77,33.25%,55.85
160,GE,GE Holdings Inc.,Consumer Goods,Beverages,USA,8301185.02,12.18,3.71,4.89,1.43,14.56,"6,416",1.12,22.50%,19.02%,0.55,1.54,32.70%,45.57
161,GF,GF Holdings Inc.,Consumer Goods,Electronic Equipment,USA,14461036.90,21.36,,4.82,10.84,46.80,"677,235",-2.56,11.61%,22.14%,0.77,1.05,39.15%,36.89
162,GG,GG Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,13437863.66,10.52,,1.16,,102.84,"18,576",4.99,18.73%,21.11%,1.30,0.52,67.91%,55.05
163,GH,GH Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,1437126.55,22.97,0.50,3.03,1.27,46.40,"65,616",-3.34,-10.98%,2.20%,2.16,0.81,38.56%,59.15
164,GI,GI Holdings Inc.,Consumer Goods,Beverages,USA,5749286.03,59.44,1.09,,1.16,106.88,"225,367",1.25,21.94%,12.80%,0.15,1.46,25.57%,49.14
165,GJ,GJ Holdings Inc.,Consumer Goods,Electronic Equipment,USA,2244800.87,65.10,,3.13,6.32,25.88,"28,426",3.97,15.98%,12.15%,0.51,1.25,2.97%,58.62
166,GK,GK Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,25123965.16,13.92,1.95,,2.06,160.32,"843,600",4.98,12.56%,23.29%,1.22,0.80,54.83%,30.70
167,GL,GL Corp.,Consumer Goods,Auto Manufacturers,USA,117248685.28,,0.84,0.89,2.90,55.49,"1,210",4.63,-7.97%,8.77%,0.31,0.88,37.96%,50.10
168,GM,GM Holdings Inc.,Consumer Goods,Beverages,USA,7733046.53,17.89,1.16,2.21,2.61,81.46,"87,853",0.05,37.45%,16.56%,0.39,1.42,10.97%,56.47
169,GN,GN Corp.,Consumer Goods,Electronic Equipment,USA,2318958.40,41.49,,1.78,0.44,16.85,"229,051",7.30,17.31%,-0.17%,0.18,0.90,27.05%,66.56
170,GO,GO Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,3320884.48,18.08,2.43,1.72,1.74,31.38,"43,794",4.31,-0.36%,21.86%,0.37,1.77,52.92%,54.24
171,GP,GP Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,18786587.54,29.01,0.40,1.12,6.92,16.14,"1,375,297",0.54,-8.43%,7.82%,2.34,0.23,34.93%,55.69
172,GQ,GQ Holdings Inc.,Consumer Goods,Beverages,USA,31949518.80,14.07,3.71,1.42,0.84,59.90,"53,154",3.79,4.33%,36.86%,0.42,0.77,83.04%,51.98
173,GR,GR Holdings Inc.,Consumer Goods,Electronic Equipment,USA,3875699.52,31.29,1.94,2.03,1.03,18.22,"12,356",5.47,8.72%,12.52%,1.17,1.15,33.67%,45.86
174,GS,GS Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,33553879.85,15.49,,0.61,0.87,19.29,"296,317",8.36,-12.85%,11.04%,0.33,0.35,43.57%,50.50
175,GT,GT Corp.,Consumer Goods,Auto Manufacturers,USA,24129229.63,12.88,3.29,2.78,2.07,63.38,"192,913",8.96,8.01%,18.60%,0.32,0.70,47.57%,54.63
176,GU,GU Corp.,Consumer Goods,Beverages,USA,2443797.12,18.82,2.48,6.85,2.43,17.19,"14,475",-2.27,0.98%,-5.60%,0.31,0.76,38.69%,30.89
177,GV,GV Holdings Inc.,Consumer Goods,Electronic Equipment,USA,4583309.42,14.08,0.92,2.64,2.76,20.84,"123,338",3.82,-3.56%,11.64%,0.71,1.05,12.30%,52.41
178,GW,GW Corp.,Consumer Goods,Food - Major Diversified,Canada,4217063.63,11.01,2.94,1.63,3.12,88.06,"917,262",0.09,5.15%,29.87%,0.43,1.52,48.48%,53.28
179,GX,GX Corp.,Consumer Goods,Auto Manufacturers,Canada,31037489.14,29.50,2.98,5.16,4.77,201.26,"132,414",5.39,4.88%,21.72%,1.52,0.64,15.41%,41.78
180,GY,GY Holdings Inc.,Consumer Goods,Beverages,Canada,208863.68,10.67,0.35,4.26,2.42,12.26,"944,268",5.75,11.01%,3.82%,0.19,1.84,64.82%,38.06
181,GZ,GZ Corp.,Consumer Goods,Electronic Equipment,Canada,6530929.23,7.25,,3.83,2.22,29.06,"32,199",0.11,15.30%,13.54%,0.62,0.60,54.25%,31.15
182,HA,HA Holdings Inc.,Consumer Goods,Food - Major Diversified,Canada,6817307.78,17.19,,1.44,5.03,92.13,"35,454",2.49,7.86%,13.26%,0.65,0.32,51.19%,32.10
183,HB,HB Corp.,Consumer Goods,Auto Manufacturers,Canada,62147559.38,14.31,1.14,0.64,3.26,77.94,"94,229",-4.24,6.80%,8.35%,0.44,0.58,21.77%,56.04
184,HC,HC Holdings Inc.,Consumer Goods,Beverages,Canada,6144927.65,17.54,4.62,2.31,1.58,55.88,"13,713",-0.45,14.83%,0.45%,0.38,0.65,59.89%,54.29
185,HD,HD Holdings Inc.,Consumer Goods,Electronic Equipment,Canada,1520996.97,17.82,1.67,1.67,1.11,20.63,"55,075",2.26,10.56%,2.63%,1.25,0.52,42.20%,64.07
186,HE,HE Holdings Inc.,Consumer Goods,Food - Major Diversified,UK,2710045.01,10.06,2.15,1.03,1.80,78.30,"224,473",6.18,24.57%,28.41%,0.28,1.68,23.75%,47.41
187,HF,HF Holdings Inc.,Consumer Goods,Auto Manufacturers,UK,1827834.30,10.21,2.57,1.33,2.11,85.10,"15,735",2.38,4.98%,5.91%,0.33,1.19,43.70%,85.80
188,HG,HG Corp.,Consumer Goods,Beverages,UK,13528219.90,42.38,2.61,6.33,2.05,20.68,"325,662",-2.94,12.16%,8.88%,0.37,0.15,53.09%,44.42
189,HH,HH Holdings Inc.,Consumer Goods,Electronic Equipment,UK,3971588.50,47.34,,2.97,3.07,30.55,"8,967",7.57,3.49%,24.58%,0.21,1.31,33.36%,38.97
190,HI,HI Holdings Inc.,Consumer Goods,Food - Major Diversified,UK,2350140.63,29.74,1.87,4.28,,33.71,"245,227",5.11,18.54%,-3.06%,0.62,1.60,56.82%,25.95
191,HJ,HJ Corp.,Consumer Goods,Auto Manufacturers,China,4476799.33,18.15,1.13,2.87,5.34,41.72,"64,207",4.12,13.99%,6.92%,0.22,1.28,39.53%,59.29
192,HK,HK Corp.,Consumer Goods,Beverages,China,2324773.88,24.38,2.56,,2.98,83.19,"87,003",2.94,2.86%,2.25%,3.13,1.61,15.76%,53.08
193,HL,HL Corp.,Consumer Goods,Electronic Equipment,China,4623323.31,46.55,4.82,19.98,1.16,47.86,"3,988",8.56,-2.84%,-8.58%,0.40,0.16,50.14%,63.48
194,HM,HM Holdings Inc.,Consumer Goods,Food - Major Diversified,China,9191223.37,26.83,,2.86,2.25,123.48,"54,305",-2.71,-2.01%,3.29%,1.66,1.06,50.02%,68.49
195,HN,HN Holdings Inc.,Consumer Goods,Auto Manufacturers,Chile,5377384.12,72.57,,0.60,3.99,11.00,"70,083",7.52,19.23%,19.48%,0.20,0.53,36.45%,64.23
196,HO,HO Holdings Inc.,Consumer Goods,Beverages,Chile,39609069.16,36.74,,3.59,14.95,188.05,"208,952",0.04,10.54%,15.06%,0.63,0.59,48.79%,71.97
197,HP,HP Holdings Inc.,Consumer Goods,Electronic Equipment,Chile,2394707.33,26.21,2.85,4.84,1.32,17.64,"78,396",0.56,6.70%,7.30%,0.24,1.00,37.69%,46.91
198,HQ,HQ Corp.,Consumer Goods,Food - Major Diversified,Switzerland,1312045.54,35.30,1.89,4.88,1.87,24.65,"8,952",-1.12,27.89%,8.75%,0.64,1.61,15.24%,63.36
199,HR,HR Corp.,Consumer Goods,Auto Manufacturers,Switzerland,3223188.44,35.82,3.73,1.56,4.76,99.17,"63,719",1.80,-0.23%,25.60%,0.26,2.00,17.00%,34.20
200,HS,HS Holdings Inc.,Consumer Goods,Beverages,USA,12572639.96,37.26,2.04,2.73,1.18,10.20,"173,935",1.62,8.03%,21.77%,1.34,1.00,30.31%,14.01
201,HT,HT Holdings Inc.,Consumer Goods,Electronic Equipment,USA,5755557.74,26.11,0.44,1.53,1.46,47.92,"26,649",2.29,11.12%,23.89%,0.15,1.10,57.44%,46.50
202,HU,HU Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,15058819.45,16.86,1.01,1.95,3.30,111.58,"40,811",8.20,3.20%,13.06%,0.39,0.67,28.86%,36.49
203,HV,HV Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,5435168.02,25.43,0.65,13.94,4.29,48.44,"90,138",1.58,8.15%,16.17%,0.16,0.88,8.59%,40.89
204,HW,HW Holdings Inc.,Consumer Goods,Beverages,USA,10125300.30,13.73,0.92,1.84,1.69,14.93,"72,563",2.55,15.82%,30.42%,0.39,1.20,18.60%,47.30
205,HX,HX Holdings Inc.,Consumer Goods,Electronic Equipment,USA,43152.38,29.28,1.97,8.51,5.54,12.85,"76,516",0.45,6.81%,26.61%,0.71,1.66,62.97%,27.96
206,HY,HY Corp.,Consumer Goods,Food - Major Diversified,USA,27512289.80,39.74,2.04,2.55,1.18,56.10,"15,218",2.11,-4.43%,20.97%,0.45,1.39,64.97%,43.65
207,HZ,HZ Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,1635857.49,16.49,1.70,0.54,1.25,32.60,"29,117",0.52,12.06%,10.50%,0.95,0.55,32.02%,54.03
208,IA,IA Corp.,Consumer Goods,Beverages,USA,53962884.78,9.73,1.59,5.12,0.89,60.10,"84,788",1.04,-11.12%,-0.72%,0.90,0.46,28.65%,53.42
209,IB,IB Holdings Inc.,Consumer Goods,Electronic Equipment,USA,1594199.59,23.95,1.47,2.17,2.24,16.44,"4,069",0.49,20.61%,28.69%,0.42,1.36,15.19%,73.80
210,IC,IC Corp.,Consumer Goods,Food - Major Diversified,USA,119748725.96,24.45,2.19,10.84,0.67,72.92,"136,460",2.13,-7.40%,8.81%,0.36,1.19,40.85%,66.49
211,ID,ID Holdings Inc.,Consumer Goods,Auto Manufacturers,USA,6513010.84,16.48,1.84,1.37,2.77,75.20,"31,242",5.58,17.04%,-16.09%,2.30,1.18,20.42%,67.51
212,IE,IE Corp.,Consumer Goods,Beverages,USA,12863155.29,10.00,3.53,2.85,1.60,21.52,"66,150",3.48,12.49%,8.19%,0.94,1.28,41.92%,44.42
213,IF,IF Corp.,Consumer Goods,Electronic Equipment,USA,1999450.68,15.23,1.74,1.05,0.47,25.57,"84,413",1.28,-23.06%,25.07%,0.26,1.61,64.48%,46.76
214,IG,IG Holdings Inc.,Consumer Goods,Food - Major Diversified,USA,1629426.38,6.45,3.27,3.19,1.77,9.47,"37,058",-2.44,5.02%,22.97%,0.84,0.15,45.88%,45.12
215,IH,IH Corp.,Consumer Goods,Auto Manufacturers,USA,5457592.30,44.18,2.14,,1.01,22.51,"85,001",6.20,33.89%,19.27%,1.24,0.79,15.42%,40.73
216,II,II Corp.,Consumer Goods,Beverages,USA,6754926.62,44.57,2.75,4.37,3.63,45.87,"43,355",3.84,9.10%,4.92%,0.79,0.68,37.37%,45.55
217,IJ,IJ Corp.,Consumer Goods,Electronic Equipment,USA,25147826.59,27.34,1.01,1.46,1.78,121.53,"192,271",-4.54,-8.72%,-0.55%,0.21,0.34,38.23%,47.88
218,IK,IK Corp.,Consumer Goods,Food - Major Diversified,USA,42062986.10,21.17,,1.45,1.65,58.96,"62,645",1.52,-8.01%,15.96%,1.41,0.48,61.16%,65.62
219,IL,IL Corp.,Financial,Asset Management,USA,20065643.86,28.98,1.06,3.70,1.59,46.00,"514,244",-0.93,35.23%,-10.03%,0.36,1.22,49.43%,48.67
220,IM,IM Holdings Inc.,Financial,Money Center Banks,USA,5545240.70,12.93,4.30,0.81,2.88,73.13,"114,396",1.42,4.58%,14.78%,0.34,0.67,40.56%,46.48
221,IN,IN Holdings Inc.,Financial,Property & Casualty Insurance,USA,723332.06,34.33,1.27,1.30,2.08,20.10,"38,425",0.59,19.64%,12.30%,0.28,1.05,30.05%,45.55
222,IO,IO Holdings Inc.,Financial,REIT - Office,USA,2487818.80,24.51,1.96,2.22,5.75,23.98,"75,465",2.05,32.22%,-6.25%,0.24,1.87,33.66%,34.45
223,IP,IP Corp.,Financial,Investment Brokerage,USA,35995199.83,,1.49,4.91,0.38,82.68,"125,609",-0.44,18.81%,13.92%,1.33,0.75,28.77%,68.81
224,IQ,IQ Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,59602077.27,4.43,0.75,5.52,2.39,22.83,"60,655",2.97,32.48%,5.70%,0.47,2.24,57.28%,57.14
225,IR,IR Holdings Inc.,Financial,Life Insurance,USA,2144308.92,18.50,1.02,2.61,1.42,57.69,"143,252",4.70,5.79%,2.94%,1.76,0.66,58.26%,65.41
226,IS,IS Corp.,Financial,Closed-End Fund - Debt,USA,18128896.96,12.96,3.34,6.57,1.12,70.43,"106,848",-0.12,-1.44%,1.82%,0.35,0.33,31.06%,47.88
227,IT,IT Corp.,Financial,Asset Management,USA,17725731.92,23.58,1.36,1.10,0.94,25.95,"2,071,370",6.90,1.22%,20.51%,0.54,0.78,54.63%,62.77
228,IU,IU Corp.,Financial,Money Center Banks,USA,25993844.94,23.40,0.53,9.65,1.44,65.35,"29,391",2.39,13.69%,-0.58%,0.60,1.00,16.58%,54.71
229,IV,IV Corp.,Financial,Property & Casualty Insurance,USA,8315314.00,22.02,2.31,6.76,1.99,23.79,"12,357",5.93,4.41%,7.40%,0.41,0.81,28.95%,43.74
230,IW,IW Holdings Inc.,Financial,REIT - Office,USA,44351675.44,27.18,2.11,4.50,2.11,62.90,"23,269",-0.89,27.05%,10.29%,0.56,1.38,30.95%,6.15
231,IX,IX Corp.,Financial,Investment Brokerage,USA,14189701.75,8.68,1.00,15.14,1.97,37.05,"4,144",1.55,2.40%,8.74%,0.66,0.98,17.18%,50.09
232,IY,IY Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,7843829.07,21.32,1.07,,6.71,55.58,"369,747",1.58,-1.46%,22.71%,0.21,1.19,26.97%,38.84
233,IZ,IZ Holdings Inc.,Financial,Life Insurance,USA,2268076.10,21.25,2.08,2.33,4.03,14.03,"23,648",5.18,-8.61%,16.47%,0.85,0.19,52.25%,31.71
234,JA,JA Corp.,Financial,Closed-End Fund - Debt,USA,6503030.39,20.35,1.64,5.88,1.42,63.55,"130,845",1.48,40.73%,7.40%,0.59,1.33,26.21%,42.52
235,JB,JB Holdings Inc.,Financial,Asset Management,USA,23965568.21,15.08,0.80,,0.80,46.48,"28,171",2.87,0.69%,43.85%,1.43,0.49,31.22%,28.43
236,JC,JC Corp.,Financial,Money Center Banks,USA,56478151.16,46.84,2.00,2.89,1.77,80.07,"18,893",0.40,18.49%,8.09%,0.34,1.16,45.36%,48.44
237,JD,JD Corp.,Financial,Property & Casualty Insurance,USA,18198783.19,17.73,0.98,1.07,1.88,23.14,"484,832",3.26,-3.53%,4.30%,1.39,1.42,46.70%,36.17
238,JE,JE Corp.,Financial,REIT - Office,USA,32156859.69,26.02,0.91,2.84,3.67,132.34,"95,180",5.22,7.29%,7.28%,2.47,1.45,47.07%,49.43
239,JF,JF Holdings Inc.,Financial,Investment Brokerage,USA,22099468.28,,0.78,3.32,2.10,38.02,"55,604",0.03,-10.68%,5.76%,0.75,1.16,70.67%,61.38
240,JG,JG Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,2757584.24,29.01,2.46,2.01,4.04,36.56,"3,156",1.15,22.47%,2.42%,0.33,0.15,16.81%,58.15
241,JH,JH Holdings Inc.,Financial,Life Insurance,USA,4349528.94,11.38,3.06,2.69,,89.41,"226,670",3.02,41.49%,-13.09%,0.89,1.00,43.01%,76.95
242,JI,JI Holdings Inc.,Financial,Closed-End Fund - Debt,USA,2187261.45,17.14,1.00,1.23,5.75,27.65,"66,992",6.54,8.80%,13.13%,0.37,1.06,48.94%,61.33
243,JJ,JJ Holdings Inc.,Financial,Asset Management,USA,10558450.56,19.86,0.69,10.83,1.08,43.79,"710,297",-1.56,25.56%,18.04%,0.80,1.37,73.78%,29.41
244,JK,JK Holdings Inc.,Financial,Money Center Banks,USA,1552294.20,8.67,4.45,1.53,2.38,55.25,"42,388",-3.36,4.90%,13.14%,0.44,1.38,73.52%,65.16
245,JL,JL Holdings Inc.,Financial,Property & Casualty Insurance,USA,4779839.05,33.12,1.59,,6.82,27.34,"18,196",-1.37,4.92%,16.70%,0.19,1.14,23.21%,53.20
246,JM,JM Holdings Inc.,Financial,REIT - Office,USA,16920578.73,12.22,,1.63,3.30,40.49,"87,707",2.53,16.78%,6.95%,0.75,0.51,30.42%,56.38
247,JN,JN Holdings Inc.,Financial,Investment Brokerage,USA,1649107.17,14.43,1.88,4.52,3.33,24.22,"761,244",-0.90,8.65%,-1.81%,0.58,0.83,64.62%,51.83
248,JO,JO Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,953147.75,34.48,1.48,,1.57,11.60,"38,911",4.35,16.24%,17.34%,0.43,1.11,40.81%,60.16
249,JP,JP Holdings Inc.,Financial,Life Insurance,USA,162709479.26,16.04,2.48,4.54,,25.00,"88,636",2.00,5.04%,18.21%,0.69,2.07,23.63%,27.43
250,JQ,JQ Holdings Inc.,Financial,Closed-End Fund - Debt,USA,8818631.49,,8.32,3.47,1.35,33.10,"4,477",6.89,-5.89%,3.91%,0.25,1.17,73.12%,73.75
251,JR,JR Holdings Inc.,Financial,Asset Management,USA,17971006.38,38.99,0.56,1.70,,45.04,"90,150",4.18,-0.28%,-10.31%,0.41,1.51,40.16%,47.12
252,JS,JS Holdings Inc.,Financial,Money Center Banks,USA,59148524.39,34.68,1.92,5.81,3.84,226.76,"92,700",2.60,-3.82%,17.07%,0.56,0.15,24.33%,70.49
253,JT,JT Corp.,Financial,Property & Casualty Insurance,USA,6773409.84,59.46,2.44,1.05,2.03,26.65,"230,296",2.98,19.73%,8.88%,0.30,1.39,53.11%,59.14
254,JU,JU Holdings Inc.,Financial,REIT - Office,USA,4314153.50,16.36,0.72,1.55,1.41,18.42,"204,352",1.12,14.46%,13.18%,0.32,1.58,21.84%,43.53
255,JV,JV Holdings Inc.,Financial,Investment Brokerage,USA,67719344.74,44.74,8.50,0.95,,78.54,"13,310",-2.31,-9.68%,1.47%,0.58,0.76,44.94%,71.00
256,JW,JW Corp.,Financial,Regional - Mid-Atlantic Banks,USA,42204439.90,36.30,1.19,5.83,1.87,24.14,"25,704",-3.58,18.70%,-0.79%,0.67,1.17,25.56%,65.63
257,JX,JX Holdings Inc.,Financial,Life Insurance,USA,1361253.16,15.33,1.54,0.76,2.08,12.94,"34,397",5.87,10.94%,12.18%,0.55,0.82,68.06%,42.24
258,JY,JY Corp.,Financial,Closed-End Fund - Debt,USA,9469759.28,42.41,0.98,1.11,1.98,46.05,"20,796",1.44,14.09%,6.64%,0.33,0.90,32.27%,66.00
259,JZ,JZ Holdings Inc.,Financial,Asset Management,USA,780048.05,18.91,0.48,0.54,2.45,37.30,"56,031",2.94,24.27%,4.06%,1.03,0.32,29.68%,47.90
260,KA,KA Corp.,Financial,Money Center Banks,USA,36486300.01,,,1.24,4.82,105.64,"155,491",0.10,2.94%,4.45%,0.49,1.88,45.08%,44.66
261,KB,KB Holdings Inc.,Financial,Property & Casualty Insurance,USA,6455884.88,34.96,1.83,5.66,0.90,16.99,"102,280",-1.86,-22.49%,2.31%,0.62,1.10,27.77%,31.33
262,KC,KC Holdings Inc.,Financial,REIT - Office,USA,376680.95,26.11,2.16,0.91,2.41,9.19,"67,877",4.30,-10.68%,6.88%,0.83,0.75,63.68%,61.57
263,KD,KD Holdings Inc.,Financial,Investment Brokerage,USA,3825537.02,36.61,1.70,1.94,,28.23,"118,013",-0.07,-16.84%,2.45%,0.36,1.10,27.09%,57.03
264,KE,KE Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,270489.90,15.53,1.40,,2.76,24.19,"21,910",4.85,35.99%,22.54%,0.51,0.83,45.63%,49.84
265,KF,KF Corp.,Financial,Life Insurance,USA,4773290.76,7.46,,2.70,2.82,31.06,"82,115",1.21,1.00%,8.13%,1.73,0.97,30.04%,22.17
266,KG,KG Corp.,Financial,Closed-End Fund - Debt,USA,1367390.40,33.14,0.79,4.33,,6.36,"79,751",-1.47,24.91%,-14.70%,1.66,0.87,38.28%,62.29
267,KH,KH Holdings Inc.,Financial,Asset Management,USA,3122231.89,12.34,0.39,1.88,2.19,47.20,"22,050",6.23,-13.27%,15.55%,0.85,0.49,18.87%,41.06
268,KI,KI Holdings Inc.,Financial,Money Center Banks,USA,6637415.83,22.16,1.58,1.40,2.98,87.93,"1,454,069",7.58,-0.09%,9.91%,0.54,1.10,59.55%,33.30
269,KJ,KJ Holdings Inc.,Financial,Property & Casualty Insurance,USA,23597498.44,67.41,2.38,1.56,5.69,65.68,"76,426",2.20,-12.31%,10.83%,1.15,1.04,47.64%,48.31
270,KK,KK Holdings Inc.,Financial,REIT - Office,USA,216531691.40,32.18,1.39,2.35,1.09,85.92,"602,057",2.37,8.10%,1.17%,0.68,0.48,28.50%,46.65
271,KL,KL Holdings Inc.,Financial,Investment Brokerage,USA,6223828.65,42.24,4.54,1.49,2.03,31.89,"131,434",6.00,-16.40%,14.50%,0.45,1.10,39.09%,47.45
272,KM,KM Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,4756935.43,17.86,2.01,1.65,4.19,14.65,"12,706",2.88,-2.87%,9.64%,0.29,0.52,34.14%,51.30
273,KN,KN Corp.,Financial,Life Insurance,USA,57634056.90,14.08,2.24,1.31,4.21,51.22,"31,238",9.07,-6.11%,6.26%,0.65,1.40,60.75%,46.44
274,KO,KO Corp.,Financial,Closed-End Fund - Debt,USA,20393455.05,36.87,0.66,1.79,2.24,112.55,"201,939",-2.78,11.49%,9.87%,0.34,1.35,12.23%,41.82
275,KP,KP Holdings Inc.,Financial,Asset Management,USA,5098858.02,86.89,1.85,1.40,15.05,66.46,"423,879",3.55,1.02%,-0.46%,0.43,0.60,47.18%,41.67
276,KQ,KQ Holdings Inc.,Financial,Money Center Banks,USA,45746084.47,20.06,0.89,2.25,5.17,14.68,"157,687",8.81,0.39%,5.86%,0.85,0.91,35.36%,23.73
277,KR,KR Corp.,Financial,Property & Casualty Insurance,USA,758528.22,14.38,,2.34,1.22,25.12,"39,059",3.66,2.04%,14.96%,0.46,1.30,22.06%,46.82
278,KS,KS Holdings Inc.,Financial,REIT - Office,Canada,210661.63,19.38,1.91,2.78,2.31,7.25,"210,419",1.18,26.11%,31.45%,0.23,1.29,73.75%,58.86
279,KT,KT Corp.,Financial,Investment Brokerage,Canada,661427.70,21.46,0.86,5.82,0.99,37.25,"97,451",0.74,19.94%,10.32%,0.79,0.61,21.30%,79.64
280,KU,KU Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,Canada,14952495.06,20.10,1.27,1.43,1.44,156.63,"2,573",4.32,-22.58%,13.01%,1.00,0.48,48.35%,91.42
281,KV,KV Holdings Inc.,Financial,Life Insurance,Canada,10150299.94,25.91,1.96,1.80,2.24,10.63,"342,663",3.34,4.66%,5.48%,1.96,1.58,41.92%,19.27
282,KW,KW Holdings Inc.,Financial,Closed-End Fund - Debt,Canada,9863694.86,13.85,1.86,1.24,6.61,44.78,"109,909",-3.06,33.68%,16.58%,0.35,0.92,77.25%,27.30
283,KX,KX Holdings Inc.,Financial,Asset Management,Canada,4978691.00,24.35,1.40,0.58,6.14,62.62,"102,784",3.55,-8.75%,-6.43%,0.12,1.37,59.73%,57.82
284,KY,KY Holdings Inc.,Financial,Money Center Banks,Canada,16621193.07,12.84,1.05,0.39,1.44,60.15,"407,958",1.56,-11.25%,8.03%,0.49,1.15,37.28%,32.96
285,KZ,KZ Holdings Inc.,Financial,Property & Casualty Insurance,Canada,77577800.11,14.03,2.18,0.41,5.93,143.05,"137,495",-2.33,31.41%,1.89%,0.31,0.15,53.93%,31.74
286,LA,LA Corp.,Financial,REIT - Office,UK,199998.00,,0.40,2.74,9.35,11.70,"83,385",2.29,5.43%,-2.08%,0.09,1.01,11.85%,50.33
287,LB,LB Corp.,Financial,Investment Brokerage,UK,125999.59,31.38,0.93,5.29,2.67,17.42,"84,464",-3.21,-4.05%,17.40%,0.62,1.58,35.13%,42.51
288,LC,LC Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,UK,48714246.38,28.05,,7.71,9.32,133.31,"29,506",4.66,25.36%,10.01%,1.09,1.35,43.90%,53.88
289,LD,LD Corp.,Financial,Life Insurance,UK,1633916.59,20.56,2.58,1.61,9.12,25.58,"136,731",6.78,9.76%,19.36%,1.30,1.20,28.87%,46.70
290,LE,LE Corp.,Financial,Closed-End Fund - Debt,UK,2742878.63,30.99,3.31,5.14,2.55,131.31,"160,022",-0.92,14.98%,18.29%,1.06,0.50,62.85%,37.65
291,LF,LF Holdings Inc.,Financial,Asset Management,China,22051749.35,13.10,1.30,1.89,4.14,89.57,"103,697",2.21,14.25%,12.20%,1.18,1.27,16.46%,56.28
292,LG,LG Holdings Inc.,Financial,Money Center Banks,China,105854320.34,,1.68,1.79,1.68,246.34,"202,740",2.89,-2.13%,4.36%,0.61,1.93,41.71%,60.24
