BookingNo,PackageCode,Description,Quantity,StayDate,UnitRate,GuestID,Destination
540546,FEE050,RESORT FEE,3,16.06.2011 20:07,127.08,71040.0,Costa Rica
540981,TOU540,SUNSET CATAMARAN,1,28.01.2011 04:20,219.67,71075.0,USA-Orlando
540012,SPA100,SPA TREATMENT,2,31.03.2011 16:17,256.15,,Spain
542273,TOU210,CITY WALKING TOUR,1,26.02.2011 04:33,109.56,71172.0,Italy
541190,TRF100,AIRPORT TRANSFER,1,19.09.2011 02:21,190.34,71091.0,Japan
548401,FNB110,BREAKFAST PACKAGE,2,07.12.2011 18:00,56.62,72001.0,Costa Rica
549154,HTL101,HOTEL NIGHT GARDEN VIEW,2,11.04.2011 22:27,246.57,72322.0,Mexico
C544483,HTL303,SUITE NIGHT,-1,05.06.2011 12:27,129.65,71339.0,France
C544344,TOU540,SUNSET CATAMARAN,-3,11.08.2011 10:36,125.63,71330.0,Mexico
551016,FEE050,RESORT FEE,1,19.06.2011 19:08,114.85,72782.0,Portugal
547853,HTL101,HOTEL NIGHT GARDEN VIEW,1,16.11.2011 18:00,46.04,71719.0,Mexico
547544,FNB110,BREAKFAST PACKAGE,1,04.09.2011 02:52,85.93,71558.0,Greece
543130,CXL000,CANCELLATION FEE,3,19.11.2011 18:00,204.61,,Greece
544515,TOU210,CITY WALKING TOUR,2,30.10.2011 23:04,111.43,71341.0,Thailand
540481,FEE050,RESORT FEE,1,29.06.2011 15:12,115.91,71036.0,Portugal
548470,TOU430,CANOPY ZIPLINE,2,29.11.2011 18:00,51.59,72039.0,USA-Orlando
552845,PKG500,ALL-INCLUSIVE NIGHT,1,01.04.2011 10:46,37.44,73370.0,Mexico
547329,TIX100,PARK / ATTRACTION TICKET,2,27.11.2011 18:30,103.08,,France
550890,HTL202,HOTEL NIGHT OCEAN VIEW,1,26.03.2011 08:07,77.92,72754.0,Mexico
546397,TOU210,CITY WALKING TOUR,1,06.05.2011 14:05,191.82,,France
541085,HTL202,HOTEL NIGHT OCEAN VIEW,1,10.11.2011 03:36,153.13,71083.0,Mexico
544902,TRF100,AIRPORT TRANSFER,1,20.08.2011 20:41,72.46,71372.0,Costa Rica
546026,SPA100,SPA TREATMENT,2,25.06.2011 20:20,242.83,71452.0,Costa Rica
542367,TOU210,CITY WALKING TOUR,1,04.11.2011 15:10,78.41,71179.0,Dominican Republic
551986,FEE050,RESORT FEE,3,29.03.2011 14:02,71.22,73029.0,Spain
549839,TOU320,VOLCANO DAY TRIP,1,28.05.2011 04:58,85.04,72486.0,Costa Rica
544372,TRF100,AIRPORT TRANSFER,1,28.04.2011 13:30,1974.17,71332.0,Mexico
550903,TIX100,PARK / ATTRACTION TICKET,3,26.01.2011 03:42,55.35,72758.0,Mexico
549155,TOU540,SUNSET CATAMARAN,1,28.05.2011 06:11,134.35,72322.0,Mexico
544412,CXL000,CANCELLATION FEE,4,04.09.2011 09:28,256.34,71334.0,Costa Rica
546158,TIX100,PARK / ATTRACTION TICKET,1,26.01.2011 01:13,86.15,,Costa Rica
541507,FNB110,BREAKFAST PACKAGE,4,22.01.2011 08:41,238.17,71117.0,Costa Rica
548526,HTL101,HOTEL NIGHT GARDEN VIEW,1,03.10.2011 13:05,50.9,,Greece
542697,TIX100,PARK / ATTRACTION TICKET,2,25.05.2011 02:25,83.12,71204.0,USA-NYC
540081,TOU540,SUNSET CATAMARAN,4,17.11.2011 10:02,1437.52,71007.0,Mexico
542110,SPA100,SPA TREATMENT,2,30.07.2011 18:42,86.67,71160.0,Costa Rica
554289,CXL000,CANCELLATION FEE,1,15.03.2011 18:00,104.48,,Italy
549330,FNB220,DINNER EXPERIENCE,4,28.06.2011 20:06,100.87,72364.0,Mexico
547875,TIX100,PARK / ATTRACTION TICKET,1,24.11.2011 18:00,21.13,71731.0,USA-NYC
544436,TOU320,VOLCANO DAY TRIP,1,08.08.2011 03:31,111.58,,USA-Orlando
551954,TIX100,PARK / ATTRACTION TICKET,1,17.04.2011 07:06,75.17,73020.0,Italy
544432,FNB110,BREAKFAST PACKAGE,2,25.04.2011 05:47,161.62,71335.0,USA-NYC
551517,PKG500,ALL-INCLUSIVE NIGHT,1,12.10.2011 18:00,192.13,72908.0,Portugal
540827,TOU210,CITY WALKING TOUR,2,20.08.2011 08:45,85.54,71064.0,Costa Rica
548956,SPA100,SPA TREATMENT,1,17.07.2011 01:31,95.03,,Spain
546984,SPA100,,3,23.08.2011 12:51,142.28,71521.0,Costa Rica
541703,HTL101,HOTEL NIGHT GARDEN VIEW,1,19.10.2011 13:01,212.41,71131.0,Costa Rica
549760,TRF100,AIRPORT TRANSFER,1,20.04.2011 16:22,85.96,72467.0,Mexico
545766,TIX100,PARK / ATTRACTION TICKET,1,13.01.2011 06:04,51.07,,USA-Orlando
540167,TOU540,SUNSET CATAMARAN,1,05.02.2011 01:17,128.51,,USA-NYC
550873,HTL303,SUITE NIGHT,1,10.05.2011 13:37,54.53,72749.0,Costa Rica
553940,FEE050,RESORT FEE,1,20.12.2010 18:00,19.89,74120.0,Costa Rica
541830,FNB110,BREAKFAST PACKAGE,1,24.11.2011 14:15,29.84,71140.0,Mexico
546636,FEE050,RESORT FEE,1,06.11.2011 05:48,268.47,,Mexico
540807,TOU210,CITY WALKING TOUR,1,22.03.2011 09:25,124.66,71062.0,Italy
541842,SPA100,SPA TREATMENT,2,01.11.2011 18:44,311.1,,Peru
552493,TRF100,AIRPORT TRANSFER,1,27.01.2011 22:13,45.73,73159.0,Mexico
543517,TOU540,SUNSET CATAMARAN,1,05.01.2011 00:00,107.03,71267.0,Spain
546000,TOU540,SUNSET CATAMARAN,1,09.07.2011 11:45,70.98,,Spain
549640,HTL303,SUITE NIGHT,1,16.04.2011 10:30,67.59,72437.0,USA-NYC
552706,TIX100,PARK / ATTRACTION TICKET,1,25.06.2011 18:00,12.1,73276.0,Mexico
552271,TOU540,SUNSET CATAMARAN,3,03.03.2011 23:17,60.0,73100.0,Mexico
540077,TOU210,CITY WALKING TOUR,3,10.07.2011 23:45,3092.93,71007.0,Mexico
547497,TOU320,VOLCANO DAY TRIP,1,02.09.2011 14:01,215.78,71555.0,Spain
545187,HTL303,SUITE NIGHT,1,28.10.2011 22:50,121.48,71393.0,Costa Rica
545303,TIX100,PARK / ATTRACTION TICKET,1,13.07.2011 10:32,93.74,71400.0,Mexico
543457,TOU540,SUNSET CATAMARAN,7,31.10.2011 07:59,153.08,71263.0,USA-Orlando
545279,TOU210,CITY WALKING TOUR,4,08.10.2011 16:06,66.82,71398.0,Mexico
549901,SPA100,SPA TREATMENT,2,22.08.2011 16:44,115.27,72501.0,Mexico
546649,PKG500,ALL-INCLUSIVE NIGHT,2,01.06.2011 18:20,87.14,71498.0,Costa Rica
552058,HTL202,HOTEL NIGHT OCEAN VIEW,2,25.04.2011 03:51,29.49,73049.0,France
550302,HTL101,HOTEL NIGHT GARDEN VIEW,4,23.08.2011 23:22,110.14,,Italy
541354,TOU430,CANOPY ZIPLINE,2,06.09.2011 14:36,3103.32,71105.0,Italy
545301,TOU320,VOLCANO DAY TRIP,2,14.11.2011 18:00,345.09,71399.0,Greece
545876,HTL303,SUITE NIGHT,4,16.03.2011 07:33,322.67,71440.0,France
543166,TOU540,SUNSET CATAMARAN,1,21.11.2011 18:00,213.2,,Peru
549681,HTL202,HOTEL NIGHT OCEAN VIEW,2,31.01.2011 04:54,42.83,72446.0,Costa Rica
553391,TOU430,CANOPY ZIPLINE,1,12.03.2011 18:00,20.01,73750.0,Japan
544677,HTL303,SUITE NIGHT,1,03.04.2011 06:34,631.82,71353.0,Mexico
543320,SPA100,SPA TREATMENT,1,26.11.2011 18:00,167.05,,USA-Orlando
545080,TIX100,PARK / ATTRACTION TICKET,1,06.04.2011 01:51,49.79,71384.0,Dominican Republic
541284,TIX100,PARK / ATTRACTION TICKET,2,24.03.2011 13:28,95.87,71099.0,Dominican Republic
542996,TRF100,AIRPORT TRANSFER,7,12.03.2011 11:11,291.08,71228.0,Mexico
554028,TOU540,SUNSET CATAMARAN,1,24.02.2011 18:00,23.7,74179.0,Portugal
543075,PKG500,ALL-INCLUSIVE NIGHT,1,28.11.2011 18:00,82.03,71234.0,Costa Rica
546612,TOU540,SUNSET CATAMARAN,1,16.11.2011 18:00,112.8,,France
541634,TOU210,CITY WALKING TOUR,2,16.09.2011 06:54,172.37,71127.0,Costa Rica
540838,PKG500,ALL-INCLUSIVE NIGHT,1,16.05.2011 13:58,229.99,71064.0,Costa Rica
540703,HTL101,HOTEL NIGHT GARDEN VIEW,4,21.06.2011 06:23,173.67,71053.0,USA-Orlando
545420,FEE050,RESORT FEE,1,05.10.2011 01:06,89.62,,USA-Orlando
547251,HTL202,HOTEL NIGHT OCEAN VIEW,2,20.10.2011 08:34,231.44,,Mexico
550593,TRF100,AIRPORT TRANSFER,1,10.03.2011 13:28,94.06,72680.0,Costa Rica
553211,TOU540,SUNSET CATAMARAN,2,23.02.2011 18:29,22.07,73625.0,United Kingdom
540947,FEE050,RESORT FEE,1,09.06.2011 02:02,72.74,71072.0,Italy
551236,HTL202,HOTEL NIGHT OCEAN VIEW,2,20.03.2011 00:25,99.89,,Costa Rica
544138,TOU210,CITY WALKING TOUR,4,30.04.2011 06:34,847.44,,Mexico
551411,CXL000,CANCELLATION FEE,1,23.03.2011 03:15,46.56,72881.0,Peru
552785,TOU210,CITY WALKING TOUR,1,09.05.2011 19:37,47.87,73329.0,Costa Rica
551706,HTL303,SUITE NIGHT,4,14.09.2011 18:00,46.66,,USA-NYC
542634,TOU210,CITY WALKING TOUR,2,15.06.2011 21:29,153.71,71199.0,Mexico
550666,PKG500,ALL-INCLUSIVE NIGHT,1,04.02.2011 17:19,81.1,72698.0,Costa Rica
540002,HTL202,HOTEL NIGHT OCEAN VIEW,1,04.08.2011 21:54,446.2,71000.0,USA-Orlando
550271,HTL303,SUITE NIGHT,1,29.08.2011 18:00,84.71,72594.0,Italy
542948,FNB110,BREAKFAST PACKAGE,3,01.12.2011 18:00,1087.54,71224.0,France
552725,TOU320,VOLCANO DAY TRIP,2,27.01.2011 12:50,25.59,73290.0,Japan
553025,TOU210,CITY WALKING TOUR,3,01.06.2011 18:00,18.16,73493.0,Portugal
553638,FNB220,DINNER EXPERIENCE,4,15.05.2011 18:00,49.16,73918.0,Costa Rica
541076,FNB110,BREAKFAST PACKAGE,1,19.11.2011 06:57,79.7,71083.0,Mexico
547335,HTL202,HOTEL NIGHT OCEAN VIEW,2,30.03.2011 22:29,492.03,,Costa Rica
551433,HTL202,HOTEL NIGHT OCEAN VIEW,1,16.07.2011 23:01,33.2,72887.0,Mexico
551263,FNB110,BREAKFAST PACKAGE,7,24.07.2011 18:00,35.51,,Greece
543210,CXL000,CANCELLATION FEE,2,07.12.2011 23:02,173.54,71246.0,Costa Rica
551593,TOU210,CITY WALKING TOUR,1,23.07.2011 18:00,26.19,72927.0,USA-Orlando
547861,TRF100,AIRPORT TRANSFER,1,12.11.2011 15:15,41.23,71723.0,Dominican Republic
543236,SPA100,SPA TREATMENT,1,26.11.2011 11:09,153.88,71247.0,USA-NYC
545485,TRF100,AIRPORT TRANSFER,1,23.02.2011 22:06,3190.55,71412.0,Peru
540282,TIX100,PARK / ATTRACTION TICKET,3,19.11.2011 18:00,507.92,71022.0,Costa Rica
542941,TRF100,AIRPORT TRANSFER,1,26.08.2011 15:56,1207.68,71224.0,France
543078,CXL000,CANCELLATION FEE,2,08.09.2011 19:12,123.53,71235.0,Mexico
543437,TOU320,VOLCANO DAY TRIP,1,06.09.2011 14:03,174.48,71262.0,Japan
542397,FNB220,DINNER EXPERIENCE,3,27.11.2011 13:26,78.93,71182.0,Italy
553689,TOU210,CITY WALKING TOUR,1,23.07.2011 18:00,27.27,,Costa Rica
546544,FNB110,BREAKFAST PACKAGE,1,04.02.2011 21:09,104.89,71491.0,Dominican Republic
547910,TIX100,PARK / ATTRACTION TICKET,1,03.11.2011 18:49,43.83,71749.0,Portugal
554082,HTL303,SUITE NIGHT,2,09.05.2011 18:00,40.94,,Mexico
546749,PKG500,ALL-INCLUSIVE NIGHT,1,22.08.2011 09:48,105.32,71505.0,Mexico
547940,FNB110,BREAKFAST PACKAGE,1,25.11.2011 02:44,62.0,71765.0,Costa Rica
544879,HTL303,SUITE NIGHT,7,19.08.2011 02:56,152.32,71370.0,Spain
545418,FEE050,RESORT FEE,1,17.07.2011 20:18,264.39,,USA-Orlando
541270,FNB220,DINNER EXPERIENCE,1,24.01.2011 09:49,157.84,,USA-Orlando
543707,TIX100,PARK / ATTRACTION TICKET,1,25.03.2011 02:03,36.24,71282.0,Costa Rica
541664,TRF100,AIRPORT TRANSFER,1,26.10.2011 10:17,45.27,,Spain
547336,TOU540,SUNSET CATAMARAN,1,08.02.2011 04:23,144.03,71545.0,Costa Rica
544018,TIX100,PARK / ATTRACTION TICKET,4,23.04.2011 01:27,103.33,71306.0,USA-NYC
548861,FNB110,BREAKFAST PACKAGE,7,22.10.2011 14:13,14.95,72233.0,United Kingdom
552653,SPA100,SPA TREATMENT,2,29.04.2011 18:00,11.0,,Costa Rica
543702,TOU210,CITY WALKING TOUR,1,02.05.2011 20:57,72.38,71282.0,Costa Rica
545637,TOU210,CITY WALKING TOUR,4,16.08.2011 17:58,0.0,71424.0,Greece
547086,FNB110,BREAKFAST PACKAGE,1,10.07.2011 05:04,231.13,71528.0,Japan
551676,TOU540,SUNSET CATAMARAN,2,03.07.2011 00:16,57.34,72949.0,Mexico
547179,PKG500,ALL-INCLUSIVE NIGHT,2,17.10.2011 17:44,46.71,71534.0,Costa Rica
553441,TOU540,SUNSET CATAMARAN,3,20.12.2010 23:35,42.67,73787.0,Spain
547233,TRF100,AIRPORT TRANSFER,7,11.04.2011 16:49,114.62,71538.0,Greece
544786,HTL202,HOTEL NIGHT OCEAN VIEW,7,01.07.2011 23:21,217.01,71362.0,Italy
553258,TRF100,,1,03.03.2011 11:21,10.98,,Japan
551069,FNB220,DINNER EXPERIENCE,1,05.10.2011 18:00,51.92,,Costa Rica
553445,TOU540,SUNSET CATAMARAN,1,10.07.2011 18:00,24.15,73789.0,USA-NYC
548111,TIX100,PARK / ATTRACTION TICKET,1,13.11.2011 18:00,34.23,71849.0,USA-Orlando
540575,TIX100,PARK / ATTRACTION TICKET,1,20.02.2011 00:41,111.48,71042.0,Dominican Republic
540465,CXL000,CANCELLATION FEE,1,18.04.2011 08:01,305.78,71035.0,United Kingdom
550012,FEE050,RESORT FEE,1,16.08.2011 18:00,35.77,72527.0,Mexico
550154,HTL303,SUITE NIGHT,4,19.05.2011 02:29,88.28,,Spain
545391,HTL202,HOTEL NIGHT OCEAN VIEW,1,07.12.2011 19:02,100.69,,Dominican Republic
548479,HTL303,SUITE NIGHT,1,09.11.2011 18:00,86.5,72044.0,Costa Rica
541576,HTL303,SUITE NIGHT,7,03.11.2011 09:28,214.83,71122.0,USA-Orlando
551545,FNB110,BREAKFAST PACKAGE,1,26.04.2011 20:02,82.13,72916.0,Mexico
548232,FEE050,RESORT FEE,4,19.10.2011 13:15,38.49,71914.0,Dominican Republic
552995,SPA100,SPA TREATMENT,2,01.05.2011 18:00,21.34,73474.0,Costa Rica
540972,FNB110,BREAKFAST PACKAGE,3,11.08.2011 06:46,91.52,71074.0,Costa Rica
545299,HTL101,HOTEL NIGHT GARDEN VIEW,2,04.10.2011 03:42,116.95,71399.0,Greece
553932,PKG500,ALL-INCLUSIVE NIGHT,2,04.05.2011 18:00,15.76,74113.0,France
552762,TOU320,VOLCANO DAY TRIP,1,10.03.2011 22:04,29.04,73314.0,Italy
542108,CXL000,CANCELLATION FEE,7,15.10.2011 11:21,316.72,71160.0,Costa Rica
543573,TOU210,CITY WALKING TOUR,1,06.06.2011 10:56,285.92,,United Kingdom
544887,SPA100,SPA TREATMENT,4,25.01.2011 11:46,75.23,71371.0,Peru
540452,SPA100,SPA TREATMENT,3,04.04.2011 07:16,290.0,71034.0,Mexico
552360,HTL303,SUITE NIGHT,2,16.08.2011 16:50,43.42,73125.0,Spain
548899,FNB110,BREAKFAST PACKAGE,1,05.12.2011 18:00,63.7,72250.0,Iceland
540260,TOU210,CITY WALKING TOUR,1,22.01.2011 00:48,137.39,71021.0,Mexico
554057,FNB110,BREAKFAST PACKAGE,3,26.02.2011 18:00,27.36,,France
547799,FEE050,RESORT FEE,7,30.11.2011 18:00,46.84,71689.0,United Kingdom
550264,TRF100,AIRPORT TRANSFER,3,25.07.2011 00:37,55.79,72593.0,Mexico
551192,HTL101,HOTEL NIGHT GARDEN VIEW,2,10.04.2011 00:23,51.08,,Portugal
553049,TOU210,CITY WALKING TOUR,1,25.07.2011 18:00,19.51,73509.0,Costa Rica
553841,HTL101,HOTEL NIGHT GARDEN VIEW,1,04.03.2011 12:44,24.93,74057.0,Mexico
546894,HTL303,SUITE NIGHT,1,09.11.2011 14:17,32.52,71515.0,Italy
550975,TOU540,SUNSET CATAMARAN,7,20.07.2011 18:00,102.23,72772.0,USA-NYC
554299,HTL303,SUITE NIGHT,1,26.01.2011 18:00,31.67,74362.0,Peru
547978,SPA100,SPA TREATMENT,3,18.11.2011 18:00,89.7,,Costa Rica
553194,FEE050,RESORT FEE,2,30.05.2011 18:00,59.73,73612.0,Costa Rica
548460,TRF100,AIRPORT TRANSFER,2,23.10.2011 22:56,75.92,72035.0,USA-NYC
541999,TOU430,CANOPY ZIPLINE,1,30.09.2011 09:35,103.58,,Peru
547584,FEE050,RESORT FEE,1,02.10.2011 01:59,27.34,71574.0,Japan
547155,HTL202,HOTEL NIGHT OCEAN VIEW,2,16.04.2011 17:30,2370.75,71533.0,France
548169,FEE050,RESORT FEE,1,05.12.2011 18:00,25.22,,Costa Rica
547184,TRF100,AIRPORT TRANSFER,1,26.03.2011 14:46,81.95,71535.0,Costa Rica
547249,FNB220,DINNER EXPERIENCE,7,13.04.2011 21:04,215.38,71539.0,Mexico
549334,HTL303,SUITE NIGHT,2,04.07.2011 18:56,59.57,72365.0,Mexico
545556,HTL303,SUITE NIGHT,3,29.04.2011 17:39,216.43,71417.0,Italy
550055,PKG500,ALL-INCLUSIVE NIGHT,4,20.08.2011 14:52,95.19,72538.0,Italy
C548531,FNB110,BREAKFAST PACKAGE,-2,26.11.2011 18:00,55.32,72065.0,Italy
C552212,HTL303,SUITE NIGHT,-2,11.07.2011 02:44,231.46,73086.0,Peru
543146,TRF100,AIRPORT TRANSFER,7,16.08.2011 01:08,107.2,71240.0,Spain
546291,FNB220,DINNER EXPERIENCE,1,30.11.2011 18:00,167.03,,Peru
543515,TOU320,VOLCANO DAY TRIP,3,12.06.2011 06:22,90.72,71267.0,Spain
C542762,HTL202,HOTEL NIGHT OCEAN VIEW,-1,13.03.2011 15:50,199.1,71209.0,Spain
545737,TIX100,PARK / ATTRACTION TICKET,3,19.09.2011 08:14,100.16,71431.0,Costa Rica
551105,TOU210,CITY WALKING TOUR,1,07.03.2011 13:03,61.39,,United Kingdom
542026,HTL101,HOTEL NIGHT GARDEN VIEW,1,20.01.2011 22:15,123.9,71154.0,Dominican Republic
540761,TRF100,AIRPORT TRANSFER,1,23.09.2011 16:22,153.63,,Costa Rica
546697,TOU210,CITY WALKING TOUR,1,18.09.2011 05:55,167.62,71502.0,Spain
547167,FNB110,BREAKFAST PACKAGE,1,16.10.2011 08:34,58.9,,Costa Rica
554236,TOU430,CANOPY ZIPLINE,1,16.05.2011 18:00,46.33,,Japan
540866,HTL303,SUITE NIGHT,2,24.02.2011 04:43,385.59,71067.0,Peru
554084,FNB110,BREAKFAST PACKAGE,3,17.01.2011 18:00,23.15,,Japan
544769,FEE050,RESORT FEE,2,20.07.2011 14:58,164.68,71361.0,Costa Rica
542386,TOU210,CITY WALKING TOUR,2,04.08.2011 01:14,67.11,71181.0,United Kingdom
553222,TRF100,AIRPORT TRANSFER,1,25.05.2011 22:46,16.41,,Dominican Republic
541123,FEE050,RESORT FEE,1,04.10.2011 20:47,84.02,71086.0,Peru
550262,TOU430,CANOPY ZIPLINE,1,30.04.2011 09:32,138.7,72593.0,Mexico
546006,HTL202,HOTEL NIGHT OCEAN VIEW,1,11.05.2011 07:02,72.48,,Spain
546899,CXL000,CANCELLATION FEE,2,24.08.2011 21:48,99.7,71515.0,Italy
542689,HTL101,HOTEL NIGHT GARDEN VIEW,1,14.05.2011 14:30,118.12,,USA-Orlando
546386,FEE050,RESORT FEE,1,30.03.2011 11:05,189.78,71478.0,Costa Rica
550362,SPA100,SPA TREATMENT,1,28.02.2011 14:08,34.99,72619.0,USA-NYC
546084,TOU430,CANOPY ZIPLINE,1,13.09.2011 10:35,85.3,71455.0,Costa Rica
544331,FNB110,BREAKFAST PACKAGE,2,18.10.2011 06:14,156.68,,Costa Rica
547126,CXL000,CANCELLATION FEE,4,15.11.2011 14:53,94.83,,Mexico
C544312,TOU540,SUNSET CATAMARAN,-2,04.09.2011 07:08,687.61,71327.0,USA-NYC
541240,FEE050,RESORT FEE,1,14.01.2011 05:57,103.26,71095.0,USA-Orlando
540055,FEE050,RESORT FEE,1,27.09.2011 12:06,144.76,71005.0,Italy
542270,SPA100,SPA TREATMENT,1,10.10.2011 03:09,148.29,,Italy
547773,TOU210,CITY WALKING TOUR,2,24.11.2011 18:00,62.31,,Mexico
553012,TOU320,VOLCANO DAY TRIP,1,21.05.2011 18:00,29.33,73485.0,Dominican Republic
546355,TOU320,VOLCANO DAY TRIP,1,27.07.2011 02:59,237.68,71474.0,Mexico
546758,FEE050,,1,15.09.2011 14:50,173.73,71505.0,Mexico
549222,FEE050,RESORT FEE,7,19.07.2011 04:39,77.01,72337.0,Mexico
540523,SPA100,SPA TREATMENT,1,20.03.2011 23:33,412.88,,Dominican Republic
545489,SPA100,SPA TREATMENT,3,09.07.2011 08:30,170.55,71413.0,United Kingdom
548821,FEE050,RESORT FEE,2,13.11.2011 08:38,48.6,72211.0,United Kingdom
549251,CXL000,CANCELLATION FEE,1,13.09.2011 18:00,50.97,72343.0,Greece
540403,TOU430,CANOPY ZIPLINE,1,11.09.2011 20:24,169.73,,Costa Rica
542072,TOU320,VOLCANO DAY TRIP,2,12.11.2011 18:00,116.81,71157.0,Costa Rica
552598,HTL101,HOTEL NIGHT GARDEN VIEW,2,30.04.2011 18:00,28.49,73206.0,United Kingdom
548856,TOU430,CANOPY ZIPLINE,1,28.09.2011 13:52,45.14,72231.0,USA-NYC
542184,FNB220,DINNER EXPERIENCE,7,18.11.2011 18:00,307.83,71165.0,France
548581,TOU430,CANOPY ZIPLINE,1,31.10.2011 15:25,110.95,72089.0,Italy
549043,TOU430,CANOPY ZIPLINE,2,14.08.2011 21:28,53.48,72296.0,Mexico
548675,TOU210,CITY WALKING TOUR,1,17.11.2011 18:00,41.91,72139.0,Costa Rica
550670,HTL202,HOTEL NIGHT OCEAN VIEW,1,05.08.2011 01:25,88.43,72699.0,Portugal
553244,TOU430,CANOPY ZIPLINE,3,24.12.2010 18:15,41.88,73645.0,Mexico
550261,TOU540,SUNSET CATAMARAN,1,10.09.2011 18:00,74.33,72592.0,Costa Rica
552527,HTL202,HOTEL NIGHT OCEAN VIEW,3,30.07.2011 18:00,48.46,73167.0,Iceland
550332,HTL303,SUITE NIGHT,2,23.04.2011 06:36,103.47,72612.0,United Kingdom
544709,SPA100,SPA TREATMENT,4,22.10.2011 11:54,274.73,,Costa Rica
547686,HTL202,HOTEL NIGHT OCEAN VIEW,3,20.09.2011 12:40,37.28,71627.0,USA-Orlando
547525,TOU430,CANOPY ZIPLINE,1,03.07.2011 00:31,0.0,71557.0,Costa Rica
549106,SPA100,SPA TREATMENT,4,17.06.2011 03:47,96.33,72309.0,Costa Rica
544511,TRF100,AIRPORT TRANSFER,2,20.05.2011 22:14,61.89,71340.0,Portugal
543254,TRF100,AIRPORT TRANSFER,1,11.02.2011 01:18,102.46,71248.0,USA-NYC
546231,FNB110,BREAKFAST PACKAGE,2,04.10.2011 20:47,99.47,71466.0,France
553838,CXL000,CANCELLATION FEE,2,09.02.2011 18:00,48.64,74055.0,United Kingdom
547732,TOU320,VOLCANO DAY TRIP,4,09.11.2011 18:00,52.52,71652.0,Spain
547096,TOU210,CITY WALKING TOUR,1,24.07.2011 12:52,128.54,71529.0,Greece
551537,FNB220,DINNER EXPERIENCE,1,27.07.2011 15:42,63.38,72914.0,United Kingdom
544243,TOU320,VOLCANO DAY TRIP,2,23.03.2011 00:39,82.21,71321.0,Italy
545607,PKG500,ALL-INCLUSIVE NIGHT,2,29.09.2011 12:50,105.4,,United Kingdom
548691,TOU320,VOLCANO DAY TRIP,4,27.11.2011 18:00,42.92,72149.0,Costa Rica
540210,HTL303,SUITE NIGHT,1,30.11.2011 18:00,150.39,,USA-NYC
553687,HTL202,HOTEL NIGHT OCEAN VIEW,4,08.02.2011 06:10,25.98,73948.0,Italy
547864,SPA100,SPA TREATMENT,1,06.12.2011 08:04,141.53,71725.0,Japan
541605,HTL101,HOTEL NIGHT GARDEN VIEW,7,22.05.2011 19:15,173.75,71124.0,Dominican Republic
543216,HTL303,SUITE NIGHT,3,02.08.2011 09:44,164.24,71246.0,Costa Rica
547008,FNB110,BREAKFAST PACKAGE,1,24.10.2011 18:46,146.59,71523.0,Mexico
541248,TOU540,SUNSET CATAMARAN,1,19.03.2011 05:33,152.68,71096.0,Mexico
542104,TRF100,AIRPORT TRANSFER,1,21.07.2011 13:48,118.16,71159.0,Costa Rica
553340,HTL303,SUITE NIGHT,1,06.02.2011 18:00,37.38,73713.0,Spain
552080,HTL303,SUITE NIGHT,3,27.02.2011 19:58,88.52,,Greece
544912,TRF100,AIRPORT TRANSFER,1,18.06.2011 09:37,981.77,71373.0,Spain
545869,HTL101,HOTEL NIGHT GARDEN VIEW,3,29.03.2011 09:29,90.18,71440.0,France
544629,HTL101,HOTEL NIGHT GARDEN VIEW,2,04.12.2011 07:47,291.32,71350.0,Costa Rica
551873,SPA100,SPA TREATMENT,1,10.03.2011 14:32,34.96,73000.0,Mexico
552781,SPA100,SPA TREATMENT,1,19.03.2011 07:14,27.95,73327.0,USA-Orlando
553662,TOU210,CITY WALKING TOUR,1,20.03.2011 08:01,16.16,73933.0,Dominican Republic
552972,TOU430,CANOPY ZIPLINE,7,15.04.2011 22:42,13.85,73459.0,USA-NYC
541768,HTL303,SUITE NIGHT,2,07.05.2011 03:25,166.59,71137.0,Costa Rica
549207,HTL202,HOTEL NIGHT OCEAN VIEW,7,25.02.2011 06:25,56.57,72333.0,Costa Rica
550342,HTL303,SUITE NIGHT,1,18.04.2011 20:56,44.31,72614.0,Italy
540091,FEE050,RESORT FEE,4,14.03.2011 13:57,309.22,,Mexico
549520,TOU210,CITY WALKING TOUR,1,18.08.2011 00:08,71.74,72409.0,Japan
542912,TOU320,VOLCANO DAY TRIP,1,08.07.2011 14:26,204.2,71221.0,Peru
541344,TRF100,AIRPORT TRANSFER,2,06.09.2011 19:54,116.96,71104.0,France
546919,FNB220,DINNER EXPERIENCE,1,05.05.2011 10:06,156.64,71516.0,Thailand
542971,TIX100,PARK / ATTRACTION TICKET,1,17.08.2011 10:35,78.87,71227.0,Mexico
546238,FNB110,BREAKFAST PACKAGE,4,01.01.2011 09:17,82.23,71466.0,France
542882,TRF100,AIRPORT TRANSFER,1,02.08.2011 16:51,127.68,71219.0,Spain
540928,FNB110,BREAKFAST PACKAGE,2,10.09.2011 20:38,142.48,71070.0,USA-Orlando
C548984,HTL101,HOTEL NIGHT GARDEN VIEW,-1,20.07.2011 18:00,225.56,72280.0,Mexico
552326,TOU210,CITY WALKING TOUR,7,24.06.2011 07:39,89.39,73114.0,USA-Orlando
541000,TOU540,SUNSET CATAMARAN,2,07.08.2011 15:01,263.03,71076.0,Dominican Republic
