country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
Paraguay,South America,2016,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,796,115 people","$7,289",39.3%,42.4%,0.31 million visitors,2.3%,5.3%,6.5%,7.3%,8.0%,30.0%,(2.8%),(6.3%),123.7,21.9,3.7%,-0.26,No,..,2.7%,2.3%
BOLIVIA,South America,2018,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,513,923 people","$3,771",41.2%,41.9%,0.05 million visitors,0.5%,2.2%,8.8%,10.4%,10.0%,49.3%,(1.2%),(0.6%),87.2,42.9,3.9%,-0.35,No,..,2.1%,1.2%
Uruguay,South America,2016,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,400,933 people","$15,288",38.2%,51.7%,2.01 million visitors,1.2%,5.5%,4.9%,5.3%,5.9%,77.7%,(2.2%),(13.9%),88.2,36.0,4.6%,1.63,No,..,1.2%,2.8%
 Panama ,Central America,2020,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,241,048 people","$15,496",34.0%,41.5%,1.35 million visitors,5.8%,4.1%,6.3%,10.0%,7.5%,61.3%,(3.7%),(7.1%),101.8,12.5,4.2%,0.3,No,..,6.0%,5.5%
 Paraguay ,South America,2014,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,825,216 people","$5,761",40.1%,45.5%,1.51 million visitors,0.5%,1.7%,5.2%,9.6%,7.8%,30.9%,(3.7%),(4.6%),115.7,33.0,4.3%,-0.09,No,..,2.0%,1.8%
ecuador,South America,2004,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,473,322 people","$5,629",35.1%,40.2%,0.28 million visitors,0.5%,1.6%,1.9%,5.0%,4.5%,60.6%,(4.6%),(7.0%),98.1,6.0,4.0%,-0.08,No,..,(0.9%),1.8%
Guatemala,Central America,2009,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,509,783 people","$4,409",27.4%,32.3%,..,5.0%,4.9%,3.9%,5.7%,5.1%,36.2%,1.9%,(3.7%),112.6,48.5,4.2%,-0.96,Yes,1.0%,2.6%,2.4%
Paraguay,South America,2009,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,756,262 people","$5,962",34.9%,37.5%,0.56 million visitors,0.6%,3.7%,0.8%,8.6%,1.3%,32.8%,(1.5%),(2.9%),114.3,36.5,5.0%,0.11,No,..,0.4%,1.3%
 Trinidad and Tobago ,Caribbean,2017,Q3,High income,Mining & Extractives,Floating,No,"1,399,228 people","$16,871",47.7%,50.8%,0.05 million visitors,2.0%,2.6%,6.6%,7.3%,7.7%,64.4%,(1.9%),(3.1%),94.7,43.9,4.3%,0.19,No,..,(1.9%),(0.8%)
Guyana,South America,2022,Q4,High income,Mining & Extractives,Floating,No,"735,798 people","$13,268",39.3%,39.3%,0.05 million visitors,0.7%,..,4.3%,12.1%,7.5%,41.9%,(0.5%),0.9%,105.5,27.4,4.6%,0.04,No,..,11.2%,10.4%
URUGUAY,South America,2019,Q4,High income,Agriculture & Agro-exports,Floating,No,"3,535,730 people","$17,407",27.8%,39.4%,1.10 million visitors,4.1%,4.0%,4.2%,5.1%,7.3%,78.2%,(5.7%),(12.2%),99.1,34.8,3.4%,1.26,No,..,2.3%,2.1%
GUYANA,South America,2019,Q3,High income,Mining & Extractives,Floating,No,"801,315 people","$13,937",42.1%,57.6%,1.02 million visitors,1.1%,1.4%,9.4%,5.3%,11.7%,36.5%,(0.5%),(15.2%),107.1,32.6,6.6%,-0.49,No,..,10.7%,10.9%
Guyana,South America,2018,Q1,High income,Mining & Extractives,Floating,No,"883,648 people","$12,726",38.9%,38.4%,0.30 million visitors,0.5%,2.0%,7.0%,7.0%,10.8%,36.7%,(1.6%),(1.2%),108.9,29.2,3.8%,-0.07,No,..,10.5%,12.5%
 Bolivia ,South America,2008,Q2,Lower middle income,Mining & Extractives,Managed Float,No,"11,516,911 people","$3,864",39.9%,41.3%,0.05 million visitors,1.0%,1.3%,7.1%,4.8%,9.7%,37.6%,(1.4%),(0.7%),87.7,42.0,5.5%,-0.95,No,..,2.2%,3.0%
JAMAICA,Caribbean,2004,Q3,Upper middle income,Tourism & Services,Floating,No,"2,773,283 people","$6,712",23.6%,27.3%,1.92 million visitors,5.2%,(0.6%),8.1%,6.3%,11.4%,94.9%,(2.4%),(4.9%),97.8,25.9,2.5%,-0.49,Yes,4.9%,(3.2%),(3.1%)
belize,Central America,2017,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),Yes,"294,394 people","$4,070",38.7%,52.6%,2.92 million visitors,6.7%,3.9%,2.5%,6.5%,5.0%,90.9%,(1.3%),(12.2%),70.8,10.1,5.5%,-0.33,No,..,1.2%,3.0%
Dominican  Republic,Caribbean,2018,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,770,201 people","$6,708",31.4%,46.5%,2.50 million visitors,8.7%,1.9%,0.9%,5.0%,3.7%,46.4%,(6.9%),(15.6%),98.1,30.8,6.4%,0.41,No,..,6.4%,6.2%
BELIZE,Central America,2011,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"327,011 people","$4,870",30.1%,32.5%,2.64 million visitors,7.8%,4.0%,2.6%,5.5%,4.7%,89.9%,(5.0%),(3.9%),87.1,2.1,5.2%,-0.03,No,..,4.0%,4.1%
guatemala,Central America,2008,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,509,653 people","$4,717",35.7%,41.9%,1.36 million visitors,2.5%,2.4%,2.1%,5.5%,2.0%,36.8%,(1.1%),(7.3%),111.1,55.4,5.0%,-0.08,No,..,2.1%,0.7%
Nicaragua,Central America,2018,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,380,629 people","$2,276",49.3%,55.8%,1.58 million visitors,0.5%,6.4%,2.3%,6.6%,6.6%,41.5%,(3.7%),(5.8%),105.4,45.9,4.7%,-1.2,No,..,0.7%,0.6%
 Guatemala ,Central America,2004,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,480,473 people","$4,885",38.2%,39.5%,1.05 million visitors,0.7%,3.6%,4.4%,5.0%,6.9%,36.9%,0.0%,(0.2%),104.2,51.2,6.0%,-0.73,No,..,1.5%,2.1%
Bolivia,South America,2004,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,568,608 people","$4,920",38.2%,46.7%,0.18 million visitors,1.5%,2.7%,6.5%,8.3%,8.9%,40.8%,(4.4%),(7.5%),102.6,22.6,3.5%,-0.61,No,..,0.1%,1.6%
 Guyana ,South America,2015,Q2,High income,Mining & Extractives,Floating,No,"730,431 people","$13,919",50.6%,59.8%,0.05 million visitors,1.8%,4.0%,5.6%,4.9%,10.5%,35.3%,(7.1%),(9.4%),110.4,28.7,3.9%,-0.27,No,..,12.4%,12.4%
GUYANA,South America,2005,Q2,High income,Mining & Extractives,Floating,No,"841,995 people","$13,055",41.1%,59.2%,0.05 million visitors,1.2%,(0.7%),3.0%,10.4%,4.7%,34.7%,(2.2%),(18.6%),105.5,39.1,3.7%,-0.42,No,..,10.0%,9.5%
 Costa Rica ,Central America,2019,Q2,Upper middle income,Tourism & Services,Managed Float,No,"4,950,908 people","$12,710",37.4%,39.2%,3.60 million visitors,6.2%,2.8%,4.0%,9.1%,6.0%,54.3%,(1.2%),0.1%,87.4,51.7,4.6%,1.11,No,..,5.3%,4.7%
Uruguay,South America,2023,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,335,373 people","$16,542",46.2%,47.6%,1.07 million visitors,0.6%,1.3%,(0.2%),9.6%,2.1%,82.9%,(4.3%),(0.4%),97.4,35.1,4.9%,0.56,No,..,(0.1%),1.2%
 Panama ,Central America,2005,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,296,299 people","$14,668",31.6%,35.2%,3.01 million visitors,6.3%,..,3.9%,7.9%,5.0%,52.6%,(0.4%),(3.3%),99.4,14.8,2.9%,0.44,No,..,2.4%,4.7%
ecuador,South America,2003,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,439,220 people","$6,356",47.4%,55.9%,0.73 million visitors,3.7%,4.6%,3.8%,7.3%,5.9%,60.3%,(5.8%),(10.0%),100.2,13.0,3.4%,-1.22,No,..,(1.8%),0.1%
 Honduras ,Central America,2022,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,489,502 people","$3,969",42.1%,46.0%,1.07 million visitors,1.3%,4.5%,7.7%,7.3%,11.0%,61.6%,(2.8%),(3.6%),105.3,57.0,3.3%,-0.72,No,..,1.5%,0.8%
Panama,Central America,2018,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,286,136 people","$16,187",23.1%,36.0%,1.55 million visitors,5.4%,2.8%,1.7%,7.7%,5.5%,57.0%,(6.5%),(13.0%),100.4,2.0,3.8%,0.59,No,..,4.4%,4.0%
GUATEMALA,Central America,2020,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,381,131 people","$4,430",48.4%,51.3%,2.40 million visitors,0.5%,3.4%,4.0%,9.0%,7.5%,45.2%,(0.0%),(2.7%),101.7,31.2,4.0%,-0.21,No,..,3.2%,2.4%
uruguay,South America,2003,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,455,514 people","$17,962",43.3%,56.8%,1.89 million visitors,3.0%,6.6%,8.2%,6.5%,10.8%,58.9%,0.5%,(14.6%),103.9,44.4,4.6%,1.26,No,..,2.9%,2.6%
BOLIVIA,South America,2007,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,474,123 people","$2,742",40.2%,40.7%,0.70 million visitors,1.3%,4.7%,6.4%,6.5%,8.8%,37.8%,(2.4%),1.0%,90.2,36.5,4.7%,-0.87,No,..,2.8%,3.3%
paraguay,South America,2014,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,831,875 people","$6,423",32.0%,36.6%,0.20 million visitors,0.5%,4.1%,2.7%,3.9%,1.4%,30.9%,(5.1%),(2.8%),115.7,37.3,2.8%,0.16,No,..,3.4%,3.8%
URUGUAY,South America,2021,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,359,624 people","$17,545",45.5%,54.3%,0.32 million visitors,2.2%,0.1%,2.8%,8.5%,2.7%,81.0%,(7.9%),(7.6%),92.4,28.8,4.0%,1.33,No,..,1.0%,1.8%
BOLIVIA,South America,2005,Q3,Lower middle income,Mining & Extractives,Managed Float,No,"11,459,971 people","$2,322",42.7%,51.9%,0.87 million visitors,0.5%,0.5%,5.9%,5.8%,8.4%,41.9%,(2.6%),(9.4%),97.8,21.8,3.5%,-0.39,No,..,(0.5%),2.5%
Guatemala,Central America,2018,Q2,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,429,543 people","$4,673",30.8%,35.8%,1.19 million visitors,3.8%,2.5%,5.3%,3.3%,6.9%,47.2%,(2.0%),(5.2%),106.5,18.1,5.0%,-0.89,No,..,(0.9%),1.7%
Dominican  Republic,Caribbean,2014,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,843,263 people","$8,086",33.2%,39.5%,2.45 million visitors,5.9%,2.2%,3.7%,7.2%,4.9%,48.1%,(2.5%),(4.9%),94.5,32.9,6.9%,-0.26,No,..,6.0%,6.7%
Ecuador,South America,2023,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,465,147 people","$5,910",33.5%,36.5%,1.66 million visitors,5.4%,1.8%,4.4%,6.7%,4.2%,65.3%,(3.7%),(3.6%),78.1,10.0,4.0%,-0.44,No,..,(0.0%),1.3%
panama,Central America,2014,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,192,914 people","$15,780",29.7%,39.7%,1.98 million visitors,3.7%,1.3%,6.1%,13.4%,8.4%,57.7%,(1.2%),(10.1%),106.6,12.1,3.7%,0.82,No,..,5.6%,4.5%
PARAGUAY,South America,2021,Q3,Upper middle income,Agriculture & Agro-exports,Managed Float,Yes,"6,755,179 people","$5,782",34.5%,42.2%,0.05 million visitors,0.5%,(1.8%),2.7%,6.8%,5.3%,29.5%,(1.0%),(8.2%),125.1,51.4,4.8%,-0.48,No,..,6.4%,4.4%
TRINIDAD AND TOBAGO,Caribbean,2010,Q2,High income,Mining & Extractives,Floating,No,"1,474,267 people","$16,653",44.6%,40.5%,0.42 million visitors,1.8%,5.9%,6.9%,7.4%,8.4%,63.0%,(4.8%),4.5%,100.5,35.4,6.5%,0.13,No,..,0.2%,(1.3%)
Trinidad  and  Tobago,Caribbean,2009,Q1,High income,Mining & Extractives,Floating,No,"1,408,472 people","$16,184",37.3%,31.8%,0.05 million visitors,0.5%,4.0%,7.5%,8.1%,9.1%,62.9%,(4.2%),4.4%,95.5,33.5,5.6%,-0.69,No,..,0.9%,0.9%
BELIZE,Central America,2019,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"319,383 people","$5,901",43.7%,44.0%,2.59 million visitors,7.6%,3.2%,7.0%,7.3%,10.2%,90.7%,(4.9%),0.4%,69.5,22.2,4.4%,0.3,No,..,(1.3%),0.7%
Paraguay,South America,2004,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,802,203 people","$5,844",41.5%,45.6%,1.80 million visitors,0.5%,3.5%,6.0%,8.8%,7.2%,29.5%,(3.8%),(3.3%),99.5,32.2,5.0%,0.44,No,..,1.4%,1.7%
Bolivia,South America,2019,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,533,831 people","$4,002",39.2%,49.4%,0.88 million visitors,1.9%,6.6%,7.3%,9.5%,9.3%,50.5%,(3.6%),(11.3%),86.6,26.3,4.6%,-0.66,No,..,3.3%,2.4%
El Salvador,Central America,2017,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,190,208 people","$3,919",41.0%,42.4%,1.33 million visitors,3.2%,5.4%,4.1%,5.6%,6.5%,82.2%,(2.2%),(0.8%),92.3,9.6,6.2%,-0.83,No,..,(1.3%),(0.3%)
Jamaica,Caribbean,2023,Q4,Upper middle income,Tourism & Services,Floating,No,"2,852,921 people","$5,316",38.0%,49.2%,4.74 million visitors,6.7%,..,5.8%,11.0%,7.6%,97.6%,(2.0%),(10.9%),108.4,29.3,5.1%,-0.28,No,..,(1.2%),(1.6%)
HONDURAS,Central America,2009,Q2,Lower middle income,Agriculture & Agro-exports,Floating,Yes,"9,535,427 people","$3,521",39.4%,41.8%,0.93 million visitors,0.7%,4.1%,2.4%,8.4%,4.7%,50.7%,(1.5%),(4.2%),100.8,45.8,4.0%,-0.83,No,..,(0.1%),1.3%
El Salvador,Central America,2005,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,235,759 people","$4,398",41.5%,54.4%,0.55 million visitors,4.7%,0.5%,2.6%,10.4%,3.5%,70.9%,(3.9%),(12.9%),105.3,19.2,4.5%,-0.25,No,..,2.1%,1.9%
Belize,Central America,2006,Q2,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"450,097 people","$5,368",30.3%,31.9%,2.85 million visitors,6.7%,2.9%,4.4%,13.8%,4.3%,88.1%,(3.1%),(3.9%),87.8,16.4,2.7%,-0.04,No,..,0.7%,(0.8%)
Costa Rica,Central America,2016,Q1,Upper middle income,Tourism & Services,Managed Float,No,"4,898,067 people","$12,100",23.9%,26.8%,2.32 million visitors,13.3%,5.3%,5.5%,8.2%,8.2%,53.5%,(1.6%),(2.7%),83.6,18.5,3.3%,0.83,No,..,6.4%,7.0%
 Paraguay ,South America,2020,Q3,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,804,163 people","$6,242",32.5%,37.1%,0.51 million visitors,1.8%,5.3%,4.3%,7.5%,6.8%,28.2%,(4.9%),(3.3%),129.2,37.6,3.5%,0.0,No,..,2.4%,4.1%
Bolivia,South America,2011,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,420,801 people","$3,775",41.5%,44.7%,0.36 million visitors,0.5%,4.5%,6.7%,9.9%,10.3%,47.2%,(1.3%),(3.2%),89.1,40.5,2.5%,-0.13,No,..,4.1%,3.5%
 Nicaragua ,Central America,2003,Q3,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,478,049 people","$2,505",39.9%,47.4%,0.92 million visitors,0.5%,..,6.2%,9.8%,9.1%,35.3%,1.0%,(7.8%),93.0,28.8,2.2%,-1.58,No,..,1.2%,1.9%
Belize,Central America,2011,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"385,883 people","$4,533",34.3%,51.6%,..,6.9%,..,8.4%,5.8%,11.4%,89.9%,(2.4%),(19.1%),87.1,13.9,4.1%,0.37,No,..,2.7%,2.9%
 Uruguay ,South America,2018,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,422,482 people","$16,597",33.1%,36.2%,..,0.5%,2.1%,5.1%,6.7%,5.7%,78.8%,(3.9%),(1.3%),91.1,24.2,3.0%,1.36,No,..,2.4%,0.7%
 Nicaragua ,Central America,2005,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,535,768 people","$2,243",34.1%,37.2%,0.24 million visitors,3.3%,2.6%,4.1%,9.3%,6.0%,37.0%,(2.7%),(5.0%),99.2,36.5,5.1%,-1.25,No,..,2.2%,1.4%
JAMAICA,Caribbean,2005,Q2,Upper middle income,Tourism & Services,Floating,Yes,"2,775,069 people","$6,410",37.7%,34.7%,2.18 million visitors,6.8%,2.1%,4.6%,10.5%,6.8%,95.9%,(6.4%),1.4%,111.1,42.5,4.1%,0.63,Yes,3.8%,(0.9%),(3.1%)
panama,Central America,2021,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,192,534 people","$15,785",44.8%,61.9%,1.29 million visitors,4.8%,2.4%,0.5%,5.3%,2.4%,61.4%,(3.8%),(17.1%),94.3,19.0,5.5%,0.66,No,..,4.7%,4.7%
nicaragua,Central America,2009,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,555,069 people","$1,683",48.1%,48.0%,0.29 million visitors,3.1%,(0.7%),3.1%,7.4%,4.0%,37.2%,(3.8%),(1.3%),98.4,33.1,5.0%,-1.63,No,..,3.5%,2.0%
PARAGUAY,South America,2011,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,706,182 people","$5,160",34.5%,38.6%,2.01 million visitors,1.8%,2.8%,6.5%,12.3%,8.2%,29.5%,(1.7%),(2.7%),117.8,48.2,6.1%,-0.04,No,..,5.8%,3.0%
Jamaica,Caribbean,2006,Q3,Upper middle income,Tourism & Services,Floating,No,"2,909,801 people","$4,609",38.5%,50.8%,2.60 million visitors,8.7%,5.3%,5.7%,8.1%,6.8%,96.6%,(5.5%),(13.2%),111.8,27.9,3.3%,-0.52,No,..,2.1%,1.9%
Uruguay,South America,2007,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,415,124 people","$16,456",40.7%,48.5%,1.10 million visitors,4.6%,(0.6%),3.0%,7.3%,5.2%,62.2%,(3.4%),(9.9%),93.6,19.3,5.6%,1.34,No,..,2.2%,2.8%
NICARAGUA,Central America,2013,Q4,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,435,597 people","$2,357",36.1%,42.4%,1.28 million visitors,3.2%,(1.8%),4.6%,7.6%,7.1%,36.7%,(2.5%),(6.1%),104.3,36.1,3.2%,-1.03,Yes,8.5%,(0.7%),(0.3%)
Panama,Central America,2018,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,172,035 people","$14,987",31.9%,40.3%,2.00 million visitors,0.9%,0.7%,1.7%,9.9%,2.4%,57.0%,(2.1%),(8.3%),100.4,9.6,5.3%,0.28,No,..,4.2%,2.9%
Bolivia,South America,2010,Q3,Lower middle income,Mining & Extractives,Managed Float,No,"11,485,714 people","$3,897",38.2%,46.2%,0.05 million visitors,0.5%,4.0%,7.6%,11.1%,9.6%,43.6%,(3.2%),(9.2%),89.6,30.7,3.1%,-0.46,No,..,0.5%,1.4%
el salvador,Central America,2008,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,313,963 people","$4,546",36.4%,38.2%,1.71 million visitors,3.8%,..,3.3%,9.7%,7.2%,76.8%,(3.0%),(2.3%),94.4,5.4,4.1%,-0.32,No,..,(0.8%),0.9%
Nicaragua,Central America,2023,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,539,285 people","$1,572",30.9%,33.0%,0.90 million visitors,1.3%,1.9%,5.0%,5.9%,6.8%,40.8%,(2.3%),(2.0%),97.4,49.3,3.4%,-1.16,No,..,2.4%,2.1%
jamaica,Caribbean,2012,Q3,Upper middle income,Tourism & Services,Floating,No,"2,850,155 people","$4,770",46.5%,51.6%,2.41 million visitors,6.4%,1.8%,5.9%,6.5%,7.2%,93.6%,(4.1%),(5.0%),112.1,28.6,6.1%,0.74,No,..,0.4%,1.1%
HONDURAS,Central America,2007,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,445,107 people","$1,908",39.8%,48.7%,0.31 million visitors,3.8%,3.0%,2.5%,5.4%,7.2%,47.6%,(2.7%),(8.1%),94.7,38.5,5.2%,-0.66,No,..,2.5%,2.0%
Costa  Rica,Central America,2010,Q2,Upper middle income,Tourism & Services,Managed Float,No,"4,996,473 people","$12,364",27.6%,29.4%,3.66 million visitors,6.0%,4.5%,6.6%,10.5%,7.9%,52.7%,(5.8%),(2.1%),101.8,27.4,3.5%,0.18,No,..,4.1%,4.6%
dominican republic,Caribbean,2003,Q2,Upper middle income,Tourism & Services,Managed Float,Yes,"10,761,474 people","$8,187",23.9%,20.0%,2.56 million visitors,2.6%,0.8%,1.9%,8.3%,2.4%,46.9%,(2.3%),4.2%,95.3,46.1,3.9%,0.38,No,..,2.4%,2.7%
panama,Central America,2010,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,267,797 people","$16,497",38.8%,41.5%,1.51 million visitors,0.5%,2.5%,3.6%,5.2%,2.7%,53.1%,(1.6%),(1.7%),103.9,10.8,4.2%,0.69,No,..,0.3%,2.6%
Trinidad  and  Tobago,Caribbean,2004,Q2,High income,Mining & Extractives,Floating,No,"1,376,133 people","$16,821",46.6%,48.1%,0.67 million visitors,2.1%,3.0%,6.2%,4.1%,9.4%,60.4%,(5.1%),(2.8%),98.4,54.5,4.6%,0.18,No,..,4.1%,4.5%
Honduras,Central America,2022,Q3,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,508,376 people","$3,659",42.3%,32.3%,1.48 million visitors,3.8%,(0.2%),8.1%,7.2%,10.1%,61.6%,0.0%,9.2%,105.3,35.1,2.8%,-0.07,No,..,2.3%,2.3%
Dominican Republic,Caribbean,2004,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,745,892 people","$8,551",40.9%,29.2%,2.00 million visitors,4.5%,4.6%,0.4%,7.7%,3.3%,49.3%,(2.8%),12.0%,87.2,40.9,6.8%,0.28,No,..,4.4%,5.6%
belize,Central America,2018,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"472,444 people","$6,225",39.1%,41.8%,2.36 million visitors,6.0%,4.2%,2.7%,7.2%,4.4%,90.2%,(4.2%),(2.3%),66.0,19.1,5.8%,0.35,No,..,1.7%,2.0%
COSTA RICA,Central America,2008,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,011,352 people","$12,666",30.3%,40.1%,3.94 million visitors,9.2%,(3.4%),7.5%,7.1%,8.7%,50.0%,(4.1%),(10.9%),105.5,23.7,4.1%,1.01,No,..,5.4%,5.4%
Costa Rica,Central America,2016,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,027,143 people","$12,539",35.7%,38.7%,3.42 million visitors,9.2%,4.7%,7.3%,7.4%,10.9%,53.5%,(3.1%),(4.0%),83.6,32.6,4.0%,0.56,No,..,4.3%,4.4%
TRINIDAD AND TOBAGO,Caribbean,2011,Q2,High income,Mining & Extractives,Floating,No,"1,465,149 people","$17,096",40.1%,44.3%,0.05 million visitors,3.2%,..,5.3%,4.3%,6.9%,62.8%,2.1%,(3.1%),92.1,33.5,5.9%,0.45,No,..,3.0%,2.2%
 Costa Rica ,Central America,2022,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,007,940 people","$13,583",32.7%,38.1%,4.30 million visitors,7.3%,(0.3%),9.3%,10.0%,10.9%,52.7%,(2.1%),(4.5%),90.0,19.0,4.3%,1.68,No,..,3.2%,3.8%
trinidad and tobago,Caribbean,2006,Q1,High income,Mining & Extractives,Floating,No,"1,467,731 people","$16,433",44.0%,50.6%,0.07 million visitors,3.7%,7.3%,3.2%,7.6%,3.5%,63.2%,0.3%,(6.7%),98.7,44.6,3.3%,0.31,No,..,(0.9%),0.6%
Jamaica,Caribbean,2004,Q1,Upper middle income,Tourism & Services,Floating,No,"2,845,084 people","$4,900",34.7%,35.4%,1.58 million visitors,6.5%,3.9%,3.1%,6.8%,5.4%,94.9%,(3.8%),(0.9%),97.8,37.5,4.6%,-0.61,Yes,4.5%,(4.8%),(4.1%)
 Dominican Republic ,Caribbean,2003,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,791,822 people","$7,882",26.4%,32.6%,1.97 million visitors,5.8%,4.1%,3.3%,8.1%,4.6%,46.9%,0.2%,(5.2%),95.3,32.8,4.5%,0.14,No,..,3.3%,4.3%
Uruguay,South America,2015,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,382,035 people","$15,437",35.0%,41.6%,1.71 million visitors,2.5%,0.7%,4.1%,8.1%,2.7%,76.1%,(1.1%),(6.3%),85.8,45.2,4.1%,1.53,No,..,0.9%,1.0%
Ecuador,South America,2015,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,584,135 people","$5,683",44.4%,51.0%,1.56 million visitors,3.3%,5.4%,6.0%,6.8%,5.4%,66.6%,(0.3%),(5.2%),85.6,22.1,3.5%,0.18,No,..,3.8%,3.6%
TRINIDAD AND TOBAGO,Caribbean,2013,Q2,High income,Mining & Extractives,Floating,No,"1,389,826 people","$15,931",29.1%,35.0%,1.65 million visitors,0.5%,2.8%,5.4%,5.7%,9.1%,62.7%,(1.5%),(5.0%),85.8,42.2,2.4%,0.57,No,..,0.2%,1.1%
HONDURAS,Central America,2009,Q3,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,457,726 people","$1,999",37.8%,38.9%,..,4.0%,3.1%,8.9%,5.7%,13.2%,50.7%,(1.6%),(1.9%),100.8,13.7,4.2%,-0.46,No,..,0.5%,0.9%
Bolivia,South America,2015,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,505,125 people","$3,425",37.2%,45.2%,0.94 million visitors,0.5%,0.2%,6.1%,5.7%,7.9%,47.9%,(1.4%),(6.8%),93.8,35.8,5.6%,-0.33,No,..,3.7%,3.2%
HONDURAS,Central America,2010,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,470,241 people","$1,677",40.9%,47.0%,0.16 million visitors,3.4%,6.0%,3.4%,11.2%,5.0%,52.3%,(4.0%),(6.5%),95.1,43.0,4.7%,-0.49,No,..,2.7%,1.8%
 Nicaragua ,Central America,2008,Q4,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,454,911 people","$2,263",41.5%,43.0%,0.67 million visitors,2.0%,..,7.5%,9.6%,10.8%,39.0%,(3.1%),(1.9%),95.8,45.4,4.9%,-1.54,No,..,3.1%,2.0%
