priority,weapon,injury,offense,time-band,location,district,repeat-site,witness,cctv,alcohol,gang-flag,juvenile,domestic,vehicle,weekday,shift,precinct-size,report-delay,officer-count,clearance,file-flag
p,k,m,t,d,s,f,f,f,f,f,f,f,f,f,t,b,s,i,o,o,i
p,k,m,a,n,c,e,f,t,t,t,f,t,f,f,t,a,m,i,o,?,i
p,k,n,t,n,c,d,f,t,f,f,f,f,f,t,t,b,s,i,o,c,i
r,k,n,t,n,h,a,t,t,f,f,f,f,f,f,t,c,s,i,o,?,i
p,n,m,b,e,s,b,t,f,t,f,f,t,f,f,t,a,l,s,o,?,i
r,f,s,t,e,p,f,f,f,t,f,t,f,f,f,f,c,l,i,m,c,i
r,n,n,t,d,s,d,t,f,f,f,f,f,f,f,f,b,s,s,m,o,i
r,n,n,d,e,p,b,t,t,f,f,f,f,f,f,t,c,m,i,o,o,i
r,n,m,t,n,c,e,f,f,t,t,f,f,f,f,f,a,m,s,o,o,i
p,n,n,r,d,s,a,f,t,t,f,f,f,t,f,t,b,m,i,o,?,i
p,o,n,a,d,h,b,f,f,f,f,f,f,f,f,f,b,l,s,o,o,i
r,n,m,d,n,t,b,f,t,f,t,f,f,f,f,t,c,m,s,o,?,i
r,n,n,v,d,t,f,f,t,t,f,f,f,f,t,t,a,l,i,o,c,i
p,f,n,t,e,s,e,f,t,f,f,f,f,t,f,t,b,m,i,m,c,i
p,k,n,d,d,s,c,f,t,t,f,f,f,f,t,t,a,s,i,o,o,i
r,n,n,a,d,s,c,f,f,t,f,f,f,t,f,t,c,m,s,m,o,i
r,n,m,a,d,c,e,t,f,f,f,t,f,f,f,f,a,m,s,o,c,i
r,n,n,r,e,s,a,f,f,f,f,f,t,f,t,t,b,m,l,m,?,i
p,f,n,v,n,s,a,f,f,f,f,f,t,f,t,t,a,m,s,m,o,i
r,n,n,a,n,h,e,f,f,f,t,f,f,f,f,t,a,m,i,o,c,i
p,n,n,a,d,t,e,f,f,f,t,f,f,t,t,f,a,l,s,m,c,i
r,n,n,t,d,s,b,f,f,f,f,f,t,f,f,t,c,s,i,m,?,i
r,k,n,b,n,c,a,f,f,f,f,f,f,f,f,t,a,m,l,o,?,i
r,n,n,h,d,s,e,f,f,f,t,f,f,f,f,t,b,m,s,m,c,i
p,o,n,a,d,c,a,f,t,t,t,f,f,f,t,t,c,m,s,o,c,i
r,n,n,h,e,h,d,f,t,t,f,f,f,f,t,t,b,l,i,m,o,i
p,k,n,t,n,t,d,f,t,f,t,f,f,t,t,t,b,m,i,o,o,i
r,n,n,v,d,c,d,f,f,f,f,f,f,t,f,t,a,s,s,o,c,i
r,n,n,d,d,s,c,f,t,f,f,f,f,f,f,t,b,m,i,o,o,i
p,n,n,r,n,h,e,f,f,t,f,f,f,f,t,t,a,m,i,o,?,i
r,o,n,t,n,s,f,f,f,f,f,f,f,f,t,t,b,l,s,o,o,i
r,u,n,a,e,s,d,f,t,t,f,f,f,f,t,f,b,m,i,o,c,i
r,n,m,t,e,t,c,f,t,t,f,t,f,f,t,t,a,s,s,m,?,i
r,n,n,r,n,h,f,f,f,f,f,f,f,f,t,f,a,m,i,o,c,i
p,u,m,h,e,p,c,f,f,f,f,f,f,f,t,t,b,m,i,m,c,i
p,k,m,a,n,s,a,f,t,t,f,f,f,f,f,f,c,l,i,m,o,i
r,n,n,t,e,p,a,f,f,f,f,f,t,f,f,t,a,m,l,o,o,i
r,n,n,t,d,p,b,t,t,f,f,f,f,f,f,t,a,s,s,o,o,i
p,f,n,b,n,c,a,f,f,f,f,f,f,f,t,f,a,l,s,o,o,i
p,f,n,b,e,s,e,t,f,f,f,f,f,f,f,t,a,l,s,o,o,i
p,k,n,t,d,p,a,f,f,f,f,t,f,f,f,t,a,m,s,m,c,i
p,u,n,v,e,p,c,t,f,t,f,f,f,f,t,t,b,m,s,m,c,i
p,k,m,t,n,s,f,f,t,t,t,f,f,f,t,f,c,l,l,o,?,i
r,n,n,r,d,t,a,f,f,f,f,f,f,f,f,t,a,s,i,m,?,i
p,n,m,a,n,p,d,f,t,t,f,f,f,f,t,t,b,m,s,o,?,i
p,n,m,t,d,s,f,f,f,t,f,f,f,f,f,t,a,s,l,m,o,i
r,n,n,r,e,h,a,f,t,f,f,f,f,f,f,f,c,s,i,o,c,i
p,n,s,r,n,s,b,f,f,f,t,f,f,f,f,t,c,s,l,o,c,i
p,n,f,a,n,h,a,f,f,f,f,t,t,f,t,t,c,s,i,m,o,i
p,f,n,v,n,p,d,t,f,f,f,f,f,f,f,t,a,s,i,o,c,i
p,n,n,b,e,p,c,f,f,f,f,f,f,f,f,t,a,m,l,m,o,i
r,n,n,a,e,s,f,f,f,t,t,f,f,f,t,t,a,m,i,o,o,i
p,f,n,h,e,h,d,f,f,t,f,f,f,f,f,t,c,l,i,o,?,i
p,k,n,d,d,h,d,f,f,t,f,f,t,f,f,f,a,s,s,m,o,i
r,o,n,t,e,h,f,f,t,f,f,f,f,f,f,f,b,m,l,m,c,i
r,o,n,d,e,c,a,f,t,f,t,f,f,f,t,t,a,m,l,o,?,i
p,f,m,v,e,c,e,f,t,f,f,t,t,f,f,t,a,m,i,o,?,i
r,n,n,t,d,s,e,f,f,f,t,f,f,f,f,f,b,l,s,o,c,i
r,n,n,b,d,h,d,t,f,f,t,f,f,f,t,f,b,m,i,o,?,i
r,k,n,t,d,p,d,f,f,f,f,t,f,f,f,t,a,m,s,o,c,i
p,n,m,b,d,s,a,f,f,t,f,f,f,f,f,t,b,l,l,m,o,i
r,n,m,d,e,h,e,t,t,t,f,f,f,f,t,t,b,m,i,o,c,i
r,n,n,a,d,t,d,f,f,t,f,f,f,f,f,t,c,m,i,o,c,i
r,n,m,b,n,p,e,t,f,t,f,f,f,f,f,t,b,s,i,m,c,i
r,n,n,t,d,c,f,f,f,t,f,f,f,f,f,f,a,m,i,o,c,i
p,n,m,b,n,s,c,f,f,t,t,f,t,f,f,t,a,m,l,o,c,i
r,o,n,v,d,c,f,f,f,f,f,f,f,f,f,t,c,l,i,o,?,i
r,u,n,t,n,c,a,f,f,f,f,f,f,f,f,t,a,m,s,o,?,i
r,n,m,b,e,h,a,t,t,t,f,f,f,f,f,f,c,s,i,m,?,i
r,u,m,a,n,s,b,f,f,t,f,f,f,f,f,t,a,l,i,o,?,i
p,n,m,v,n,h,b,f,f,t,f,f,f,f,t,t,b,s,s,o,o,i
r,u,n,v,e,h,d,f,t,f,f,f,f,f,f,t,b,m,i,o,c,i
p,u,m,r,d,t,b,f,f,f,f,f,f,f,f,t,b,m,i,m,o,i
r,n,n,a,e,c,d,f,t,f,f,f,f,f,f,f,a,m,i,o,o,i
r,o,m,b,d,s,f,f,f,f,f,f,f,f,f,t,a,m,s,m,?,i
p,u,m,r,n,s,e,f,t,t,f,f,f,f,t,t,c,m,l,o,o,i
p,u,n,r,n,h,c,f,t,f,f,f,f,f,f,f,b,m,i,o,o,i
r,u,n,b,d,h,f,f,f,t,f,f,f,f,f,f,c,m,i,m,o,i
r,k,n,d,e,s,e,f,t,f,t,f,f,f,f,f,c,m,i,o,?,i
r,n,n,t,d,t,e,f,t,f,f,f,t,t,f,t,c,l,i,o,c,i
r,o,n,t,e,t,b,f,f,f,f,f,f,f,f,t,b,m,i,o,o,i
r,k,n,h,e,t,d,f,f,f,t,f,f,f,f,t,b,m,i,o,?,i
r,k,n,t,e,h,a,f,t,f,f,f,f,f,f,t,b,l,i,m,o,i
r,n,n,d,n,p,b,f,f,f,t,t,f,t,f,t,b,s,i,o,?,i
p,k,n,r,d,c,a,f,f,f,f,f,f,f,f,t,c,m,s,m,c,i
p,n,m,d,n,h,d,f,t,t,f,f,f,f,f,t,a,s,i,o,o,i
p,f,n,b,e,s,a,f,f,f,t,f,f,f,f,t,a,l,s,o,o,i
r,n,n,d,d,s,c,f,f,t,f,f,t,f,t,f,b,m,s,o,c,i
p,f,m,v,e,s,d,f,f,f,t,f,f,f,t,t,a,l,s,o,o,i
p,o,f,b,d,p,b,f,f,f,f,f,t,f,t,t,b,m,l,o,o,i
p,n,n,a,e,c,b,f,f,f,f,f,f,f,f,f,b,l,i,o,o,i
p,k,n,t,n,t,f,f,f,f,f,f,f,f,t,f,a,m,s,m,o,i
p,n,n,t,d,h,f,t,t,f,f,f,f,f,f,f,c,l,s,o,?,i
p,u,s,h,d,s,e,t,f,f,t,f,f,f,f,t,b,m,i,m,o,i
p,f,m,t,e,h,e,f,t,f,f,f,t,f,f,t,c,m,i,m,c,i
r,n,m,v,d,s,b,f,f,f,t,f,t,f,f,t,b,m,s,o,o,i
r,n,m,b,d,t,a,t,t,t,f,t,t,f,t,t,a,l,l,o,?,i
r,n,n,a,e,s,c,f,f,f,t,f,f,f,t,t,b,s,s,o,?,i
r,n,n,h,d,s,f,t,f,f,f,f,f,t,t,t,a,m,i,o,o,i
r,u,m,t,n,h,b,t,f,t,f,f,f,f,t,t,b,m,s,m,o,i
p,f,s,b,e,p,b,f,f,f,f,f,f,f,f,f,c,m,i,m,c,i
r,n,n,b,e,h,e,t,t,t,f,f,f,t,t,t,c,s,i,o,?,i
r,o,n,t,d,s,d,f,t,f,f,f,f,f,f,t,c,s,l,o,o,i
r,n,n,t,d,c,c,f,f,f,t,f,f,f,f,f,a,m,l,o,c,i
p,o,s,r,e,s,f,f,f,f,f,f,f,f,f,t,a,s,i,m,?,i
r,n,n,t,e,h,d,f,f,f,t,f,t,f,f,t,c,s,l,m,o,i
p,k,m,v,n,h,f,f,f,f,t,f,f,t,f,t,c,l,i,o,c,i
p,u,n,r,d,s,b,f,f,f,f,f,f,f,f,t,a,s,l,o,o,i
r,n,n,t,e,h,c,t,f,f,f,f,f,f,t,t,b,s,s,o,?,i
p,f,m,a,e,s,a,f,t,f,t,t,f,t,f,t,b,m,l,m,o,i
r,u,n,t,d,s,b,f,t,t,f,f,f,f,f,t,b,s,i,o,o,i
r,n,m,v,n,h,a,f,f,t,f,f,f,f,t,t,c,m,s,m,?,i
p,n,s,b,d,s,a,f,f,f,f,f,f,f,f,t,b,m,l,o,o,i
p,f,m,t,n,s,b,f,t,t,t,f,f,f,f,t,b,m,s,o,?,i
r,n,n,b,e,c,c,f,f,f,f,f,f,f,f,f,c,s,i,m,?,i
r,n,m,b,d,c,b,f,f,f,f,f,f,f,t,t,b,s,s,m,o,i
r,n,n,r,e,p,a,f,f,f,t,f,f,f,f,t,a,s,i,o,o,i
p,f,n,t,d,p,c,f,f,t,f,f,f,f,f,t,c,m,i,m,c,i
p,n,n,t,e,h,a,f,t,f,f,t,f,f,f,t,c,s,i,o,o,i
r,n,n,a,n,h,a,t,f,f,t,f,f,f,t,t,a,m,i,m,?,i
p,o,n,r,e,h,f,f,f,f,f,f,f,t,t,f,b,s,i,o,?,i
p,k,n,r,d,c,c,f,t,t,f,f,f,f,f,f,a,l,s,m,c,i
r,o,n,t,e,h,e,t,f,t,f,f,f,f,t,t,b,l,s,o,?,i
r,n,n,t,e,t,a,f,f,t,f,f,f,f,t,t,b,l,s,m,?,i
p,u,n,r,e,c,c,f,f,f,f,f,f,f,f,t,a,m,l,o,?,i
p,f,n,t,e,s,a,t,f,f,f,f,f,f,f,f,a,l,i,m,c,i
r,n,m,b,d,c,c,f,f,f,f,f,f,f,f,t,a,m,i,m,o,i
p,u,n,a,n,s,e,f,t,t,t,f,f,f,f,t,c,l,s,o,c,i
r,k,n,t,n,t,f,t,f,t,f,f,f,f,f,t,b,m,s,m,o,i
r,n,m,b,e,h,c,f,t,f,f,f,f,f,f,f,a,s,i,m,o,i
p,n,s,t,d,c,b,f,f,t,t,f,f,f,f,f,c,m,l,o,o,i
p,f,s,b,e,c,e,f,t,t,f,f,f,f,f,f,c,l,s,m,o,i
r,n,m,t,e,s,d,f,t,f,f,f,f,f,f,t,b,l,i,o,c,i
p,n,f,a,n,c,c,f,f,t,f,f,f,t,f,f,a,m,i,m,?,i
r,n,n,b,n,s,c,f,t,f,f,f,f,f,f,t,b,m,i,m,c,i
p,n,s,t,n,h,c,f,f,f,f,f,f,f,f,t,a,m,i,m,?,i
p,n,s,r,d,s,b,f,f,t,t,f,f,f,t,t,a,m,l,o,?,i
r,k,n,v,e,p,c,f,f,t,t,f,f,f,f,t,c,l,s,o,c,i
r,n,s,h,n,p,a,f,t,f,f,f,f,f,f,t,a,m,i,o,c,i
r,n,m,t,d,s,d,t,t,t,t,f,f,f,t,t,a,s,i,o,c,i
p,k,m,t,d,p,c,f,f,f,t,f,f,f,f,f,a,s,i,m,c,i
p,n,s,a,d,p,c,f,t,t,f,f,f,f,f,t,a,s,i,m,o,i
p,f,n,d,e,s,b,f,t,f,f,f,f,f,f,t,a,m,l,o,?,i
r,n,n,a,e,t,d,f,f,t,f,f,t,f,f,t,b,s,s,m,c,i
p,n,m,a,d,s,c,f,f,t,f,f,f,f,f,f,c,m,l,o,o,i
r,n,m,v,e,p,a,t,f,f,f,f,f,f,f,f,a,m,l,o,o,i
p,n,s,t,n,h,b,f,t,f,f,f,f,f,f,f,c,s,s,o,c,i
p,n,s,b,n,t,a,t,t,t,t,f,f,f,f,f,b,m,s,m,c,i
r,o,m,a,n,s,b,f,t,t,f,f,f,t,f,t,c,l,i,o,c,i
p,n,s,r,n,h,c,f,f,f,t,f,f,f,f,t,b,m,s,o,c,i
p,k,n,v,e,p,c,t,f,t,f,f,f,f,f,t,c,s,i,o,o,i
p,k,s,a,n,c,b,f,f,f,t,f,f,f,f,t,a,m,s,o,c,i
r,n,n,r,d,h,b,t,f,t,f,f,f,f,t,t,b,s,i,o,o,i
p,k,n,b,n,c,c,f,f,f,f,f,f,f,f,t,a,s,s,o,c,i
r,n,n,t,n,c,a,f,f,f,f,f,f,f,t,f,a,l,s,o,o,i
r,n,n,d,e,s,f,f,f,t,f,f,f,f,t,t,b,l,i,o,?,i
r,n,n,v,e,s,d,f,f,t,f,t,f,f,f,t,b,m,l,m,o,i
p,o,n,d,d,s,d,f,f,f,f,t,f,f,t,f,b,m,i,o,o,i
p,u,m,v,d,s,a,t,t,t,t,f,f,f,f,f,c,m,i,m,c,i
r,n,m,t,d,p,f,f,f,t,f,f,t,f,t,t,b,m,s,m,o,i
p,k,n,a,d,h,d,f,t,t,f,f,f,f,t,t,b,l,i,m,c,i
p,o,m,a,d,h,c,f,f,t,f,f,f,f,f,t,b,m,i,o,o,i
r,n,n,t,d,s,e,f,f,f,f,f,f,f,f,t,c,l,i,o,?,i
p,o,n,a,n,p,b,f,f,f,f,f,f,f,t,f,a,m,s,m,o,i
r,k,n,a,e,s,f,f,t,f,f,f,t,f,f,t,a,s,s,o,?,i
p,u,n,t,n,s,a,f,f,t,t,f,f,t,f,t,a,m,i,m,o,i
p,u,m,d,e,p,e,f,t,f,t,t,f,f,f,f,b,m,s,m,?,i
r,n,n,t,d,s,f,f,f,f,t,f,f,t,f,t,c,l,i,o,c,i
r,n,m,b,d,c,c,f,t,t,f,f,f,f,f,t,a,m,s,o,c,i
r,k,n,v,n,h,f,f,f,f,t,t,f,f,t,f,a,m,i,o,o,i
p,n,m,r,d,c,a,f,f,t,f,f,f,f,t,t,a,m,i,m,o,i
p,n,f,t,e,s,d,t,t,f,f,f,t,f,f,t,a,l,i,o,o,i
p,u,n,r,d,h,b,f,f,t,t,f,f,t,f,f,c,l,s,o,o,i
r,n,n,v,d,h,b,f,f,t,f,f,t,t,f,t,c,s,i,o,c,i
r,n,n,d,d,c,c,t,f,t,f,f,t,f,t,t,b,l,l,o,?,i
p,o,n,a,e,p,d,f,f,t,f,f,f,f,f,t,b,m,i,o,c,i
r,n,n,t,d,s,d,f,f,t,f,f,f,f,f,f,c,l,i,o,o,i
p,n,n,r,n,c,b,f,t,f,f,f,f,f,f,t,c,s,s,m,?,i
p,u,s,t,d,s,c,t,f,f,f,f,f,f,f,t,a,m,i,m,o,i
p,n,s,v,d,c,b,t,f,f,t,f,f,f,f,t,a,l,i,o,?,i
p,n,n,r,d,t,d,f,f,t,t,f,f,f,f,t,a,m,s,o,c,i
r,n,n,v,n,s,a,f,f,f,f,f,f,t,f,f,c,s,l,o,c,i
r,u,n,h,e,s,c,t,f,f,f,f,f,f,t,t,c,m,s,o,o,i
r,n,n,b,e,c,f,t,t,f,f,f,f,f,f,t,b,l,i,o,c,i
p,k,m,d,e,p,f,f,f,f,t,f,f,f,f,t,a,s,l,o,o,i
r,n,n,r,n,c,c,t,f,t,f,f,t,f,f,t,c,m,l,m,o,i
r,n,n,t,d,h,b,t,f,f,f,f,t,f,t,t,b,m,s,o,o,i
p,u,n,v,n,c,d,f,f,f,f,f,f,f,t,t,a,m,i,m,o,i
p,k,n,r,n,s,c,f,f,f,f,f,f,f,f,t,c,m,s,o,?,i
p,u,n,h,d,t,a,f,t,t,f,t,f,f,f,t,a,m,i,m,o,i
r,n,n,t,d,p,f,f,f,t,f,f,f,f,f,f,a,l,i,o,o,i
p,k,m,a,e,p,b,t,t,f,f,f,t,f,f,t,a,l,s,o,o,i
p,o,n,d,d,p,c,f,f,f,f,f,f,f,f,t,c,l,i,m,?,i
p,n,s,t,d,t,c,f,f,f,t,f,f,f,t,t,c,s,i,o,o,i
r,n,n,r,d,s,f,f,t,t,t,f,t,f,t,t,b,m,i,o,?,i
p,o,m,b,d,t,e,f,f,f,f,f,f,f,f,t,b,m,s,o,?,i
r,n,n,t,e,s,b,f,f,t,f,f,f,t,f,t,a,m,s,o,?,i
r,k,n,t,e,h,e,f,t,f,f,f,f,f,f,t,c,m,i,o,o,i
p,u,s,v,e,h,f,f,t,f,t,f,f,f,t,t,a,l,l,o,c,i
p,n,m,t,e,s,e,t,f,f,f,f,f,f,f,t,a,m,i,m,c,i
r,n,n,v,d,h,a,f,f,t,f,f,f,f,f,t,b,l,i,m,?,i
r,n,n,v,e,h,c,f,t,f,f,f,f,f,f,f,b,m,l,o,o,i
r,n,m,r,n,s,e,f,f,f,f,f,f,f,f,t,b,m,i,m,o,i
p,n,s,a,d,h,a,f,f,f,f,f,t,f,f,t,b,l,i,o,?,i
p,f,m,t,e,h,c,f,f,f,f,f,f,f,t,t,b,l,s,o,o,i
r,n,n,v,n,c,d,f,f,f,f,f,t,f,f,f,b,s,s,m,?,i
p,f,n,t,e,h,d,f,t,f,t,f,f,f,f,t,a,m,i,o,o,i
r,n,n,a,d,c,a,f,f,f,f,f,f,f,t,t,a,m,s,o,c,i
r,n,n,d,d,c,b,f,f,f,f,f,f,f,f,f,a,s,s,o,?,i
r,n,n,a,e,c,d,f,f,f,f,f,f,f,t,t,a,m,i,m,o,i
p,f,m,t,e,s,b,f,t,t,f,f,t,f,t,t,a,l,s,o,?,i
p,n,n,h,n,h,b,f,f,f,f,f,f,t,f,f,a,m,s,m,o,i
r,n,m,t,e,h,c,f,f,t,t,f,t,f,f,t,c,m,l,o,o,i
p,o,m,t,d,s,a,f,t,t,f,f,f,f,t,t,b,l,s,o,o,i
p,k,m,a,n,p,c,f,t,t,f,t,f,f,f,f,a,m,i,o,?,i
r,n,n,v,e,s,f,f,f,f,f,t,f,f,f,f,b,l,i,o,o,i
p,u,n,d,n,t,c,f,f,t,f,f,f,f,f,t,c,l,i,m,o,i
r,n,n,v,n,s,b,f,f,f,f,f,f,t,f,f,c,s,s,o,?,i
r,n,n,h,e,c,b,f,t,f,t,f,f,f,t,t,c,m,s,o,?,i
p,k,n,t,e,s,c,t,f,t,f,f,f,t,f,t,a,s,s,o,?,i
r,n,n,r,e,t,c,f,f,f,f,f,f,f,f,t,a,s,i,o,?,i
r,n,n,t,d,p,f,t,f,t,t,f,f,t,t,t,c,l,l,m,?,i
p,f,n,d,e,s,d,f,t,t,f,f,f,t,t,f,a,m,l,m,o,i
r,n,s,d,d,s,c,f,t,t,f,f,f,f,f,t,c,m,i,o,c,i
p,o,m,a,d,h,c,t,f,f,t,f,f,f,f,t,c,l,i,o,o,i
p,u,n,d,e,s,c,t,f,f,f,f,f,f,f,t,b,s,i,o,?,i
p,k,s,r,d,s,b,f,f,t,t,f,f,f,f,t,b,m,i,m,?,i
p,f,n,t,n,t,c,t,f,f,f,f,t,f,f,t,a,m,s,m,?,i
r,f,n,r,e,c,b,f,f,t,f,f,f,f,f,t,c,s,i,o,c,i
r,u,m,h,n,s,c,f,f,f,t,f,f,f,f,t,b,l,l,o,o,i
r,n,n,a,e,h,c,t,f,f,f,f,f,f,f,t,a,l,s,m,?,i
r,n,n,t,n,s,e,f,t,t,f,f,f,t,t,t,a,l,s,m,o,i
p,k,n,h,e,p,b,f,t,t,f,f,f,f,f,t,b,s,s,m,c,i
p,k,n,a,n,s,f,f,f,f,f,f,f,f,f,t,b,m,i,m,?,i
r,n,m,a,d,h,c,t,t,f,f,f,f,f,f,t,a,s,l,m,c,i
r,k,n,v,n,s,e,f,f,f,f,f,f,f,f,t,b,l,s,o,?,i
p,n,n,r,e,t,d,f,f,f,f,f,f,f,f,f,a,m,s,o,o,i
r,u,n,a,d,s,e,f,t,t,t,f,f,f,f,f,c,s,i,o,o,i
r,n,n,t,e,c,d,f,t,f,t,f,f,f,f,f,a,s,l,o,?,i
p,n,n,d,e,h,a,f,f,t,t,f,t,f,f,t,b,m,s,o,?,i
p,n,s,b,d,p,c,f,f,t,t,f,f,f,f,t,c,m,i,o,?,i
p,n,m,r,d,s,f,t,f,f,f,f,f,t,f,t,b,m,s,m,o,i
r,n,n,d,d,p,c,f,t,f,f,f,f,f,f,f,b,l,i,o,?,i
r,n,m,t,n,t,e,f,f,t,f,f,f,f,f,t,b,m,i,m,?,i
r,n,n,d,e,s,f,f,f,t,t,f,f,f,f,t,b,m,s,m,o,i
p,n,n,v,d,s,b,f,f,t,f,t,f,f,f,t,b,m,s,o,?,i
r,n,n,d,n,t,e,f,f,f,f,f,t,f,t,t,a,l,s,o,?,i
r,n,n,t,e,h,b,t,f,f,f,f,t,f,t,t,c,m,i,m,o,i
r,n,m,a,e,p,a,f,f,f,f,t,f,f,f,t,b,m,i,o,?,i
p,n,s,r,e,p,d,f,f,f,f,f,f,f,f,t,c,l,i,m,?,i
r,n,n,d,d,s,e,t,f,f,t,f,t,f,f,f,a,s,i,m,c,i
r,n,n,h,d,s,c,f,f,t,f,f,f,f,t,t,a,s,l,o,c,i
p,n,n,a,n,h,a,f,f,f,f,f,f,f,f,f,a,m,s,m,c,i
p,f,n,b,n,h,d,f,t,t,f,f,f,f,f,t,a,l,i,o,?,i
p,u,n,t,n,h,e,f,f,t,t,f,f,f,t,t,b,s,s,m,o,i
p,u,s,r,d,c,d,f,f,t,f,f,f,f,f,f,c,m,l,o,o,i
p,k,m,d,n,h,b,f,f,f,f,f,f,f,t,f,a,l,s,o,c,i
p,k,s,v,e,p,b,f,f,t,f,f,f,t,f,t,a,m,s,o,o,i
r,n,n,a,e,s,c,t,f,f,f,f,f,t,f,t,b,l,i,m,o,i
r,o,n,h,d,h,a,t,f,f,f,f,f,f,f,t,c,m,i,m,?,i
r,o,n,t,n,s,e,t,t,f,f,f,t,f,f,f,a,l,s,o,c,i
p,o,s,b,n,s,a,f,f,t,t,f,f,f,f,t,b,m,l,o,?,i
p,u,n,b,d,s,c,t,t,f,t,f,f,f,f,t,a,s,i,m,o,i
r,n,n,b,n,t,e,t,f,f,f,f,t,f,t,t,a,s,s,o,o,i
p,o,n,v,e,h,c,f,f,f,f,f,t,f,t,t,c,m,s,m,?,i
p,o,m,r,d,s,e,f,t,t,t,f,f,f,f,t,c,m,s,m,o,i
r,n,m,t,d,c,b,t,f,f,f,f,f,f,f,f,a,s,i,o,o,i
r,u,m,t,e,c,c,t,f,f,f,f,f,f,f,f,b,m,l,m,o,i
r,n,n,b,d,h,e,f,f,f,f,f,f,t,f,t,a,l,i,o,o,i
p,u,m,r,d,s,f,f,t,t,f,f,f,f,t,t,b,m,i,m,c,i
r,o,n,b,n,s,d,t,t,f,f,f,t,f,f,f,a,l,i,m,?,i
r,n,n,a,e,s,b,f,f,f,t,f,f,f,f,f,a,m,l,o,?,i
p,f,n,t,n,h,a,f,f,t,f,f,f,t,f,t,b,s,s,m,?,i
r,n,n,v,e,s,e,f,f,t,t,t,f,f,t,f,b,m,i,m,o,i
r,o,n,b,e,c,d,f,f,t,t,f,f,f,f,t,b,m,i,o,?,i
p,o,s,b,n,p,a,f,f,f,f,t,f,f,t,f,a,l,l,o,o,i
r,k,n,b,d,s,c,t,f,t,f,f,f,f,f,t,b,s,i,o,c,i
r,o,n,t,d,s,a,f,t,f,f,f,t,f,f,t,c,m,s,m,c,i
r,n,m,t,e,p,a,t,t,f,f,f,t,f,f,t,a,m,i,o,o,i
r,n,m,t,n,h,f,f,f,t,f,f,f,f,f,t,c,s,s,o,c,i
r,n,n,v,d,c,c,f,t,t,f,t,f,f,f,t,a,m,i,m,c,i
r,n,n,t,n,p,b,f,f,t,f,f,f,f,f,f,b,s,l,m,o,i
r,n,n,a,n,c,f,f,f,t,t,t,f,f,t,t,a,m,i,o,o,i
r,n,n,h,e,c,f,f,t,f,f,f,f,f,t,f,b,m,i,m,c,i
p,n,m,a,e,h,f,f,t,t,t,f,t,t,t,t,c,m,s,m,o,i
r,n,n,b,d,t,e,f,t,f,f,t,f,f,f,t,b,s,i,o,c,i
r,u,n,a,e,c,f,f,t,f,f,f,f,f,f,f,b,l,s,m,?,i
r,n,n,a,d,s,a,t,t,t,t,f,f,f,f,f,b,m,i,o,o,i
r,u,n,t,e,h,f,f,t,t,t,f,f,f,f,t,c,s,i,o,o,i
r,n,n,d,d,s,b,f,f,f,f,f,f,f,f,t,b,m,s,o,o,i
r,n,s,b,n,h,a,f,f,f,f,f,f,f,f,t,c,l,i,m,o,i
r,k,n,v,d,s,a,t,t,t,f,f,t,f,t,t,a,m,i,m,c,i
p,n,s,h,e,c,a,t,f,f,f,f,f,f,t,f,a,l,s,o,o,i
r,n,n,t,d,h,e,f,f,f,f,t,f,f,f,t,c,m,i,m,o,i
p,k,m,r,d,h,f,f,t,t,f,f,f,f,f,t,c,s,i,m,o,i
r,n,n,t,d,c,a,f,t,t,f,f,t,f,f,f,a,l,s,o,c,i
r,n,n,a,n,s,e,f,f,t,f,f,f,f,f,t,b,s,s,m,o,i
p,k,n,d,e,s,e,f,t,f,f,f,f,f,f,t,c,l,s,o,o,i
r,n,n,t,e,h,a,t,f,f,t,f,f,t,f,t,b,l,i,o,?,i
p,o,s,h,n,h,e,f,f,f,f,f,f,f,f,t,a,l,s,o,?,i
p,n,m,b,d,t,a,f,f,f,f,f,t,f,t,f,b,s,l,o,?,i
p,u,m,a,n,h,b,f,f,f,f,f,f,t,f,t,a,l,l,m,c,i
r,o,n,t,d,h,c,f,t,f,f,t,f,f,f,t,a,l,i,m,c,i
p,u,n,b,n,t,f,f,f,f,t,f,f,f,f,t,a,s,i,o,o,i
p,o,m,b,n,c,a,f,t,t,t,f,f,f,f,t,c,l,s,m,c,i
r,n,m,t,n,s,b,f,f,t,f,f,t,f,f,f,b,l,s,m,o,i
p,k,n,b,d,h,d,f,t,f,f,f,f,f,f,t,a,s,i,o,?,i
r,n,m,t,e,p,e,f,t,f,t,f,f,f,f,t,b,m,l,m,?,i
r,o,n,h,n,h,f,f,f,f,t,f,f,f,f,f,b,l,l,o,?,i
p,k,f,a,e,s,c,f,t,f,f,f,f,f,f,t,a,s,s,o,c,i
r,n,n,b,d,h,e,f,t,f,f,f,f,f,f,t,b,m,s,o,o,i
r,u,n,v,e,s,d,f,f,f,f,f,f,f,f,t,b,l,i,o,o,i
p,n,s,v,d,h,b,t,t,f,f,t,f,f,f,t,b,s,s,o,o,i
p,k,n,d,e,t,d,f,t,f,f,f,f,f,f,t,a,s,s,o,o,i
p,f,n,d,d,t,b,f,t,f,t,t,t,f,f,t,c,l,s,o,o,i
r,n,n,t,e,h,d,f,f,f,f,f,f,f,f,t,b,m,l,o,o,i
