year,bank,baseBank,charter,charter2,atvType,assets_b,roa,nim,efficiency,npl,funding,book,region,sFlag,tFlag
2003,Heartland Mutual,Heartland,Regional Commercial,,,52.407,1.102,3.143,58.04,0.448,Core,Retail loans,Midwest,,
2003,Heartland Mutual,Heartland,Regional Commercial,,,50.544,1.192,3.119,58.28,0.379,Core,C&I loans,South,,
2003,Heartland Mutual,Heartland,Regional Commercial,,,50.108,1.207,3.136,56.79,0.531,Core,Mortgage,Midwest,,
2004,Heartland Mutual,Heartland,Regional Commercial,,,49.538,0.878,3.298,66.16,0.726,Core,Retail loans,South,,
2004,Heartland Mutual,Heartland,Regional Commercial,,,51.747,1.004,3.251,66.97,0.742,Core,C&I loans,Northeast,,
2005,Heartland Mutual,Heartland,Regional Commercial,,,53.856,1.09,3.324,60.33,0.64,Wholesale,Retail loans,Midwest,,
2006,Heartland Mutual,Heartland,Regional Commercial,,,53.848,0.832,3.08,57.54,0.934,Wholesale,Retail loans,Northeast,,
2007,Heartland Mutual,Heartland,Regional Commercial,,,55.524,0.664,3.129,60.97,0.49,Wholesale,Retail loans,Northeast,,
2007,Heartland Mutual,Heartland,Regional Commercial,,,51.35,0.703,3.151,62.31,0.528,Wholesale,C&I loans,Northeast,,
2007,Heartland Mutual,Heartland,Regional Commercial,,,52.348,0.625,3.28,61.62,0.546,Wholesale,Mortgage,West,,
2008,Heartland Mutual,Heartland,Regional Commercial,,,58.961,0.537,2.973,63.09,1.911,Wholesale,Retail loans,Northeast,,
2009,Heartland Mutual,Heartland,Regional Commercial,,,59.34,0.792,3.275,65.17,3.548,Wholesale,Retail loans,Midwest,,
2010,Heartland Mutual,Heartland,Regional Commercial,,,63.827,0.411,3.242,67.52,3.299,Core,Retail loans,Northeast,,
2010,Heartland Mutual,Heartland,Regional Commercial,,,61.301,0.279,3.141,67.85,3.284,Core,C&I loans,West,,
2010,Heartland Mutual,Heartland,Regional Commercial,,,61.768,0.401,3.348,64.9,3.307,Core,Mortgage,Northeast,,
2011,Heartland Mutual,Heartland,Regional Commercial,,,63.01,0.832,3.171,62.13,0.924,Core,Retail loans,South,,
2012,Heartland Mutual,Heartland,Regional Commercial,,,63.871,0.939,2.95,65.89,0.706,Core,Retail loans,South,,
2012,Heartland Mutual,Heartland,Regional Commercial,,,60.6,1.044,2.876,65.27,0.866,Core,C&I loans,Midwest,,
2013,Heartland Mutual,Heartland,Regional Commercial,,,64.025,0.994,3.262,59.61,0.638,Core,Retail loans,Midwest,,
2014,Heartland Mutual,Heartland,Regional Commercial,,,69.344,1.069,3.156,61.4,0.329,Core,Retail loans,South,,
2015,Heartland Mutual,Heartland,Regional Commercial,,,67.443,1.035,3.106,59.65,0.978,Core,Retail loans,Northeast,,
2015,Heartland Mutual,Heartland,Regional Commercial,,,67.766,1.028,3.121,60.55,0.898,Core,C&I loans,Northeast,,
2015,Heartland Mutual,Heartland,Regional Commercial,,,74.501,1.026,3.055,58.64,0.864,Core,Mortgage,West,,
2016,Heartland Mutual,Heartland,Regional Commercial,,,67.973,1.079,3.083,64.44,0.982,Core,Retail loans,West,,
2016,Heartland Mutual,Heartland,Regional Commercial,,,73.061,1.034,3.048,62.32,0.949,Core,C&I loans,Northeast,,
2017,Heartland Mutual,Heartland,Regional Commercial,,,71.797,1.186,3.088,56.51,0.656,Wholesale,Retail loans,South,,
2018,Heartland Mutual,Heartland,Regional Commercial,,,82.848,1.042,3.112,61.14,1.07,Core,Retail loans,South,,
2018,Heartland Mutual,Heartland,Regional Commercial,,,81.218,1.104,3.055,61.88,1.09,Core,C&I loans,Midwest,,
2018,Heartland Mutual,Heartland,Regional Commercial,,,82.014,1.006,3.035,62.54,1.05,Core,Mortgage,South,,
2019,Heartland Mutual,Heartland,Regional Commercial,,,86.446,1.399,3.069,56.34,0.295,Core,Retail loans,South,,
2019,Heartland Mutual,Heartland,Regional Commercial,,,75.722,1.432,3.033,59.55,0.406,Core,C&I loans,Northeast,,
2019,Heartland Mutual,Heartland,Regional Commercial,,,81.207,1.371,3.054,56.42,0.23,Core,Mortgage,Northeast,,
2020,Heartland Mutual,Heartland,Regional Commercial,,,83.734,1.107,3.165,58.03,0.401,Core,Retail loans,South,,
2020,Heartland Mutual,Heartland,Regional Commercial,,,82.179,1.259,3.247,59.63,0.304,Core,C&I loans,Midwest,,
2021,Heartland Mutual,Heartland,Regional Commercial,,,87.049,1.084,3.008,64.26,0.366,Wholesale,Retail loans,Northeast,,
2022,Heartland Mutual,Heartland,Regional Commercial,,,83.678,1.317,2.94,61.48,0.327,Core,Retail loans,Midwest,,
2023,Heartland Mutual,Heartland,Regional Commercial,,,89.91,1.047,3.112,63.1,0.859,Core,Retail loans,South,,
2023,Heartland Mutual,Heartland,Regional Commercial,,,86.744,1.049,3.037,63.67,1.056,Core,C&I loans,Northeast,,
2023,Heartland Mutual,Heartland,Regional Commercial,,,87.389,1.033,3.092,61.76,0.921,Core,Mortgage,West,,
2024,Heartland Mutual,Heartland,Regional Commercial,,,97.014,1.469,2.805,61.04,0.115,Core,Retail loans,West,,
2024,Heartland Mutual,Heartland,Regional Commercial,,,98.638,1.506,2.902,60.28,0.07,Core,C&I loans,South,,
1990,Capitol River,Capitol,Money Center,,,312.737,0.999,3.355,63.31,0.89,Core,Retail loans,West,,
1991,Capitol River,Capitol,Money Center,,,350.809,0.858,3.082,65.51,1.284,Wholesale,Retail loans,Midwest,,
1991,Capitol River,Capitol,Money Center,,,318.497,0.789,3.138,66.96,1.184,Core,C&I loans,Northeast,,
1992,Capitol River,Capitol,Money Center,,,359.487,1.075,3.113,63.94,0.961,Wholesale,Retail loans,West,,
1993,Capitol River,Capitol,Money Center,,,354.565,0.936,3.145,65.28,0.411,Core,Retail loans,South,,
1994,Capitol River,Capitol,Money Center,,,358.609,0.879,3.044,60.64,0.658,Wholesale,Retail loans,Northeast,,
1995,Capitol River,Capitol,Money Center,,,375.823,0.943,2.946,63.41,1.231,Wholesale,Retail loans,Northeast,,
1995,Capitol River,Capitol,Money Center,,,375.548,1.085,2.94,63.12,1.131,Wholesale,C&I loans,Northeast,,
1996,Capitol River,Capitol,Money Center,,,381.132,0.912,2.875,65.77,0.655,Wholesale,Retail loans,Midwest,,
1996,Capitol River,Capitol,Money Center,,,360.901,1.023,2.949,65.57,0.725,Core,C&I loans,South,,
1997,Capitol River,Capitol,Money Center,,,346.559,0.959,3.149,58.73,0.702,Wholesale,Retail loans,South,,
1997,Capitol River,Capitol,Money Center,,,348.622,1.052,3.258,58.53,0.724,Wholesale,C&I loans,South,,
1997,Capitol River,Capitol,Money Center,,,388.86,0.876,3.158,58.97,0.641,Core,Mortgage,Northeast,,
1998,Capitol River,Capitol,Money Center,,,393.876,0.809,3.087,67.62,0.835,Wholesale,Retail loans,Midwest,,
1998,Capitol River,Capitol,Money Center,,,404.14,0.813,2.961,66.32,0.841,Core,C&I loans,Northeast,,
1999,Capitol River,Capitol,Money Center,,,393.979,0.876,3.022,66.54,0.331,,Retail loans,Midwest,,
2000,Capitol River,Capitol,Money Center,,,394.792,1.071,3.028,61.89,0.798,Wholesale,Retail loans,Northeast,,
2001,Capitol River,Capitol,Money Center,,,388.848,1.209,3.111,59.8,0.874,Wholesale,Retail loans,West,,
2001,Capitol River,Capitol,Money Center,,,388.562,1.181,3.227,62.88,0.967,Core,C&I loans,Northeast,,
2002,Capitol River,Capitol,Money Center,,,420.85,0.817,2.955,63.61,1.126,Core,Retail loans,Midwest,,
2002,Capitol River,Capitol,Money Center,,,413.837,0.777,2.992,63.09,1.129,Core,C&I loans,Northeast,,
2003,Capitol River,Capitol,Money Center,,,390.302,1.081,3.043,61.65,0.724,Wholesale,Retail loans,West,,
2004,Capitol River,Capitol,Money Center,,,442.058,0.774,2.98,65.61,0.689,Wholesale,Retail loans,Northeast,,
2005,Capitol River,Capitol,Money Center,,,458.82,0.738,3.066,64.39,0.992,,Retail loans,Midwest,,
2005,Capitol River,Capitol,Money Center,,,419.813,0.848,3.055,65.61,0.881,Core,C&I loans,Midwest,,
2005,Capitol River,Capitol,Money Center,,,400.888,0.734,3.007,63.94,1.122,Core,Mortgage,Midwest,,
2006,Capitol River,Capitol,Money Center,,,401.446,0.889,3.118,61.81,1.095,Wholesale,Retail loans,Midwest,,
2007,Capitol River,Capitol,Money Center,,,410.045,1.221,2.86,61.87,0.598,Wholesale,Retail loans,Midwest,,
2008,Capitol River,Capitol,Money Center,,,417.488,0.056,2.96,69.83,1.611,Core,Retail loans,South,,
2009,Capitol River,Capitol,Money Center,,,488.092,0.751,2.791,68.8,3.495,Core,Retail loans,Northeast,,
2010,Capitol River,Capitol,Money Center,,,492.589,0.261,3.252,68.79,3.941,Core,Retail loans,South,,
2011,Capitol River,Capitol,Money Center,,,515.37,0.731,2.856,68.31,0.895,Core,Retail loans,Midwest,,
2011,Capitol River,Capitol,Money Center,,,529.898,0.655,2.969,68.57,0.925,Core,C&I loans,South,,
2012,Capitol River,Capitol,Money Center,,,553.514,1.381,2.996,60.53,0.631,Core,Retail loans,South,,
2012,Capitol River,Capitol,Money Center,,,497.573,1.268,2.91,61.04,0.392,Core,C&I loans,West,,
2013,Capitol River,Capitol,Money Center,,,511.624,0.871,3.097,64.04,0.825,Core,Retail loans,South,,
2013,Capitol River,Capitol,Money Center,,,507.189,0.872,3.099,63.4,0.839,Core,C&I loans,Midwest,,
2014,Capitol River,Capitol,Money Center,,Hybrid-channel,530.316,0.86,2.99,62.47,0.97,Wholesale,Retail loans,West,,
2015,Capitol River,Capitol,Money Center,,,606.665,1.223,2.971,66.59,0.186,Core,Retail loans,South,,
2015,Capitol River,Capitol,Money Center,,,532.062,1.246,3.022,67.97,0.122,Core,C&I loans,South,,
2016,Capitol River,Capitol,Money Center,,,589.368,1.082,2.934,65.29,0.532,Core,Retail loans,West,,
2017,Capitol River,Capitol,Money Center,,Hybrid-channel,653.439,0.853,3.2,71.59,0.604,Core,Retail loans,Northeast,,
2017,Capitol River,Capitol,Money Center,,Hybrid-channel,656.939,0.824,3.287,71.24,0.709,Core,C&I loans,Midwest,,
2017,Capitol River,Capitol,Money Center,,Hybrid-channel,598.882,0.804,3.229,71.56,0.583,Core,Mortgage,Northeast,,
2018,Capitol River,Capitol,Money Center,,Hybrid-channel,664.521,1.113,2.904,62.01,0.676,Wholesale,Retail loans,Northeast,,
2019,Capitol River,Capitol,Money Center,,,703.052,0.904,2.95,64.33,0.18,Wholesale,Retail loans,South,,
2020,Capitol River,Capitol,Money Center,,,686.197,1.011,2.721,69.61,0.611,Wholesale,Retail loans,South,,
2021,Capitol River,Capitol,Money Center,,,676.155,1.273,2.52,61.06,0.767,Wholesale,Retail loans,Midwest,,
2022,Capitol River,Capitol,Money Center,,,748.583,0.99,2.721,68.25,0.301,Wholesale,Retail loans,Midwest,,
2022,Capitol River,Capitol,Money Center,,,769.322,1.129,2.818,68.66,0.427,Wholesale,C&I loans,West,,
2023,Capitol River,Capitol,Money Center,,,719.768,1.339,2.814,63.48,0.466,Wholesale,Retail loans,Northeast,,
2023,Capitol River,Capitol,Money Center,,,703.183,1.191,2.944,64.11,0.366,Wholesale,C&I loans,West,,
2024,Capitol River,Capitol,Money Center,,,834.836,0.856,2.651,68.45,0.063,Wholesale,Retail loans,Northeast,,
2024,Capitol River,Capitol,Money Center,,,815.351,0.921,2.64,68.46,0.108,Core,C&I loans,South,,
2024,Capitol River,Capitol,Money Center,,,718.695,0.885,2.708,70.76,0.125,Core,Mortgage,Northeast,,
1990,Oak Street Bank,Oak,Community Commercial,,,3.418,1.031,3.138,54.78,0.578,Core,Retail loans,Northeast,,
1991,Oak Street Bank,Oak,Community Commercial,,,3.752,1.19,3.311,54.47,1.173,Core,Retail loans,South,,
1992,Oak Street Bank,Oak,Community Commercial,,,3.764,1.409,3.285,52.75,0.861,Wholesale,Retail loans,West,,
1993,Oak Street Bank,Oak,Community Commercial,,,3.45,1.426,3.158,53.63,1.167,Wholesale,Retail loans,West,,
1994,Oak Street Bank,Oak,Community Commercial,,,3.805,1.57,3.358,57.1,1.005,Wholesale,Retail loans,Northeast,,
1994,Oak Street Bank,Oak,Community Commercial,,,3.851,1.539,3.439,54.31,1.018,Core,C&I loans,West,,
1995,Oak Street Bank,Oak,Community Commercial,,,3.765,1.39,3.32,54.48,1.084,Core,Retail loans,West,,
1996,Oak Street Bank,Oak,Community Commercial,,,3.777,1.399,3.415,53.63,0.726,Wholesale,Retail loans,West,,
1996,Oak Street Bank,Oak,Community Commercial,,,4.024,1.349,3.461,54.53,0.52,Wholesale,C&I loans,South,,
1996,Oak Street Bank,Oak,Community Commercial,,,3.609,1.348,3.435,53.71,0.654,Wholesale,Mortgage,West,,
1997,Oak Street Bank,Oak,Community Commercial,,,4.052,0.953,3.49,58.93,0.715,Core,Retail loans,Northeast,,
1997,Oak Street Bank,Oak,Community Commercial,,,4.035,1.02,3.485,58.37,0.782,Core,C&I loans,West,,
1997,Oak Street Bank,Oak,Community Commercial,,,3.699,1.031,3.45,58.34,0.818,Core,Mortgage,West,,
1998,Oak Street Bank,Oak,Community Commercial,,,3.708,1.051,3.204,64.78,0.951,Core,Retail loans,Northeast,,
1999,Oak Street Bank,Oak,Community Commercial,,,4.339,1.285,3.179,55.47,1.12,Core,Retail loans,West,,
1999,Oak Street Bank,Oak,Community Commercial,,,4.108,1.295,3.243,56.33,1.155,Core,C&I loans,Northeast,,
2000,Oak Street Bank,Oak,Community Commercial,,,4.074,1.553,3.29,51.93,0.741,Wholesale,Retail loans,Midwest,,
2000,Oak Street Bank,Oak,Community Commercial,,,4.137,1.535,3.296,52.72,0.665,Core,C&I loans,West,,
2001,Oak Street Bank,Oak,Community Commercial,,,3.986,1.046,3.268,54.22,1.113,Core,Retail loans,Northeast,,
2001,Oak Street Bank,Oak,Community Commercial,,,4.128,1.101,3.201,52.55,1.157,Core,C&I loans,Midwest,,
2002,Oak Street Bank,Oak,Community Commercial,,,4.576,1.203,3.216,53.05,0.839,Wholesale,Retail loans,South,,
2002,Oak Street Bank,Oak,Community Commercial,,,4.178,1.198,3.221,52.51,0.743,Core,C&I loans,West,,
2002,Oak Street Bank,Oak,Community Commercial,,,4.103,1.19,3.313,51.27,0.79,Wholesale,Mortgage,South,,
2003,Oak Street Bank,Oak,Community Commercial,,,4.227,1.294,3.498,53.84,1.154,Wholesale,Retail loans,South,,
2004,Oak Street Bank,Oak,Community Commercial,,,4.411,1.447,3.191,52.95,0.598,Core,Retail loans,Northeast,,
2005,Oak Street Bank,Oak,Community Commercial,,,4.518,1.244,3.572,57.88,0.74,Wholesale,Retail loans,Northeast,,
2005,Oak Street Bank,Oak,Community Commercial,,,4.869,1.236,3.428,56.82,0.868,Wholesale,C&I loans,South,,
2006,Oak Street Bank,Oak,Community Commercial,,Hybrid-channel,4.383,1.047,3.55,53.43,0.772,Core,Retail loans,Midwest,,
2007,Oak Street Bank,Oak,Community Commercial,,,5.016,1.016,3.278,56.57,0.541,Wholesale,Retail loans,Midwest,,
2007,Oak Street Bank,Oak,Community Commercial,,,4.525,1.045,3.248,57.49,0.44,Wholesale,C&I loans,Midwest,,
2008,Oak Street Bank,Oak,Community Commercial,,,4.789,0.228,3.248,59.59,2.385,Core,Retail loans,West,,
2009,Oak Street Bank,Oak,Community Commercial,,,4.606,-0.093,3.184,68.07,4.007,Core,Retail loans,Midwest,,
2010,Oak Street Bank,Oak,Community Commercial,,,4.907,1.048,3.26,59.71,4.069,Core,Retail loans,South,,
2011,Oak Street Bank,Oak,Community Commercial,,,5.582,0.569,3.494,58.57,0.945,Core,Retail loans,Northeast,,
2012,Oak Street Bank,Oak,Community Commercial,,Hybrid-channel,5.831,0.936,3.413,57.4,0.75,Wholesale,Retail loans,South,,
2013,Oak Street Bank,Oak,Community Commercial,,,5.341,1.268,3.365,51.23,0.478,Core,Retail loans,South,,
2014,Oak Street Bank,Oak,Community Commercial,,,6.338,1.141,3.411,55.94,0.787,Wholesale,Retail loans,South,,
2015,Oak Street Bank,Oak,Community Commercial,,,6.032,1.379,3.355,55.34,0.442,Core,Retail loans,Northeast,,
2015,Oak Street Bank,Oak,Community Commercial,,,6.469,1.279,3.323,56.76,0.563,Core,C&I loans,South,,
2016,Oak Street Bank,Oak,Community Commercial,,,6.125,1.02,3.256,54.02,0.606,Core,Retail loans,Midwest,,
2017,Oak Street Bank,Oak,Community Commercial,,,6.777,1.284,3.441,53.09,1.032,Core,Retail loans,Midwest,,
2018,Oak Street Bank,Oak,Community Commercial,,,6.339,1.117,3.095,56.43,0.343,Core,Retail loans,Midwest,,
2018,Oak Street Bank,Oak,Community Commercial,,,6.246,1.134,3.285,56.96,0.23,Core,C&I loans,Midwest,,
1993,Elm City Bank,Elm,Community Commercial,,,1.563,1.408,3.222,51.22,1.009,Wholesale,Retail loans,West,,
1993,Elm City Bank,Elm,Community Commercial,,,1.601,1.398,3.135,51.28,0.988,Wholesale,C&I loans,South,,
1993,Elm City Bank,Elm,Community Commercial,,,1.5,1.238,3.234,52.19,0.949,Core,Mortgage,Northeast,,
1994,Elm City Bank,Elm,Community Commercial,,,1.609,1.181,3.147,51.13,0.559,Core,Retail loans,South,,
1995,Elm City Bank,Elm,Community Commercial,,,1.633,0.858,3.227,56.47,0.87,Wholesale,Retail loans,West,,
1995,Elm City Bank,Elm,Community Commercial,,,1.587,0.849,3.28,56.61,0.737,Core,C&I loans,South,,
1996,Elm City Bank,Elm,Community Commercial,,,1.589,1.354,3.419,53.04,0.549,Wholesale,Retail loans,South,,
1997,Elm City Bank,Elm,Community Commercial,,,1.648,1.247,3.367,61.07,0.905,Wholesale,Retail loans,West,,
1997,Elm City Bank,Elm,Community Commercial,,,1.581,1.314,3.461,59.75,0.936,Core,C&I loans,West,,
1998,Elm City Bank,Elm,Community Commercial,,,1.718,1.295,3.375,51.19,1.066,Core,Retail loans,Midwest,,
1999,Elm City Bank,Elm,Community Commercial,,,1.784,1.082,3.397,56.91,0.937,Wholesale,Retail loans,West,,
2000,Elm City Bank,Elm,Community Commercial,,,1.676,1.137,3.627,54.46,1.058,Wholesale,Retail loans,South,,
2000,Elm City Bank,Elm,Community Commercial,,,1.768,1.175,3.526,54.11,0.966,Wholesale,C&I loans,Midwest,,
2001,Elm City Bank,Elm,Community Commercial,,,1.764,1.308,3.495,48.74,1.006,Core,Retail loans,South,,
2002,Elm City Bank,Elm,Community Commercial,,,1.713,1.164,3.527,52.64,0.44,Core,Retail loans,South,,
2002,Elm City Bank,Elm,Community Commercial,,,1.688,1.143,3.456,52.62,0.39,Core,C&I loans,South,,
2002,Elm City Bank,Elm,Community Commercial,,,1.745,1.108,3.516,53.77,0.41,Core,Mortgage,South,,
2003,Elm City Bank,Elm,Community Commercial,,,1.845,1.016,3.467,53.08,0.864,Core,Retail loans,Northeast,,
2004,Elm City Bank,Elm,Community Commercial,,,1.756,0.661,3.143,56.93,0.856,Wholesale,Retail loans,Midwest,,
2005,Elm City Bank,Elm,Community Commercial,,,1.956,1.105,3.33,56.48,0.769,Core,Retail loans,South,,
2006,Elm City Bank,Elm,Community Commercial,,Hybrid-channel,1.816,0.876,3.291,52.45,0.719,Core,Retail loans,Northeast,,
2007,Elm City Bank,Elm,Community Commercial,,,1.879,1.216,3.298,53.21,0.735,Wholesale,Retail loans,West,,
2008,Elm City Bank,Elm,Community Commercial,,,2.1,0.283,3.294,56.25,2.043,Core,Retail loans,Midwest,,
2008,Elm City Bank,Elm,Community Commercial,,,2.099,0.27,3.388,56.34,1.916,Core,C&I loans,South,,
2009,Elm City Bank,Elm,Community Commercial,,,2.164,0.131,3.365,62.83,3.007,Core,Retail loans,West,,
2009,Elm City Bank,Elm,Community Commercial,,,2.137,0.136,3.434,62.52,3.081,Core,C&I loans,South,,
2010,Elm City Bank,Elm,Community Commercial,,,2.005,0.487,3.379,53.68,3.725,Core,Retail loans,South,,
2011,Elm City Bank,Elm,Community Commercial,,,2.016,0.869,3.42,56.96,0.928,Core,Retail loans,South,,
2011,Elm City Bank,Elm,Community Commercial,,,2.032,0.825,3.409,55.48,1.03,Core,C&I loans,Midwest,,
2011,Elm City Bank,Elm,Community Commercial,,,2.278,0.893,3.341,58.09,0.845,Core,Mortgage,Northeast,,
2012,Elm City Bank,Elm,Community Commercial,,,2.225,1.246,3.37,52.43,0.63,Core,Retail loans,South,,
2012,Elm City Bank,Elm,Community Commercial,,,2.138,1.321,3.328,52.31,0.682,Core,C&I loans,West,,
2012,Elm City Bank,Elm,Community Commercial,,,2.376,1.291,3.436,52.74,0.644,Core,Mortgage,South,,
1997,Riverbend Bank,Riverbend,Community Commercial,,,3.459,1.169,3.404,56.7,0.568,Core,Retail loans,South,,
1997,Riverbend Bank,Riverbend,Community Commercial,,,3.086,1.228,3.46,54.24,0.566,Core,C&I loans,South,,
1998,Riverbend Bank,Riverbend,Community Commercial,,,3.325,1.47,3.272,57.13,1.331,Wholesale,Retail loans,Midwest,,
1998,Riverbend Bank,Riverbend,Community Commercial,,,3.469,1.398,3.22,58.27,1.41,Core,C&I loans,Northeast,,
1999,Riverbend Bank,Riverbend,Community Commercial,,,3.439,0.939,3.411,57.8,1.194,Core,Retail loans,Midwest,,
2000,Riverbend Bank,Riverbend,Community Commercial,,,3.42,0.999,3.217,53.66,0.708,Core,Retail loans,Midwest,,
2000,Riverbend Bank,Riverbend,Community Commercial,,,3.193,1.037,3.144,54.38,0.645,Core,C&I loans,Midwest,,
2001,Riverbend Bank,Riverbend,Community Commercial,,,3.521,1.026,3.478,55.52,1.142,Core,Retail loans,West,,
2002,Riverbend Bank,Riverbend,Community Commercial,,,3.722,1.147,3.54,53.09,0.529,Wholesale,Retail loans,West,,
2002,Riverbend Bank,Riverbend,Community Commercial,,,3.35,1.022,3.509,51.29,0.517,Core,C&I loans,West,,
2003,Riverbend Bank,Riverbend,Community Commercial,,,3.834,0.854,3.068,55.65,0.504,Wholesale,Retail loans,Midwest,,
2003,Riverbend Bank,Riverbend,Community Commercial,,,3.512,0.857,3.054,57.74,0.589,,C&I loans,Midwest,,
2004,Riverbend Bank,Riverbend,Community Commercial,,,3.601,1.106,3.489,53.94,0.549,Core,Retail loans,Midwest,,
2004,Riverbend Bank,Riverbend,Community Commercial,,,3.521,1.071,3.459,55.36,0.551,Core,C&I loans,West,,
2005,Riverbend Bank,Riverbend,Community Commercial,,,3.995,1.36,3.201,51.98,0.69,Core,Retail loans,Midwest,,
2005,Riverbend Bank,Riverbend,Community Commercial,,,3.649,1.288,3.214,52.15,0.771,Core,C&I loans,West,,
2006,Riverbend Bank,Riverbend,Community Commercial,,,3.523,1.329,3.551,52.62,1.261,Core,Retail loans,South,,
2007,Riverbend Bank,Riverbend,Community Commercial,,,3.795,1.156,3.272,53.87,0.941,Wholesale,Retail loans,Northeast,,
2007,Riverbend Bank,Riverbend,Community Commercial,,,4.11,1.239,3.318,55.62,0.875,Core,C&I loans,Northeast,,
2008,Riverbend Bank,Riverbend,Community Commercial,,,3.814,0.462,2.97,60.1,1.894,Core,Retail loans,West,,
2009,Riverbend Bank,Riverbend,Community Commercial,,,4.239,0.674,3.589,57.93,3.985,Core,Retail loans,South,,
2009,Riverbend Bank,Riverbend,Community Commercial,,,4.183,0.642,3.57,57.92,4.042,Core,C&I loans,South,,
2010,Riverbend Bank,Riverbend,Community Commercial,,,3.9,0.429,3.203,63.84,3.57,Core,Retail loans,West,,
2011,Riverbend Bank,Riverbend,Community Commercial,,,4.504,1.144,3.437,59.23,0.821,Wholesale,Retail loans,South,,
2012,Riverbend Bank,Riverbend,Community Commercial,,,4.808,1.304,3.241,58.25,0.825,Core,Retail loans,Northeast,,
2012,Riverbend Bank,Riverbend,Community Commercial,,,4.249,1.342,3.116,57.48,1.049,Core,C&I loans,West,,
2012,Riverbend Bank,Riverbend,Community Commercial,,,4.802,1.185,3.22,56.35,0.92,Core,Mortgage,South,,
2013,Riverbend Bank,Riverbend,Community Commercial,,,4.622,1.403,3.327,53.85,0.642,Core,Retail loans,Northeast,,
2013,Riverbend Bank,Riverbend,Community Commercial,,,4.282,1.487,3.454,54.33,0.563,Core,C&I loans,Midwest,,
2013,Riverbend Bank,Riverbend,Community Commercial,,,4.841,1.312,3.428,55.51,0.465,Core,Mortgage,West,,
2014,Riverbend Bank,Riverbend,Community Commercial,,,4.761,1.369,3.266,51.52,0.838,Core,Retail loans,West,,
2014,Riverbend Bank,Riverbend,Community Commercial,,,5.098,1.28,3.283,53.37,0.971,Core,C&I loans,Midwest,,
2015,Riverbend Bank,Riverbend,Community Commercial,,,4.905,1.274,3.13,54.15,0.879,Core,Retail loans,Northeast,,
2016,Riverbend Bank,Riverbend,Community Commercial,,Hybrid-channel,5.492,1.416,3.063,54.28,0.658,Core,Retail loans,South,,
2017,Riverbend Bank,Riverbend,Community Commercial,,,5.385,1.334,3.083,55.16,0.46,Core,Retail loans,West,,
2018,Riverbend Bank,Riverbend,Community Commercial,,,5.823,1.019,3.217,57.08,0.399,Core,Retail loans,Midwest,,
2018,Riverbend Bank,Riverbend,Community Commercial,,,5.36,1.054,3.221,54.03,0.521,Core,C&I loans,Northeast,,
2018,Riverbend Bank,Riverbend,Community Commercial,,,5.584,1.037,3.257,56.95,0.425,Core,Mortgage,Northeast,,
2019,Riverbend Bank,Riverbend,Community Commercial,,,6.115,1.234,3.293,51.7,0.268,Core,Retail loans,South,,
2019,Riverbend Bank,Riverbend,Community Commercial,,,5.885,1.234,3.311,52.67,0.309,Core,C&I loans,Midwest,,
2019,Riverbend Bank,Riverbend,Community Commercial,,,6.125,1.115,3.256,53.66,0.304,Core,Mortgage,West,,
2020,Riverbend Bank,Riverbend,Community Commercial,,,5.453,1.207,2.894,59.77,0.713,Core,Retail loans,South,,
2020,Riverbend Bank,Riverbend,Community Commercial,,,5.844,1.163,2.91,59.93,0.722,Core,C&I loans,West,,
2021,Riverbend Bank,Riverbend,Community Commercial,,,6.413,1.071,3.157,59.55,0.425,,Retail loans,South,,
2022,Riverbend Bank,Riverbend,Community Commercial,,,6.69,1.238,3.224,55.09,0.442,Core,Retail loans,Northeast,,
2022,Riverbend Bank,Riverbend,Community Commercial,,,6.364,1.292,3.167,54.62,0.492,Core,C&I loans,Northeast,,
2023,Riverbend Bank,Riverbend,Community Commercial,,Hybrid-channel,6.906,1.848,3.109,52.76,0.269,Core,Retail loans,Midwest,,
2024,Riverbend Bank,Riverbend,Community Commercial,,,6.822,1.483,3.182,50.45,0.505,Core,Retail loans,West,,
2024,Riverbend Bank,Riverbend,Community Commercial,,,7.095,1.452,3.207,50.72,0.556,Core,C&I loans,Northeast,,
1994,Maple Savings,Maple,Community Commercial,,,3.2,0.968,3.439,53.0,0.963,Core,Retail loans,South,,
1994,Maple Savings,Maple,Community Commercial,,,3.337,0.938,3.322,56.11,0.757,Core,C&I loans,West,,
1994,Maple Savings,Maple,Community Commercial,,,3.255,0.935,3.427,54.66,0.871,Core,Mortgage,South,,
1995,Maple Savings,Maple,Community Commercial,,Hybrid-channel,3.705,1.659,3.563,52.91,0.732,Wholesale,Retail loans,Northeast,,
1996,Maple Savings,Maple,Community Commercial,,,3.605,0.809,3.422,51.29,0.697,Core,Retail loans,West,,
1996,Maple Savings,Maple,Community Commercial,,,3.364,0.877,3.419,53.38,0.942,Core,C&I loans,West,,
1997,Maple Savings,Maple,Community Commercial,,,3.296,1.249,3.384,52.85,0.742,Core,Retail loans,Northeast,,
1998,Maple Savings,Maple,Community Commercial,,,3.713,1.132,3.329,61.12,0.346,Wholesale,Retail loans,Midwest,,
1999,Maple Savings,Maple,Community Commercial,,,3.432,1.464,3.204,51.9,0.705,Core,Retail loans,West,,
2000,Maple Savings,Maple,Community Commercial,,,3.845,1.169,3.443,54.89,0.913,Core,Retail loans,Northeast,,
