No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
129,FEZ,FEZ Brands,Packaged Foods,Sauces & Condiments,USA,1235773.07,17.19,1.24,1.02,,22.32,"48,743",1.59,27.12%,5.35%,0.47,0.81,67.74%,63.58,31.25%,32.99%,
130,FFA,FFA Co.,Packaged Foods,Canned Goods,USA,1067116.21,18.83,3.98,1.13,3.13,15.31,"60,844",1.10,10.92%,3.08%,0.57,0.20,36.54%,60.29,41.83%,51.20%,
131,FFB,FFB Foods Inc.,Packaged Foods,Frozen Meals,USA,42299230.17,11.11,2.53,2.32,2.57,190.53,"59,344",2.18,-17.29%,8.97%,0.67,0.20,31.64%,31.55,27.23%,39.25%,
132,FFC,FFC Brands,Packaged Foods,Snacks,USA,5684022.18,34.44,2.77,2.95,4.09,27.14,"608,507",6.10,9.89%,7.12%,0.38,0.71,40.24%,71.10,20.37%,34.01%,
133,FFD,FFD Co.,Packaged Foods,Cereal & Breakfast,USA,6024129.97,37.32,1.83,2.20,4.32,92.36,"1,503,409",-1.50,-3.49%,6.50%,0.54,2.02,9.62%,43.55,33.53%,47.91%,
134,FFE,FFE Brands,Packaged Foods,Sauces & Condiments,USA,9283402.98,19.49,1.57,1.06,2.31,32.25,"78,610",2.03,7.26%,-29.94%,0.24,1.76,19.47%,48.99,25.86%,30.33%,
135,FFF,FFF Brands,Packaged Foods,Canned Goods,USA,722639.19,17.78,1.41,1.78,6.82,16.98,"5,812",2.48,-7.93%,6.76%,0.15,0.33,65.73%,39.19,28.27%,41.68%,
136,FFG,FFG Brands,Packaged Foods,Frozen Meals,USA,787277.46,6.62,0.58,,0.97,12.45,"49,660",3.74,-9.07%,0.07%,1.83,0.77,80.99%,59.82,15.47%,37.61%,
137,FFH,FFH Foods Inc.,Packaged Foods,Snacks,USA,3120988.39,12.19,1.04,1.97,2.26,24.63,"127,660",0.66,1.47%,10.09%,0.46,0.20,44.65%,42.44,47.09%,58.12%,
138,FFI,FFI Brands,Packaged Foods,Cereal & Breakfast,USA,13346469.88,13.89,2.73,1.09,1.75,117.63,"167,191",-0.01,31.85%,5.46%,0.41,1.34,53.16%,48.62,38.85%,37.50%,
139,FFJ,FFJ Foods Inc.,Packaged Foods,Sauces & Condiments,USA,781227.99,28.25,1.09,0.86,1.57,9.66,"316,433",-0.10,-2.85%,14.19%,0.25,1.52,51.54%,41.45,24.78%,58.21%,
140,FFK,FFK Foods Inc.,Packaged Foods,Canned Goods,USA,1243827.48,36.41,1.25,2.84,,38.61,"231,223",3.55,16.04%,9.33%,0.50,0.95,53.10%,40.48,38.99%,39.82%,
141,FFL,FFL Brands,Packaged Foods,Frozen Meals,USA,2175054.02,10.43,1.27,1.75,1.44,12.34,"72,042",-2.60,7.36%,21.48%,0.41,1.07,14.26%,63.35,47.11%,36.64%,
142,FFM,FFM Co.,Packaged Foods,Snacks,USA,70604097.77,13.81,2.02,1.23,0.60,21.78,"48,035",0.31,2.76%,13.20%,0.45,1.19,43.23%,57.69,37.47%,26.69%,
143,FFN,FFN Brands,Packaged Foods,Cereal & Breakfast,USA,763428.18,,,0.67,2.77,71.64,"3,262",0.13,-3.70%,4.73%,0.97,0.84,42.15%,62.24,28.59%,29.28%,
144,FFO,FFO Brands,Packaged Foods,Sauces & Condiments,USA,3712461.37,14.64,,3.42,,37.57,"14,122",-1.32,16.54%,17.42%,0.28,1.34,27.34%,47.23,30.64%,34.42%,
145,FFP,FFP Foods Inc.,Packaged Foods,Canned Goods,USA,1133164.74,29.93,1.16,2.23,3.18,31.97,"31,540",-3.96,16.60%,11.47%,0.16,1.11,33.95%,37.15,32.46%,51.71%,
146,FFQ,FFQ Co.,Packaged Foods,Frozen Meals,USA,12687457.41,24.42,1.42,1.78,1.94,17.53,"29,667",1.74,9.65%,8.71%,0.27,1.10,31.39%,49.81,38.11%,35.10%,
147,FFR,FFR Foods Inc.,Packaged Foods,Snacks,USA,754856.04,27.05,,,0.89,18.29,"361,705",0.53,19.05%,14.30%,0.48,1.06,45.83%,59.41,31.93%,60.26%,
148,FFS,FFS Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,7225791.64,11.76,,0.98,3.99,74.13,"161,088",1.44,1.83%,2.80%,0.48,0.65,42.86%,59.13,30.41%,45.86%,
149,FFT,FFT Brands,Packaged Foods,Sauces & Condiments,USA,16333278.82,11.51,0.63,1.26,0.91,74.88,"293,736",-5.59,-4.23%,26.55%,0.73,0.50,59.28%,54.32,25.57%,47.90%,
150,FFU,FFU Foods Inc.,Packaged Foods,Canned Goods,USA,4207997.95,29.70,1.35,1.23,4.73,100.92,"85,327",1.54,17.50%,10.01%,0.14,0.87,40.31%,51.59,38.57%,47.91%,
151,FFV,FFV Foods Inc.,Packaged Foods,Frozen Meals,USA,1374268.18,,1.68,1.36,5.04,7.38,"8,448",1.04,-10.11%,1.73%,0.75,0.99,28.28%,26.83,34.85%,52.02%,
152,FFW,FFW Foods Inc.,Packaged Foods,Snacks,USA,1248198.16,11.76,1.08,3.94,2.97,22.55,"15,108",1.20,3.81%,-3.84%,0.41,0.64,29.57%,53.08,40.72%,43.84%,
153,FFX,FFX Foods Inc.,Packaged Foods,Cereal & Breakfast,USA,71773037.86,20.08,4.87,2.20,4.09,136.90,"27,193",1.44,-2.63%,5.22%,0.63,1.13,65.52%,77.81,28.44%,38.98%,
154,FFY,FFY Foods Inc.,Packaged Foods,Sauces & Condiments,USA,5753697.94,26.25,1.31,,1.27,58.95,"68,692",3.92,-3.80%,18.81%,1.54,0.51,13.59%,40.66,32.41%,37.78%,
155,FFZ,FFZ Brands,Packaged Foods,Canned Goods,USA,42376348.06,14.27,0.41,2.86,2.26,52.03,"165,664",3.39,-3.03%,8.54%,2.09,1.61,67.46%,29.44,25.85%,37.28%,
156,FGA,FGA Brands,Packaged Foods,Frozen Meals,USA,69817846.36,40.88,2.04,6.31,0.69,49.20,"11,705",-2.58,19.65%,6.24%,0.38,0.22,44.83%,66.84,28.66%,28.91%,
157,FGB,FGB Brands,Packaged Foods,Snacks,USA,1571600.27,28.30,1.86,1.23,3.24,33.96,"60,457",5.39,3.30%,12.13%,0.14,1.66,23.94%,58.34,34.25%,27.26%,
158,FGC,FGC Co.,Packaged Foods,Cereal & Breakfast,USA,1804271.23,31.90,2.29,1.39,2.41,14.51,"99,541",3.24,6.95%,8.55%,0.29,0.92,19.91%,50.65,37.63%,45.33%,
159,FGD,FGD Brands,Packaged Foods,Sauces & Condiments,USA,400963.51,14.40,2.23,2.83,0.95,18.60,"66,703",-1.46,19.44%,5.11%,0.59,1.05,36.55%,36.39,38.79%,41.49%,
160,FGE,FGE Foods Inc.,Packaged Foods,Canned Goods,USA,4976514.74,42.21,0.94,6.87,,28.75,"98,085",7.03,5.85%,11.81%,0.47,1.43,77.06%,53.12,27.80%,47.97%,
161,FGF,FGF Foods Inc.,Beverages,Soft Drinks,USA,4588326.73,19.35,1.02,,2.76,75.48,"46,111",5.03,-8.26%,0.09%,0.23,0.72,34.93%,53.31,34.52%,54.72%,
162,FGG,FGG Foods Inc.,Beverages,Beer & Spirits,USA,6455270.77,51.08,4.27,0.88,1.80,73.90,"300,436",-0.28,-2.66%,8.01%,1.74,0.53,14.90%,58.10,49.88%,33.89%,
163,FGH,FGH Foods Inc.,Beverages,Coffee & Tea,USA,161981.50,22.80,0.62,5.04,2.84,35.04,"352,261",2.63,0.88%,-6.84%,0.40,1.74,60.94%,54.61,19.66%,54.01%,
164,FGI,FGI Co.,Beverages,Bottled Water,USA,14488225.16,19.44,1.76,1.54,2.71,16.45,"73,081",-2.45,13.29%,10.35%,0.43,0.51,76.13%,50.75,20.83%,54.51%,
165,FGJ,FGJ Brands,Beverages,Sports Drinks,USA,807534.21,,5.04,1.57,4.07,22.39,"26,282",0.31,-2.20%,-11.84%,0.30,1.38,17.66%,81.76,27.32%,29.38%,
166,FGK,FGK Foods Inc.,Beverages,Soft Drinks,USA,7591215.22,41.40,1.87,1.87,1.44,25.80,"120,325",4.22,2.54%,-10.18%,1.36,0.50,76.50%,59.17,30.87%,53.15%,
167,FGL,FGL Foods Inc.,Beverages,Beer & Spirits,USA,1818060.87,14.89,1.06,1.34,,54.71,"230,942",-2.66,-7.77%,-0.35%,0.91,0.50,41.30%,70.71,18.50%,46.17%,
168,FGM,FGM Foods Inc.,Beverages,Coffee & Tea,USA,224009.73,68.55,2.31,2.90,2.36,40.44,"65,344",5.44,-5.23%,11.07%,1.35,0.50,78.16%,53.98,27.22%,30.46%,
169,FGN,FGN Foods Inc.,Beverages,Bottled Water,USA,1842295.30,21.44,1.06,0.82,5.51,27.40,"69,804",1.46,4.10%,-11.34%,0.35,1.29,25.47%,70.20,24.46%,49.83%,
170,FGO,FGO Foods Inc.,Beverages,Sports Drinks,USA,6255939.75,19.04,2.91,2.05,3.23,58.78,"3,461",1.57,9.77%,17.82%,0.75,0.47,38.31%,55.43,30.89%,42.38%,
171,FGP,FGP Co.,Beverages,Soft Drinks,USA,36979689.09,21.78,4.25,2.51,1.01,62.96,"324,843",1.65,6.18%,4.83%,0.27,0.20,29.02%,42.76,33.80%,50.62%,
172,FGQ,FGQ Co.,Beverages,Beer & Spirits,Canada,1237893.20,47.68,4.59,1.15,3.25,13.82,"887,459",0.49,-7.08%,15.97%,1.89,0.33,75.75%,54.76,29.96%,47.72%,
173,FGR,FGR Foods Inc.,Beverages,Coffee & Tea,Canada,264227.89,47.64,2.21,1.20,0.94,18.74,"40,770",2.04,15.76%,15.81%,1.59,0.70,68.48%,37.02,19.76%,31.24%,
174,FGS,FGS Brands,Beverages,Bottled Water,Canada,25088609.72,20.48,2.44,0.60,4.93,72.41,"18,227",1.97,-4.91%,0.96%,0.57,0.20,61.24%,62.23,24.72%,37.37%,
175,FGT,FGT Foods Inc.,Beverages,Sports Drinks,Canada,9074715.17,21.34,2.71,1.38,1.82,70.81,"133,609",1.63,31.91%,-6.13%,1.69,1.10,26.99%,31.03,34.57%,38.57%,
176,FGU,FGU Co.,Beverages,Soft Drinks,Canada,165338.54,41.04,1.97,4.25,5.97,6.19,"248,891",4.66,12.25%,9.89%,1.02,0.93,49.41%,63.30,36.70%,38.37%,
177,FGV,FGV Foods Inc.,Beverages,Beer & Spirits,Canada,929845.21,25.88,1.26,1.97,2.76,12.01,"7,204",-0.10,44.99%,-28.13%,0.49,0.74,67.80%,61.25,14.54%,39.70%,
178,FGW,FGW Brands,Beverages,Coffee & Tea,Canada,324962.79,20.32,0.68,2.02,1.18,15.94,"321,940",4.85,0.94%,18.61%,0.19,0.99,89.43%,52.20,41.24%,37.17%,
179,FGX,FGX Brands,Beverages,Bottled Water,Mexico,6243234.54,6.18,1.15,1.99,2.18,50.78,"185,063",2.70,8.43%,-9.63%,0.23,0.75,53.20%,65.94,30.50%,44.83%,
180,FGY,FGY Co.,Beverages,Sports Drinks,Mexico,2243652.40,21.63,,0.58,1.86,24.32,"85,367",1.80,24.50%,-9.25%,1.94,0.75,77.19%,68.09,24.27%,61.60%,
181,FGZ,FGZ Co.,Beverages,Soft Drinks,Mexico,236928.88,20.41,,2.49,,12.19,"1,021,905",0.28,7.55%,-4.11%,1.40,0.87,41.55%,72.13,33.62%,35.91%,
182,FHA,FHA Foods Inc.,Beverages,Beer & Spirits,Mexico,14452733.58,,1.96,1.45,5.11,69.05,"302,694",-1.40,-15.62%,9.14%,0.42,1.13,52.64%,70.60,35.24%,50.10%,
183,FHB,FHB Co.,Beverages,Coffee & Tea,Mexico,5510169.20,23.99,1.97,,6.05,68.80,"94,952",2.20,-3.65%,11.85%,6.91,1.15,70.43%,57.05,27.19%,41.44%,
184,FHC,FHC Co.,Beverages,Bottled Water,UK,8097281.27,6.79,1.21,1.13,2.11,65.34,"59,924",5.06,20.69%,8.32%,0.35,1.19,68.17%,76.35,35.10%,50.02%,
185,FHD,FHD Brands,Beverages,Sports Drinks,UK,1444270.81,25.05,1.84,3.32,1.12,58.07,"399,948",1.12,-1.34%,16.71%,1.03,1.67,33.78%,83.67,36.44%,57.86%,
186,FHE,FHE Foods Inc.,Beverages,Soft Drinks,UK,13605945.20,32.51,1.57,1.25,2.94,55.54,"13,043",4.42,8.66%,2.81%,1.05,1.60,31.92%,70.48,34.79%,31.99%,
187,FHF,FHF Foods Inc.,Beverages,Beer & Spirits,UK,2074696.50,20.73,3.64,0.59,4.43,31.44,"37,709",5.52,-8.09%,-1.47%,0.49,1.07,30.74%,47.61,31.84%,34.52%,
188,FHG,FHG Foods Inc.,Beverages,Coffee & Tea,UK,4714831.78,35.13,0.93,5.18,1.45,37.48,"110,814",8.59,7.36%,1.51%,1.32,1.04,78.80%,63.11,28.19%,55.31%,
189,FHH,FHH Foods Inc.,Beverages,Bottled Water,Switzerland,1166519.46,10.24,2.47,3.21,0.83,29.90,"23,241",4.73,5.13%,12.28%,0.29,0.92,66.13%,53.17,31.59%,50.60%,
190,FHI,FHI Foods Inc.,Beverages,Sports Drinks,Switzerland,117879.59,9.81,3.19,1.54,1.23,20.99,"31,493",1.64,-1.33%,7.43%,0.61,1.51,22.16%,35.60,33.07%,32.76%,
191,FHJ,FHJ Brands,Beverages,Soft Drinks,Switzerland,3120169.79,59.19,1.29,,1.42,18.24,"794,824",2.78,9.90%,3.98%,0.61,0.87,62.39%,64.93,35.40%,52.39%,
192,FHK,FHK Foods Inc.,Beverages,Beer & Spirits,Netherlands,5415251.65,26.55,2.36,2.08,,26.96,"25,126",-1.72,15.39%,19.53%,0.28,0.76,44.90%,63.25,28.14%,50.66%,
193,FHL,FHL Foods Inc.,Beverages,Coffee & Tea,Netherlands,69528160.05,20.00,1.12,1.70,1.09,45.38,"44,212",2.23,4.66%,7.80%,0.76,1.29,68.82%,39.62,30.81%,23.09%,
194,FHM,FHM Foods Inc.,Beverages,Bottled Water,Netherlands,10163884.23,,,0.98,1.23,52.94,"139,764",0.76,1.92%,-10.83%,0.36,0.61,11.43%,58.11,28.83%,17.81%,
195,FHN,FHN Foods Inc.,Beverages,Sports Drinks,Brazil,15185517.69,9.92,2.43,0.45,1.72,86.48,"362,695",2.59,-2.50%,-11.20%,0.54,0.78,40.62%,64.05,46.74%,36.45%,
196,FHO,FHO Co.,Beverages,Soft Drinks,Brazil,5435242.15,10.37,1.41,5.44,2.57,9.12,"2,401",5.38,-4.06%,18.00%,0.42,0.64,73.23%,41.50,20.96%,49.55%,
197,FHP,FHP Foods Inc.,Beverages,Beer & Spirits,Brazil,40816302.81,25.85,1.69,1.61,2.50,60.62,"8,053",4.93,-21.03%,13.04%,1.04,0.84,14.94%,47.14,33.85%,43.27%,
198,FHQ,FHQ Brands,Beverages,Coffee & Tea,Japan,1417314.52,7.59,1.83,0.51,2.65,109.80,"4,903",6.81,17.94%,5.18%,1.17,0.68,22.57%,49.37,25.79%,40.52%,
199,FHR,FHR Foods Inc.,Beverages,Bottled Water,Japan,8073055.68,7.76,1.25,,1.33,113.77,"936,951",4.28,24.74%,11.09%,2.01,0.99,22.43%,26.77,19.18%,49.13%,
200,FHS,FHS Foods Inc.,Beverages,Sports Drinks,USA,6821905.90,19.46,1.70,,6.84,17.81,"18,411",3.28,22.66%,-1.44%,0.63,0.66,55.10%,37.08,39.82%,33.63%,
201,FHT,FHT Co.,Beverages,Soft Drinks,USA,2786584.19,22.16,3.45,1.07,1.61,155.57,"52,962",3.10,-3.49%,6.26%,0.96,0.28,18.89%,45.72,23.93%,46.56%,
202,FHU,FHU Brands,Beverages,Beer & Spirits,USA,51079010.40,16.42,4.53,1.40,3.29,57.39,"199,018",3.56,12.06%,3.35%,0.48,1.19,27.47%,58.64,33.01%,45.04%,
203,FHV,FHV Brands,Beverages,Coffee & Tea,USA,727809.23,27.88,1.28,1.00,0.83,4.97,"39,393",-0.21,17.73%,23.79%,0.40,1.29,79.61%,56.65,37.27%,54.21%,
204,FHW,FHW Brands,Beverages,Bottled Water,USA,3344418.10,5.38,1.41,2.43,,8.19,"150,074",7.18,6.80%,18.26%,0.50,0.97,48.05%,38.90,39.21%,30.90%,
205,FHX,FHX Foods Inc.,Beverages,Sports Drinks,USA,812453.58,36.66,1.07,2.73,2.03,14.02,"137,315",5.30,14.40%,-1.43%,0.48,0.92,56.25%,46.15,22.85%,50.95%,
206,FHY,FHY Brands,Beverages,Soft Drinks,USA,20932435.79,6.66,1.06,2.57,3.17,38.35,"86,343",6.48,25.74%,22.02%,0.63,0.52,63.90%,21.30,20.87%,39.11%,
207,FHZ,FHZ Foods Inc.,Beverages,Beer & Spirits,USA,925513.42,31.55,1.12,0.32,5.07,18.56,"15,167",0.90,-15.78%,2.28%,0.27,0.20,39.00%,53.92,39.02%,58.50%,
208,FIA,FIA Foods Inc.,Beverages,Coffee & Tea,USA,6900416.10,19.68,2.39,1.53,2.01,91.35,"216,810",-2.87,-10.31%,-0.98%,0.39,1.17,74.88%,39.37,37.29%,52.56%,
209,FIB,FIB Foods Inc.,Beverages,Bottled Water,USA,1358816.70,15.67,2.82,2.00,5.06,61.90,"4,017",0.88,12.48%,5.25%,1.82,0.54,91.72%,66.92,24.45%,39.77%,
210,FIC,FIC Brands,Beverages,Sports Drinks,USA,17877065.17,14.38,0.95,1.12,3.86,130.39,"119,206",4.16,-7.53%,-4.65%,5.42,0.20,21.76%,54.74,30.77%,49.60%,
211,FID,FID Co.,Beverages,Soft Drinks,USA,21503355.83,22.88,1.13,3.95,3.12,30.39,"38,466",2.83,9.53%,10.53%,2.02,0.45,30.09%,77.21,36.09%,29.07%,
212,FIE,FIE Foods Inc.,Beverages,Beer & Spirits,USA,6588110.10,7.87,1.28,1.81,2.84,67.29,"32,501",4.25,-1.31%,-0.32%,0.40,0.54,54.47%,85.61,26.60%,51.75%,
213,FIF,FIF Co.,Beverages,Coffee & Tea,USA,13002582.82,20.84,2.00,1.49,4.78,169.17,"88,814",3.92,5.07%,13.06%,0.37,0.58,33.48%,52.30,28.83%,36.61%,
214,FIG,FIG Brands,Beverages,Bottled Water,USA,9427072.43,22.96,,,2.58,126.56,"262,058",-2.01,32.33%,1.23%,1.08,0.62,56.63%,41.78,32.44%,61.36%,
215,FIH,FIH Brands,Beverages,Sports Drinks,USA,14783002.09,38.59,,1.66,1.72,63.45,"11,448",6.59,9.75%,7.61%,0.17,0.90,10.99%,60.78,42.04%,36.28%,
216,FII,FII Foods Inc.,Beverages,Soft Drinks,USA,4081947.48,,1.99,4.68,4.61,19.16,"57,442",-0.17,12.94%,9.45%,0.32,1.52,25.29%,72.23,26.59%,34.14%,
217,FIJ,FIJ Co.,Beverages,Beer & Spirits,USA,26064904.59,15.47,,2.42,5.84,87.33,"20,971",2.49,3.62%,-4.00%,0.37,0.92,69.86%,38.28,12.20%,42.20%,
218,FIK,FIK Co.,Beverages,Coffee & Tea,USA,61677993.31,24.03,1.07,1.06,2.66,37.48,"2,524",3.20,-10.40%,4.16%,0.30,0.45,37.83%,64.74,22.43%,47.12%,
219,FIL,FIL Foods Inc.,Beverages,Bottled Water,USA,7929375.58,13.43,,1.65,1.45,75.46,"8,982",0.28,22.36%,0.90%,0.48,0.56,58.51%,35.72,34.92%,35.36%,
220,FIM,FIM Foods Inc.,Beverages,Sports Drinks,USA,1401114.39,25.97,2.69,1.21,2.18,71.01,"11,245",-0.09,8.73%,2.73%,0.81,1.09,44.77%,56.64,34.71%,42.37%,
221,FIN,FIN Brands,Beverages,Soft Drinks,USA,45264850.20,18.33,2.04,3.56,0.99,74.29,"53,919",1.79,18.84%,1.13%,0.20,1.22,40.47%,45.66,24.09%,51.26%,
222,FIO,FIO Foods Inc.,Beverages,Beer & Spirits,USA,1874566.78,,1.90,0.59,1.27,27.19,"21,788",3.45,9.50%,9.95%,0.35,0.90,28.95%,51.66,31.86%,30.81%,
223,FIP,FIP Brands,Beverages,Coffee & Tea,USA,3035289.11,19.89,2.72,1.62,1.20,47.36,"59,686",-2.30,16.07%,19.24%,0.76,0.25,54.97%,47.08,35.79%,39.45%,
224,FIQ,FIQ Brands,Beverages,Bottled Water,USA,393228.02,17.55,1.29,4.33,2.14,19.77,"325,123",1.09,-0.12%,-14.60%,1.17,0.88,48.26%,67.97,30.57%,29.69%,
225,FIR,FIR Foods Inc.,Beverages,Sports Drinks,USA,57844954.26,27.43,5.27,0.36,0.90,83.04,"33,435",0.71,7.02%,-1.67%,2.17,1.23,62.80%,57.32,38.60%,40.58%,
226,FIS,FIS Foods Inc.,Beverages,Soft Drinks,USA,100711587.63,10.81,2.22,2.05,2.30,248.48,"71,892",2.23,-0.94%,-0.63%,0.59,0.67,60.25%,49.05,25.87%,59.27%,
227,FIT,FIT Foods Inc.,Beverages,Beer & Spirits,USA,3777837.09,12.96,3.07,1.26,,128.65,"29,179",3.02,8.66%,-4.27%,0.49,0.88,10.42%,69.92,46.98%,49.95%,
228,FIU,FIU Co.,Beverages,Coffee & Tea,USA,1344877.12,17.64,0.94,1.59,1.68,48.12,"48,373",4.20,-6.93%,6.17%,0.20,0.44,7.54%,64.48,45.67%,33.40%,
229,FIV,FIV Foods Inc.,Beverages,Bottled Water,USA,11260824.73,36.49,1.82,1.34,0.74,18.18,"98,921",1.16,-12.14%,-3.11%,1.10,1.17,43.28%,49.30,40.72%,47.12%,
230,FIW,FIW Foods Inc.,Beverages,Sports Drinks,USA,699062.24,17.09,,3.46,,9.83,"3,606",2.00,2.19%,4.99%,0.60,0.86,64.28%,55.96,29.02%,59.16%,
231,FIX,FIX Brands,Beverages,Soft Drinks,USA,3059666.71,34.21,2.06,0.52,1.00,27.51,"5,468",8.09,9.92%,15.97%,4.04,0.77,74.00%,43.09,27.35%,38.25%,
232,FIY,FIY Foods Inc.,Beverages,Beer & Spirits,USA,35792606.02,24.18,1.45,3.68,2.35,144.82,"22,709",3.60,-9.43%,-5.37%,0.71,0.92,57.72%,35.64,16.14%,46.77%,
233,FIZ,FIZ Foods Inc.,Beverages,Coffee & Tea,USA,10917277.13,14.07,2.95,2.90,1.50,57.75,"56,714",8.57,18.32%,-5.67%,0.54,0.45,45.93%,59.42,49.96%,32.15%,
234,FJA,FJA Foods Inc.,Beverages,Bottled Water,USA,116755401.37,12.18,3.69,2.54,2.91,126.36,"270,575",1.05,2.97%,34.51%,1.62,0.59,29.12%,52.37,31.44%,52.49%,
235,FJB,FJB Co.,Beverages,Sports Drinks,USA,3404388.21,28.52,1.04,1.39,,45.32,"11,644",-0.39,5.54%,20.37%,0.55,1.11,18.81%,53.04,38.97%,30.26%,
236,FJC,FJC Co.,Beverages,Soft Drinks,USA,191303.67,22.88,1.27,0.31,0.46,28.42,"2,980,659",0.59,-10.88%,16.99%,1.22,0.56,55.78%,54.12,33.36%,36.21%,
237,FJD,FJD Co.,Beverages,Beer & Spirits,USA,40068969.40,10.29,1.66,2.98,2.52,79.43,"44,122",7.43,5.76%,7.54%,0.47,0.93,33.13%,56.61,36.78%,50.74%,
238,FJE,FJE Co.,Beverages,Coffee & Tea,USA,86587462.79,13.41,1.77,1.85,,49.73,"152,275",5.59,-1.52%,20.65%,0.50,0.99,34.79%,41.89,34.99%,45.00%,
239,FJF,FJF Co.,Beverages,Bottled Water,USA,6778052.84,27.61,1.02,1.90,2.59,70.38,247,3.03,-9.12%,11.11%,0.49,0.57,51.45%,52.65,24.82%,50.12%,
240,FJG,FJG Foods Inc.,Beverages,Sports Drinks,USA,5029936.52,19.37,1.00,2.11,2.86,19.56,"43,493",3.67,21.69%,0.23%,1.46,0.91,21.29%,33.48,35.25%,59.41%,
241,FJH,FJH Co.,Beverages,Soft Drinks,USA,551064.32,15.46,1.18,0.90,1.75,7.70,"11,621",-3.12,13.46%,13.18%,0.46,0.59,45.46%,51.86,36.13%,39.69%,
242,FJI,FJI Brands,Beverages,Beer & Spirits,USA,56770476.02,28.84,1.29,1.31,1.35,75.05,"52,709",2.62,-7.91%,3.15%,0.45,1.11,37.94%,55.05,45.43%,41.47%,
243,FJJ,FJJ Brands,Beverages,Coffee & Tea,USA,1257416.05,40.63,2.32,3.05,1.70,31.83,"25,339",-1.64,4.46%,16.06%,0.21,0.23,57.77%,63.36,20.22%,32.03%,
244,FJK,FJK Co.,Beverages,Bottled Water,USA,4239599.69,28.97,0.88,3.87,2.65,38.98,"4,825",11.28,23.97%,23.77%,0.40,1.31,78.70%,45.45,35.76%,38.01%,
245,FJL,FJL Co.,Beverages,Sports Drinks,USA,1080341.34,12.94,2.42,0.89,0.89,18.51,"49,316",0.71,13.90%,12.11%,0.13,0.93,59.74%,46.30,26.78%,38.15%,
246,FJM,FJM Foods Inc.,Beverages,Soft Drinks,USA,8495644.42,24.86,2.10,1.51,1.99,22.28,"81,271",9.31,-10.68%,-8.55%,0.99,0.42,30.22%,49.01,15.83%,37.71%,
247,FJN,FJN Foods Inc.,Beverages,Beer & Spirits,USA,6651101.41,11.30,1.84,2.93,,19.97,"14,413",4.79,27.58%,3.30%,0.42,1.43,35.41%,52.20,34.74%,33.28%,
248,FJO,FJO Co.,Beverages,Coffee & Tea,USA,25051173.33,,1.90,2.94,3.54,70.67,"29,502",1.04,-8.22%,5.52%,1.19,1.70,42.60%,56.56,38.91%,38.71%,
249,FJP,FJP Foods Inc.,Beverages,Bottled Water,USA,2208264.68,17.54,7.46,1.25,1.07,26.90,"1,154,824",4.92,5.89%,11.91%,0.36,0.82,69.55%,32.56,24.66%,38.47%,
250,FJQ,FJQ Co.,Beverages,Sports Drinks,USA,5094647.53,9.99,0.89,0.54,2.63,54.87,"184,402",3.86,-12.42%,-18.26%,0.56,0.41,35.88%,55.36,43.29%,44.85%,
251,FJR,FJR Brands,Beverages,Soft Drinks,USA,7965080.42,13.90,1.21,2.47,1.40,39.12,"193,387",0.38,13.17%,-6.82%,0.30,0.30,59.03%,60.23,37.96%,50.15%,
252,FJS,FJS Foods Inc.,Beverages,Beer & Spirits,USA,5864012.63,22.11,0.54,1.90,2.39,44.25,"45,621",1.24,-1.01%,8.73%,0.86,0.83,35.05%,69.28,21.46%,35.47%,
253,FJT,FJT Foods Inc.,Beverages,Coffee & Tea,USA,140928.48,51.48,,,4.65,12.69,"161,205",3.73,7.86%,20.92%,3.03,1.02,61.15%,38.24,26.14%,57.29%,
254,FJU,FJU Brands,Beverages,Bottled Water,USA,178526796.89,19.46,3.61,,3.10,108.51,"33,323",3.14,-13.33%,13.91%,1.03,0.91,45.90%,58.48,23.26%,24.13%,
255,FJV,FJV Co.,Beverages,Sports Drinks,USA,3983063.83,34.33,2.83,,2.67,94.55,"60,542",2.87,0.98%,8.28%,2.55,1.21,61.35%,50.39,24.19%,41.10%,
256,FJW,FJW Foods Inc.,Beverages,Soft Drinks,USA,448442.96,21.42,1.07,3.72,5.59,31.10,"71,485",-2.79,8.50%,15.22%,0.64,1.98,78.16%,65.51,38.84%,52.01%,
257,FJX,FJX Foods Inc.,Beverages,Beer & Spirits,USA,6251728.40,27.73,1.64,0.68,4.91,30.23,"63,920",0.64,34.20%,18.33%,0.40,1.01,28.15%,48.60,30.40%,45.78%,
258,FJY,FJY Co.,Beverages,Coffee & Tea,USA,704037.40,27.51,3.40,1.21,4.48,81.30,"17,019",0.88,-1.90%,1.90%,0.94,0.64,53.60%,56.62,30.35%,54.66%,
259,FJZ,FJZ Foods Inc.,Beverages,Bottled Water,USA,9478736.03,16.68,2.92,0.68,2.65,44.72,"23,546",3.49,13.28%,5.59%,0.75,0.92,23.60%,43.76,40.60%,27.42%,
260,FKA,FKA Brands,Beverages,Sports Drinks,USA,6052073.30,28.46,1.69,1.54,2.54,27.22,"72,987",7.49,12.70%,27.32%,0.47,0.83,62.95%,38.62,34.38%,49.49%,
